# Q Iq dIq dQ fit
7.348999999999999630e-03 2.576000000000000227e+02 9.532999999999999474e+00 4.099999999999999912e-04 2.257224996023429924e+02
7.607000000000000046e-03 2.288000000000000114e+02 9.570000000000000284e+00 4.203000000000000247e-04 2.098145401857893830e+02
7.865000000000000463e-03 2.149000000000000057e+02 8.723000000000000753e+00 4.306000000000000040e-04 1.943587640633257934e+02
8.123000000000000012e-03 1.883000000000000114e+02 7.820999999999999730e+00 4.409999999999999858e-04 1.806946953324879530e+02
8.380000000000000296e-03 1.748000000000000114e+02 6.921999999999999709e+00 4.515000000000000241e-04 1.686795022419563566e+02
8.637999999999999845e-03 1.468000000000000114e+02 6.629999999999999893e+00 4.621000000000000107e-04 1.580879865743887080e+02
8.895999999999999394e-03 1.319000000000000057e+02 5.908999999999999808e+00 4.727999999999999998e-04 1.487752308971424782e+02
9.154000000000000678e-03 1.150000000000000000e+02 5.179999999999999716e+00 4.834999999999999888e-04 1.405298483397471330e+02
9.412000000000000227e-03 1.162999999999999972e+02 5.485999999999999766e+00 4.943000000000000345e-04 1.331483652233256407e+02
9.669999999999999776e-03 1.037999999999999972e+02 5.006000000000000227e+00 5.050999999999999717e-04 1.264527544557816867e+02
9.927000000000000060e-03 1.114000000000000057e+02 5.291999999999999815e+00 5.159999999999999656e-04 1.205788221956966311e+02
1.018999999999999941e-02 1.065999999999999943e+02 5.363999999999999879e+00 5.270000000000000162e-04 1.147297770519519844e+02
1.043999999999999963e-02 1.030999999999999943e+02 4.774000000000000021e+00 5.379999999999999583e-04 1.094792156663137490e+02
1.069999999999999944e-02 1.062999999999999972e+02 4.884000000000000341e+00 5.490999999999999570e-04 1.042987140241920514e+02
1.095999999999999926e-02 1.032999999999999972e+02 5.011999999999999567e+00 5.601999999999999558e-04 9.935827298317568079e+01
1.122000000000000081e-02 8.734999999999999432e+01 4.621000000000000441e+00 5.712999999999999546e-04 9.462737182556321613e+01
1.146999999999999929e-02 9.223999999999999488e+01 4.591000000000000192e+00 5.825000000000000100e-04 9.030202715745897990e+01
1.173000000000000084e-02 9.925000000000000000e+01 4.629999999999999893e+00 5.936999999999999569e-04 8.603545409116773612e+01
1.199000000000000066e-02 8.525000000000000000e+01 4.426999999999999602e+00 6.049000000000000123e-04 8.199260108262480173e+01
1.225000000000000047e-02 7.426999999999999602e+01 4.086999999999999744e+00 6.162000000000000159e-04 7.825921916507505216e+01
1.251000000000000029e-02 7.290999999999999659e+01 4.054000000000000270e+00 6.275000000000000196e-04 7.499300022148541700e+01
1.276000000000000051e-02 6.731999999999999318e+01 3.769000000000000128e+00 6.388000000000000232e-04 7.193682219402019484e+01
1.289000000000000042e-02 6.612999999999999545e+01 6.264999999999999458e-01 1.211999999999999970e-03 7.213897431454982723e+01
1.302000000000000032e-02 6.581000000000000227e+01 3.620999999999999996e+00 6.501999999999999750e-04 6.902118298782308159e+01
1.328000000000000014e-02 6.247999999999999687e+01 3.741000000000000103e+00 6.616000000000000353e-04 6.639570184747641690e+01
1.329999999999999932e-02 6.364999999999999858e+01 5.886000000000000121e-01 1.221999999999999996e-03 6.756009693041673358e+01
1.353999999999999995e-02 6.285999999999999943e+01 3.435999999999999943e+00 6.729999999999999871e-04 6.392933008560385133e+01
1.370999999999999996e-02 6.121999999999999886e+01 5.707999999999999741e-01 1.232000000000000022e-03 6.359376324302205319e+01
1.379000000000000017e-02 5.935999999999999943e+01 3.354999999999999982e+00 6.844999999999999956e-04 6.173271082789943875e+01
1.396000000000000019e-02 5.967999999999999972e+01 5.681000000000000494e-01 2.204999999999999929e-03 6.462813406564931995e+01
1.404999999999999999e-02 6.192999999999999972e+01 3.549999999999999822e+00 6.958999999999999474e-04 5.964183378949590519e+01
1.412000000000000061e-02 5.692000000000000171e+01 5.080999999999999961e-01 1.242000000000000048e-03 5.991144037980472348e+01
1.430999999999999980e-02 5.560999999999999943e+01 3.436999999999999833e+00 7.073999999999999559e-04 5.761862532024694161e+01
1.452999999999999951e-02 5.397999999999999687e+01 5.169000000000000261e-01 1.252000000000000075e-03 5.668889779703196297e+01
1.456999999999999962e-02 5.910999999999999943e+01 3.459000000000000075e+00 7.188999999999999644e-04 5.572400490845683407e+01
1.482999999999999943e-02 5.600000000000000000e+01 3.172000000000000153e+00 7.303999999999999729e-04 5.392340038093020382e+01
1.494000000000000015e-02 5.189000000000000057e+01 5.089000000000000190e-01 1.262000000000000101e-03 5.361476716642277296e+01
1.528999999999999977e-02 5.007000000000000028e+01 4.339000000000000079e-01 2.222000000000000017e-03 5.326524955239430170e+01
1.533999999999999947e-02 4.989000000000000057e+01 4.557999999999999829e-01 1.273000000000000043e-03 5.094399284990823418e+01
1.575000000000000011e-02 4.793999999999999773e+01 4.803999999999999937e-01 1.283999999999999985e-03 4.828388430166172895e+01
1.616000000000000075e-02 4.538000000000000256e+01 4.459000000000000186e-01 1.294999999999999927e-03 4.587333635929245901e+01
1.657000000000000139e-02 4.453000000000000114e+01 4.566999999999999948e-01 1.307000000000000002e-03 4.356737112223176922e+01
1.661999999999999936e-02 4.357999999999999829e+01 3.321999999999999953e-01 2.242000000000000069e-03 4.471983566389889120e+01
1.697999999999999857e-02 4.186999999999999744e+01 4.213000000000000078e-01 1.317999999999999944e-03 4.149016803705451650e+01
1.738999999999999921e-02 4.028999999999999915e+01 4.434000000000000163e-01 1.330000000000000019e-03 3.948568843185000077e+01
1.779999999999999985e-02 3.832000000000000028e+01 3.904000000000000248e-01 1.340999999999999961e-03 3.765419450714776417e+01
1.795000000000000068e-02 3.757000000000000028e+01 3.261999999999999900e-01 2.262999999999999821e-03 3.810253715057161372e+01
