# x	 y	 dy	 fy
1.156400000000000067e-01 1.471917096946369963e+00 5.000000000000000278e-02 1.464961736367354384e+00
1.163600000000000051e-01 1.493483373556069971e+00 5.000000000000000278e-02 1.474521496131258713e+00
1.170899999999999996e-01 1.517542237340899991e+00 5.000000000000000278e-02 1.484140613519894680e+00
1.178199999999999942e-01 1.521151101125729932e+00 5.000000000000000278e-02 1.493641297912952970e+00
1.185400000000000065e-01 1.534811377735429971e+00 5.000000000000000278e-02 1.502883216045780790e+00
1.192700000000000010e-01 1.534866241520260077e+00 5.000000000000000278e-02 1.512185277869051436e+00
1.199999999999999956e-01 1.526032105305090036e+00 5.000000000000000278e-02 1.521297225985917656e+00
1.207300000000000040e-01 1.550507969089919946e+00 5.000000000000000278e-02 1.530350651898712888e+00
1.214500000000000024e-01 1.579966245699609972e+00 5.000000000000000278e-02 1.539113921170271126e+00
1.221799999999999969e-01 1.571573109484440067e+00 5.000000000000000278e-02 1.547896433166013663e+00
1.229100000000000054e-01 1.576503973269270054e+00 5.000000000000000278e-02 1.556563208357484962e+00
1.236300000000000038e-01 1.586790249878970105e+00 5.000000000000000278e-02 1.564946387883918266e+00
1.243599999999999983e-01 1.596111113663799985e+00 5.000000000000000278e-02 1.573385675995847333e+00
1.250900000000000067e-01 1.609688977448630043e+00 5.000000000000000278e-02 1.581597366388748593e+00
1.258100000000000052e-01 1.622209254058329941e+00 5.000000000000000278e-02 1.589630806430370358e+00
1.265400000000000136e-01 1.622798117843160082e+00 5.000000000000000278e-02 1.597605893510470221e+00
1.272699999999999942e-01 1.635512981627990081e+00 5.000000000000000278e-02 1.605446050249276668e+00
1.280000000000000027e-01 1.619593845412820032e+00 5.000000000000000278e-02 1.613178683186535789e+00
1.287200000000000011e-01 1.626807122022509988e+00 5.000000000000000278e-02 1.620601552629185038e+00
1.294500000000000095e-01 1.649096985807350091e+00 5.000000000000000278e-02 1.628060661573249801e+00
1.301799999999999902e-01 1.668357849592180031e+00 5.000000000000000278e-02 1.635291424658563697e+00
1.308999999999999886e-01 1.658440126201869980e+00 5.000000000000000278e-02 1.642328596770820548e+00
1.316299999999999970e-01 1.661797989986699919e+00 5.000000000000000278e-02 1.649300248251529100e+00
1.323600000000000054e-01 1.668861853771530068e+00 5.000000000000000278e-02 1.656101803720083421e+00
1.330800000000000038e-01 1.664556130381229959e+00 5.000000000000000278e-02 1.662717219986733719e+00
1.338100000000000123e-01 1.690157994166060051e+00 5.000000000000000278e-02 1.669179781996362744e+00
1.345399999999999929e-01 1.703342857950890021e+00 5.000000000000000278e-02 1.675566364993059221e+00
1.352599999999999913e-01 1.703184134560590035e+00 5.000000000000000278e-02 1.681645437113244546e+00
1.359899999999999998e-01 1.716124998345420094e+00 5.000000000000000278e-02 1.687682844739622601e+00
1.367200000000000082e-01 1.722723862130250083e+00 5.000000000000000278e-02 1.693567239047530704e+00
1.374499999999999889e-01 1.720912725915080044e+00 5.000000000000000278e-02 1.699244435288288280e+00
1.381699999999999873e-01 1.724352002524770056e+00 5.000000000000000278e-02 1.704768414381491848e+00
1.388999999999999957e-01 1.733304866309600012e+00 5.000000000000000278e-02 1.710082381400274798e+00
1.396300000000000041e-01 1.737887730094429983e+00 5.000000000000000278e-02 1.715314927886964602e+00
1.403500000000000025e-01 1.760280006704129985e+00 5.000000000000000278e-02 1.720266410082695652e+00
1.410800000000000110e-01 1.764841870488959907e+00 5.000000000000000278e-02 1.725126990222010104e+00
1.418099999999999916e-01 1.775459734273789891e+00 5.000000000000000278e-02 1.729850839516670513e+00
1.425299999999999900e-01 1.785883010883489996e+00 5.000000000000000278e-02 1.734268675469429644e+00
1.432599999999999985e-01 1.783717874668319991e+00 5.000000000000000278e-02 1.738667264610379348e+00
1.439900000000000069e-01 1.803186738453149918e+00 5.000000000000000278e-02 1.742786844968331250e+00
1.447100000000000053e-01 1.827542015062840086e+00 5.000000000000000278e-02 1.746743277567905928e+00
1.454400000000000137e-01 1.825972878847669900e+00 5.000000000000000278e-02 1.750555357913508470e+00
