Chisq rho_SiOx rho_Cr rho_Au d_oxide d_Cr d_Au l_tether l_lipid1 dl_lipid_on1 dl_lipid_off penetration nf_tether mult_tether vf_bilayer ExProtons scalarmult_off1 scalarmult_off2 d_on1 d_on2 d_on3 d_on4 d_on5 d_on6 d_on7 vf_on1 vf_on2 vf_on3 vf_on4 vf_on5 vf_on6 rho_solv_0 rho_solv_1 rho_solv_h2o rho_solv_5 global_rough sigma rough_au_cr background_1 background_2 background_3 background_4 background_5
2.94092 3.5094976e-06 4.1332113e-06 4.4374066e-06 8.315312 35.25234 114.45104 14.172994 12.889724 1.187264 -0.2962 -4.442072 0.656487 3.5076196 0.9999908 0.8312176 0.6569686 0.6569686 11.308964 10.492768 12.480108 10.790612 11.414664 10.420304 10.784448 0.1646112 0.4456236 0.3164028 0.1096086 0.0402183 0.01418607 6.14505536e-06 3.7600374e-06 -4.77207264e-07 3.8965168e-06 3.520664 3.702824 3.281248 8.20455724e-07 2.344536199e-06 2.711317828e-06 1.858308464e-06 1.11617692e-06
2.63119 3.7878168e-06 4.0846303e-06 4.4523853e-06 10.000535 32.43006 113.7046 14.721697 13.187476 2.496576 0.011304 -7.93077408 0.500000101913 5.1898276 0.9967164 0.51980676 0.7574734 0.646543 10.7845 9.03348076 9.52554 10.68648 9.0334044 9.43386 9.0385476 0.001984536 0.3286002 0.3966156 0.227883 0.0310104 0.00553191 6.14397824e-06 3.759441e-06 -4.89348504e-07 3.8925356e-06 3.759164 3.57161 5.967168 9.84929086e-07 2.70790851e-06 2.287937521e-06 2.03329346e-06 1.118266502e-06
2.62634 3.711286e-06 4.1187306e-06 4.4270323e-06 5.35470035 35.66348 115.24646 14.688649 13.098758 1.104776 -0.091944 -7.96603168 0.6436535 3.4655446 0.9999992 0.50076368 0.6241429 0.4955194 9.682144 11.323756 10.714672 9.0963748 9.4825 10.985288 9.331148 0.05671686 0.3967296 0.2595756 0.288309 0.1235142 0.0151251 6.14392352e-06 3.761382e-06 -4.79548196e-07 3.8874244e-06 3.902648 3.479915 5.871508 9.94198807e-07 2.469476206e-06 2.348665373e-06 2.56723665e-06 1.213742403e-06
2.97478 3.6045592e-06 4.1565619e-06 4.435603e-06 8.3013125 34.04598 115.10446 14.595859 12.898922 1.900728 -0.722224 -4.689872 0.8313605 2.663011 0.9999632 0.50593532 0.566326 0.5583547 9.1185516 11.72902 11.85974 12.398064 10.475088 12.285984 11.438192 0.2740062 0.2760078 0.4107144 0.2184606 0.01878411 0.01513506 6.14290304e-06 3.760665e-06 -5.26685224e-07 3.8911972e-06 4.123276 3.591275 2.3886492 4.85662852e-07 2.689497193e-06 1.978979325e-06 2.20225966e-06 1.484798181e-06
2.92605 3.6339864e-06 4.0584353e-06 4.4517439e-06 5.00000669181 36.37672 115.47278 14.42341 13.105884 -0.449904 -0.20176 -5.083088 0.6119815 4.0564261 0.9999712 0.7141704 0.4995199 0.4375513 11.39974 9.137602 10.672724 10.163796 10.952828 9.885748 11.427428 0.2594892 0.437655 0.3579378 0.311868 0.0965409 0.1072677 6.14502656e-06 3.7601598e-06 -5.26911316e-07 3.8874888e-06 4.969572 3.135662 2.583128 6.31254115e-07 3.11402727e-06 2.52819446e-06 3.081878701e-06 9.24380287e-07
2.71409 3.679272e-06 4.1104418e-06 4.4370805e-06 5.00210132 34.12158 116.71912 14.051863 13.22585 2.622512 0.336896 -4.757792 0.622226 3.4686037 0.9990844 0.6281352 0.5159179 0.5134762 12.21892 10.630888 11.717284 10.687276 9.3942232 10.250484 12.119396 0.2079984 0.4756044 0.3254814 0.05467476 0.01727148 0.01567266 6.14321984e-06 3.760203e-06 -4.74656508e-07 3.889092e-06 5.027232 3.396641 3.818964 2.176831e-07 3.504339192e-06 1.64547104e-06 2.263192471e-06 1.257673615e-06
2.69855 3.7134884e-06 4.0870249e-06 4.4416195e-06 5.0001408473 35.69564 115.27932 14.308048 13.23621 -0.63484 -0.254888 -5.459744 0.578547 3.570247 0.9988136 0.7553672 0.4611556 0.4611529 11.669472 12.001888 9.897208 10.030308 9.495908 10.951016 11.204356 0.2185536 0.5645772 0.317727 0.1317192 0.1355391 0.055641 6.14388416e-06 3.761073e-06 -5.10215534e-07 3.8924108e-06 4.415228 3.427784 5.614164 7.26831442e-07 2.881063872e-06 2.132778559e-06 2.273830343e-06 7.16521867e-07
2.68381 3.6064608e-06 4.153191e-06 4.4442781e-06 5.0003411144 40.66064 110.19838 14.392468 13.090778 -1.849048 -0.362864 -5.329792 0.5378397 4.7931544 0.99899 0.7541892 0.6133627 0.6125113 11.623164 11.404216 10.028684 11.393028 10.148472 10.920824 11.105192 0.1891308 0.3582726 0.4751586 0.05399964 0.048003 0.0490758 6.14237312e-06 3.7620306e-06 -4.79197106e-07 3.8853984e-06 4.656 3.484343 4.6384 7.64997238e-07 2.511242851e-06 2.187282656e-06 2.230613988e-06 1.360892967e-06
2.90926 3.7582856e-06 4.1381032e-06 4.4377834e-06 5.6120405 40.08172 110.14942 14.508046 13.058788 0.255432 0.054472 -1.341728 0.6454745 3.7633465 0.9999948 0.6540048 0.6238882 0.6238882 10.197628 11.337124 9.0424088 10.685252 10.676908 9.1630132 11.585912 0.2650944 0.4743294 0.1753812 0.1824492 0.01346277 0.01495863 6.14348576e-06 3.7589532e-06 -4.87563174e-07 3.8901544e-06 4.311336 3.68822 5.27292 7.64986249e-07 2.391296845e-06 2.811742739e-06 2.243216467e-06 1.455349072e-06
2.88503 3.618182e-06 4.092715e-06 4.4324785e-06 5.10527075 33.81616 116.98494 14.605399 13.063968 -0.432432 0.122592 -0.669528 0.7465835 2.7208963 0.9997676 0.51109496 0.5986531 0.4953205 11.560872 12.713816 9.763092 9.1906976 11.008824 12.376272 10.832764 0.257886 0.4418262 0.0817008 0.0880032 0.00894363 0.00953334 6.14035712e-06 3.7613304e-06 -5.4345554e-07 3.8865544e-06 4.693648 3.209969 3.950248 7.47481771e-07 2.421225858e-06 2.19786054e-06 2.293056497e-06 9.50415079e-07
2.91412 3.7652784e-06 4.1545404e-06 4.4659633e-06 7.0274615 43.22294 105.5229 14.319379 13.217156 2.124064 -0.412928 -6.705656 0.566946 4.040002 0.9999896 0.819664 0.6483439 0.5377348 10.374512 9.521984 10.79554 10.653252 9.769128 9.487688 10.285328 0.2078808 0.4554156 0.2579364 0.286596 0.1587573 0.1266429 6.14359712e-06 3.76041e-06 -4.64906332e-07 3.8859192e-06 4.159932 2.810456 3.3348 6.44746609e-07 2.608938308e-06 2.904264231e-06 2.253144481e-06 1.211327886e-06
2.84631 3.4544172e-06 4.1331138e-06 4.4394028e-06 5.00028198935 37.09694 114.34336 14.767597 12.89076 -1.664952 0.580632 -2.862808 0.8105415 2.7503785 0.9960396 0.52082472 0.3490021 0.3488752 10.287616 9.2767512 11.135892 11.937576 11.666032 9.55878 9.458032 0.1600794 0.5073324 0.2248344 0.1373256 0.1227372 0.1211349 6.14380832e-06 3.7604148e-06 -4.59079566e-07 3.8903016e-06 5.395672 3.072221 3.360424 4.75821703e-07 2.619656164e-06 2.719181255e-06 2.67186572e-06 1.145391076e-06
2.79792 3.7450928e-06 4.1437764e-06 4.4501047e-06 5.2384802 40.05352 110.21822 14.490919 13.111302 2.476968 -0.696088 -0.208856 0.5248081 4.9332196 0.999514 0.6916772 0.4743514 0.4702537 9.341224 12.425896 10.969708 9.901272 9.87268 10.830632 9.2444224 0.4397838 0.4382982 0.216414 0.2404602 0.07245 0.00484359 6.14026208e-06 3.7604562e-06 -4.9898497e-07 3.8880848e-06 4.34076 3.473633 4.349128 8.29308862e-07 2.853134459e-06 2.983713338e-06 2.272335642e-06 1.2712459e-06
2.68613 3.7452576e-06 4.1572769e-06 4.4292841e-06 5.00008321175 38.51556 112.43702 14.292271 13.120514 2.236056 0.00176 -2.140792 0.6936735 2.9248759 0.996 0.7231468 0.612982 0.587206 9.666096 11.725028 11.006416 12.364276 10.80948 9.0288902 10.480272 0.1061088 0.536718 0.1583688 0.1759656 0.0609276 0.0470361 6.14224544e-06 3.7608924e-06 -4.99674202e-07 3.886144e-06 4.328712 3.072515 4.684772 9.05301793e-07 2.477709559e-06 2.088992318e-06 2.035018115e-06 1.004379284e-06
2.87167 3.6111044e-06 4.1637886e-06 4.4459728e-06 5.043253865 44.94326 105.91006 14.624029 13.10139 1.149376 -0.421688 -0.952472 0.678952 3.2046202 0.999996 0.7673208 0.6456889 0.6123466 10.838236 10.456988 10.282956 10.170872 11.36106 10.370112 10.773324 0.387099 0.4065492 0.1494702 0.1032726 0.0473391 0.052599 6.14320928e-06 3.7598022e-06 -4.91369388e-07 3.8916272e-06 4.423756 3.324182 5.64662 8.35281883e-07 2.760477994e-06 3.27939419e-06 2.616266842e-06 1.055784001e-06
2.80898 3.5536976e-06 4.1194521e-06 4.439851e-06 5.00000075933 38.01578 113.17214 14.173687 13.200608 -0.250688 -0.86496 -5.51944 0.54604195 4.1888287 0.9996012 0.6699808 0.6673402 0.6672556 9.2872372 10.903772 10.134964 10.233232 10.975496 10.912756 12.145584 0.2076708 0.3716874 0.411564 0.173262 0.0551721 0.0500043 6.14316608e-06 3.7619136e-06 -4.8706036e-07 3.8858364e-06 4.744052 2.8697 5.0032 8.71401727e-07 1.950205081e-06 3.271090851e-06 2.132833548e-06 1.004739212e-06
2.77415 3.7362776e-06 4.1002173e-06 4.4358391e-06 7.843613 33.33502 115.55536 14.45113 12.930002 -1.527976 -0.037752 -5.847256 0.639448 3.5803351 0.9999976 0.6948108 0.5893984 0.548101 11.503204 10.91304 9.606516 9.709268 11.679372 12.568764 11.834732 0.2025762 0.3863232 0.3802674 0.0886458 0.0984927 0.1094364 6.14286272e-06 3.7615668e-06 -4.79846996e-07 3.8863236e-06 3.824124 3.552347 4.92236 4.74428098e-07 2.463247452e-06 1.416351873e-06 2.140152084e-06 1.151654823e-06
