p2sigma m2sigma msigma psigma zaxis mean
59.330778519 25.612603561 39.621297769 47.040859162 32.0 43.877265
59.482342327 26.155617177 39.927927733 47.628338258 32.5 44.2282135
60.08748054 26.738847196 40.213647082 48.134630508 33.0 44.549816
60.108037919 27.768549852 40.50861529 48.59451588 33.5 44.8259535
60.076994157 28.797371969 40.880982338 49.089577747 34.0 45.1015915
59.996490821 29.394265313 41.197708117 49.46124474 34.5 45.3633465
60.105396332 30.282929273 41.624388275 49.818930259 35.0 45.5887695
60.293467349 30.749514793 41.935802343 50.123019516 35.5 45.8247905
60.495729055 31.204925668 42.202457667 50.411809738 36.0 46.052029
60.879126986 31.648604908 42.474473824 50.686807579 36.5 46.249551
61.20465971 32.079992104 42.737146862 50.944658149 37.0 46.4755905
61.36955108 32.498529158 42.926595535 51.198502688 37.5 46.705238
61.51229869 32.905219866 43.170762422 51.531154201 38.0 46.9095185
61.641597336 33.273175347 43.341399454 51.652106596 38.5 47.1335885
61.912652564 33.453701396 43.577274078 51.90901944 39.0 47.3267835
62.062211117 33.560999502 43.783682631 52.14287947 39.5 47.5027255
62.111107267 33.649497205 43.969622887 52.285323573 40.0 47.677286
62.17078976 33.737645852 44.147686864 52.476714528 40.5 47.854673
62.251280375 33.825665171 44.320958389 52.728716859 41.0 48.0370065
62.31207833 33.961719008 44.510127522 52.908828659 41.5 48.207935
62.356253487 33.917957371 44.691903353 52.986522752 42.0 48.3901075
62.360312083 34.141208371 44.871846377 53.116191286 42.5 48.5671095
62.29143243 34.415433895 45.049978547 53.183482422 43.0 48.7408405
62.09626737 34.6859512 45.184267113 53.175880121 43.5 48.8978425
61.941365637 35.071523234 45.367383346 53.251112715 44.0 49.062934
61.855544525 35.504424242 45.567028184 53.315985122 44.5 49.2282285
61.761598715 35.820024259 45.798915428 53.263842178 45.0 49.3764965
61.677381221 35.956945472 46.026209431 53.290149834 45.5 49.5173255
61.589430887 36.281479198 46.227661476 53.383311579 46.0 49.6658575
61.482920264 36.761428285 46.357924839 53.474066848 46.5 49.798273
61.363485713 37.142456187 46.544747362 53.530131986 47.0 49.927585
61.186239789 37.555016687 46.726391508 53.48971868 47.5 50.0423135
61.029258679 37.911099085 46.866346864 53.573519761 48.0 50.137255
60.760417298 38.114785714 46.93425692 53.599172348 48.5 50.2366915
60.319647157 38.252547635 47.007983579 53.670350361 49.0 50.323415
59.93021741 38.773752146 47.136310695 53.665924053 49.5 50.3963145
59.867329606 39.042541611 47.19463777 53.673332248 50.0 50.452205
59.711318894 39.300862886 47.286471547 53.611503078 50.5 50.505148
59.560206837 39.550683325 47.355870547 53.572928945 51.0 50.5316745
59.366823854 39.728404995 47.436771447 53.433511592 51.5 50.5566695
59.262868449 39.727303284 47.509413251 53.32569176 52.0 50.552834
59.249858675 39.536623914 47.45323987 53.189469359 52.5 50.554921
59.15557402 39.530794055 47.411705312 53.086265139 53.0 50.5338555
58.82556648 39.40938237 47.376315 53.027167231 53.5 50.497852
58.583440153 39.298092039 47.320670797 52.91838177 54.0 50.4616215
58.36062751 39.187711934 47.269823321 52.745429945 54.5 50.416661
58.059164273 39.156601884 47.218027021 52.558445675 55.0 50.371604
57.746588789 39.03976336 47.062604812 52.357463286 55.5 50.273851
57.455193538 38.91030648 46.913918528 52.14089359 56.0 50.1346895
57.17683356 38.82159737 46.736450859 51.997875278 56.5 49.990391
56.866718445 38.542156413 46.571005648 51.77363034 57.0 49.819767
56.621854225 38.079878063 46.40838456 51.528242257 57.5 49.619687
56.265265647 37.737457079 46.14130926 51.290142182 58.0 49.422654
55.873012112 37.394297429 45.950866287 51.037654618 58.5 49.181223
55.470494953 36.972280588 45.636973738 50.805841937 59.0 48.945293
55.046671709 36.612418144 45.392850829 50.54399293 59.5 48.6834435
54.552903834 36.428015444 45.066856445 50.258600989 60.0 48.3850765
54.011924482 36.144540065 44.703520816 49.938215213 60.5 48.057393
53.527923602 35.847595733 44.301588076 49.590703516 61.0 47.6811885
