Chisq frac_deut l_lipid sigma background0 scale0 sld_solvent0 vf0 background1 sld_solvent1 
-3152.3054356496045 0.8443407216046371 9.857857242835752 2.614779990601704 0.06501378187456013 1.5787246594528799 6.292179503004505 0.09555928864095124 0.6743264142620466 1.4806866019880938 
-2351.12654299345 0.9094515102666795 10.053697134744064 2.948443929198875 0.06494226838645745 2.5152862400104636 6.345173420541245 0.08537557325895401 0.6721808336909469 2.388674249632099 
-1894.7757452110056 0.8820843339666219 11.101984002862869 2.1105827611799293 0.06561055339897834 1.8166446134118561 6.231539780479923 0.09571857818207966 0.6718462550899263 2.2137680327552194 
-4607.224009721414 0.862254759553671 11.399487977753665 2.5145711474386903 0.05969758136571816 2.4550690481505937 6.217299149311204 0.06027838026198277 0.6758832151349542 1.9729845735219618 
-3441.115732604154 0.8975016582528614 10.234130008509243 2.852190795051373 0.06480042095233272 3.0861580166990445 6.232476711446128 0.07045087780310665 0.6790777102113618 2.354227819830681 
-2170.6929513030427 0.865651527765982 10.555751748339008 2.064988738304491 0.06655329698434592 1.7829607441164086 6.209251865387884 0.09795061095593705 0.67242932475099 2.0277120427505326 
-2737.6696796203614 0.9260100977232991 9.80347896279975 2.8687616253941353 0.06386009564934247 2.954987578270741 6.395270883223691 0.08109682495679817 0.6694127402069336 2.5742973638067994 
-4079.728576830355 0.9397613793835535 10.378089649831272 2.869131893240186 0.06438040505659944 4.889531239190739 6.391101840892104 0.048942291465499936 0.6761186794527232 2.793835886079219 
-3477.507817466868 0.8467524483779159 9.841623621857556 2.146942875776051 0.06459366709476491 1.783781157098629 6.228254102430364 0.0987773062642209 0.6733460274621027 1.780914132157354 
-3054.7883794604104 0.8580179812775959 11.056659333101399 2.006645740161607 0.06509435277521887 1.9206477418583736 6.203660654171704 0.08084241564651384 0.6778732574903676 1.8827333910544215 
-6667.587034593074 0.9014282675144484 11.048738925752561 2.099627124488685 0.06510774863999538 14.977963582533572 6.296021508035613 0.012152390429378743 0.674707560100047 2.4288951413057864 
-5083.272700074453 0.9346067070670154 11.176458525016953 2.8293924069570346 0.06370744200949051 6.6863173860612095 6.3425600588320945 0.031962020998040186 0.6720323484176337 2.810686341430261 
-3152.3054356496045 0.8443407216046371 9.857857242835752 2.614779990601704 0.06501378187456013 1.5787246594528799 6.292179503004505 0.09555928864095124 0.6743264142620466 1.4806866019880938 
-2747.115397533502 0.9303224531582165 10.445328586712776 2.6924996055907524 0.06334351798035782 2.4890122984159677 6.359000789545796 0.09497691680101636 0.657810504003593 2.7205593085802735 
-2788.6517663071595 0.9130869657970732 10.155850234572906 2.813294736185021 0.06376281717643818 3.2503986845386157 6.240029286548064 0.07506199788641775 0.6685118715590681 2.6145429764208257 
-2262.957087393062 0.915483418594604 11.26421996682427 2.7004410344211496 0.0640552021611659 2.526454407333575 6.23451874074242 0.08715523568866443 0.6723312707283113 2.749353470256198 
-4607.224009721414 0.862254759553671 11.399487977753665 2.5145711474386903 0.05969758136571816 2.4550690481505937 6.217299149311204 0.06027838026198277 0.6758832151349542 1.9729845735219618 
-2747.115397533502 0.9303224531582165 10.445328586712776 2.6924996055907524 0.06334351798035782 2.4890122984159677 6.359000789545796 0.09497691680101636 0.657810504003593 2.7205593085802735 
-4630.896469199348 0.8973546645699038 8.7818152842556 2.8126778046222345 0.06561616840761825 3.983390992704746 6.253488488113998 0.07257033237178806 0.6673315508592892 2.4316353467886547 
-3054.7883794604104 0.8580179812775959 11.056659333101399 2.006645740161607 0.06509435277521887 1.9206477418583736 6.203660654171704 0.08084241564651384 0.6778732574903676 1.8827333910544215 
-2367.4861881527145 0.9027699602339967 10.940250092382634 2.438759871703332 0.06459035970288447 2.2927129997869438 6.307305765770091 0.0792249396671857 0.6781159178266039 2.388811987836172 
-2930.8427990070923 0.8818566540844225 10.84092708301609 2.450302705199836 0.06710914276508395 1.8447583108402028 6.367286697094814 0.08273688122151208 0.6712892322072538 1.939822538192868 
-1894.7757452110056 0.8820843339666219 11.101984002862869 2.1105827611799293 0.06561055339897834 1.8166446134118561 6.231539780479923 0.09571857818207966 0.6718462550899263 2.2137680327552194 
-4607.224009721414 0.862254759553671 11.399487977753665 2.5145711474386903 0.05969758136571816 2.4550690481505937 6.217299149311204 0.06027838026198277 0.6758832151349542 1.9729845735219618 
