# Q Iq dIq dQ fit
1.533999999999999947e-02 1.438000000000000078e+01 1.908999999999999864e-01 1.273000000000000043e-03 1.477724456455401736e+01
1.575000000000000011e-02 1.373000000000000043e+01 1.940000000000000058e-01 1.283999999999999985e-03 1.403275710200376736e+01
1.616000000000000075e-02 1.332000000000000028e+01 1.940000000000000058e-01 1.294999999999999927e-03 1.336347165409939386e+01
1.657000000000000139e-02 1.274000000000000021e+01 1.701999999999999902e-01 1.307000000000000002e-03 1.271305614134855411e+01
1.661999999999999936e-02 1.292999999999999972e+01 1.076000000000000012e-01 2.242000000000000069e-03 1.303405306575072409e+01
1.697999999999999857e-02 1.247000000000000064e+01 1.643999999999999906e-01 1.317999999999999944e-03 1.213024330614591406e+01
1.738999999999999921e-02 1.158999999999999986e+01 1.597000000000000086e-01 1.330000000000000019e-03 1.156870204964879711e+01
1.779999999999999985e-02 1.100999999999999979e+01 1.461000000000000076e-01 1.340999999999999961e-03 1.105563674828465892e+01
1.795000000000000068e-02 1.128999999999999915e+01 9.976999999999999758e-02 2.262999999999999821e-03 1.118131194338513090e+01
1.821000000000000049e-02 1.096000000000000085e+01 1.685999999999999999e-01 1.353999999999999952e-03 1.058320882253924999e+01
1.862000000000000113e-02 1.058000000000000007e+01 1.461999999999999966e-01 1.366000000000000027e-03 1.013445346873884034e+01
1.902999999999999831e-02 1.001999999999999957e+01 1.413000000000000089e-01 1.378000000000000102e-03 9.722698766421771666e+00
1.927999999999999853e-02 9.958000000000000185e+00 8.142000000000000626e-02 2.285999999999999838e-03 9.715503749727355753e+00
1.943999999999999895e-02 9.641999999999999460e+00 1.388000000000000067e-01 1.391000000000000092e-03 9.339072991058113615e+00
1.984000000000000000e-02 9.272999999999999687e+00 1.335000000000000075e-01 1.402999999999999950e-03 8.989286816340714026e+00
2.025000000000000064e-02 9.131999999999999673e+00 1.381999999999999895e-01 1.415999999999999941e-03 8.652023147999882369e+00
2.060999999999999985e-02 8.855999999999999872e+00 7.621999999999999609e-02 2.311000000000000120e-03 8.537912895310622474e+00
2.066000000000000128e-02 8.631000000000000227e+00 1.233000000000000068e-01 1.428999999999999932e-03 8.334641699375330504e+00
2.106999999999999845e-02 8.412000000000000810e+00 1.338000000000000023e-01 1.441999999999999922e-03 8.033358438013895153e+00
2.147999999999999909e-02 8.111000000000000654e+00 1.288999999999999868e-01 1.454999999999999913e-03 7.753472559291431310e+00
2.188999999999999974e-02 7.879999999999999893e+00 1.203999999999999931e-01 1.469000000000000037e-03 7.474015594403656593e+00
2.194000000000000117e-02 7.910000000000000142e+00 6.360999999999999988e-02 2.337000000000000102e-03 7.583684875810645210e+00
2.230000000000000038e-02 7.477999999999999758e+00 1.165000000000000063e-01 1.482000000000000027e-03 7.233528758715224605e+00
2.271000000000000102e-02 7.157000000000000028e+00 1.131000000000000061e-01 1.495999999999999934e-03 6.995459183036046191e+00
2.312000000000000166e-02 6.878999999999999559e+00 1.123999999999999999e-01 1.508999999999999925e-03 6.754105040952993910e+00
2.326999999999999902e-02 7.102000000000000313e+00 5.675999999999999795e-02 2.364999999999999915e-03 6.786939748282255103e+00
2.352999999999999883e-02 6.684999999999999609e+00 1.043000000000000038e-01 1.523000000000000048e-03 6.542993069368677084e+00
2.392999999999999988e-02 6.557999999999999829e+00 1.097999999999999948e-01 1.536999999999999955e-03 6.347700825168248073e+00
2.434000000000000052e-02 6.298000000000000043e+00 1.067000000000000032e-01 1.551000000000000078e-03 6.147908923887317023e+00
2.460000000000000034e-02 6.379999999999999893e+00 5.041999999999999954e-02 2.393999999999999861e-03 6.120225266631178940e+00
2.475000000000000117e-02 6.269000000000000128e+00 1.039999999999999952e-01 1.564999999999999985e-03 5.966150927105108970e+00
2.515999999999999834e-02 5.847999999999999865e+00 1.074999999999999983e-01 1.580000000000000024e-03 5.796365661616413867e+00
