# z rho mu
57.5 -5.38921e-08 0
57.5 -8.73393e-08 0
58 -8.73393e-08 0
58 -1.16989e-07 0
58.5 -1.16989e-07 0
58.5 -1.43004e-07 0
59 -1.43004e-07 0
59 -1.65596e-07 0
59.5 -1.65596e-07 0
59.5 -1.85014e-07 0
60 -1.85014e-07 0
60 -2.01522e-07 0
60.5 -2.01522e-07 0
60.5 -2.15384e-07 0
61 -2.15384e-07 0
61 -2.26859e-07 0
61.5 -2.26859e-07 0
61.5 -2.36185e-07 0
62 -2.36185e-07 0
62 -2.43577e-07 0
62.5 -2.43577e-07 0
62.5 -2.49222e-07 0
63 -2.49222e-07 0
63 -2.53276e-07 0
63.5 -2.53276e-07 0
63.5 -2.55865e-07 0
64 -2.55865e-07 0
64 -2.57083e-07 0
64.5 -2.57083e-07 0
64.5 -2.56992e-07 0
65 -2.56992e-07 0
65 -2.55624e-07 0
65.5 -2.55624e-07 0
65.5 -2.52977e-07 0
66 -2.52977e-07 0
66 -2.49019e-07 0
66.5 -2.49019e-07 0
66.5 -2.43683e-07 0
67 -2.43683e-07 0
67 -2.36865e-07 0
67.5 -2.36865e-07 0
67.5 -2.28429e-07 0
68 -2.28429e-07 0
68 -2.18201e-07 0
68.5 -2.18201e-07 0
68.5 -2.05971e-07 0
69 -2.05971e-07 0
69 -1.91499e-07 0
69.5 -1.91499e-07 0
69.5 -1.74519e-07 0
70 -1.74519e-07 0
70 -1.54747e-07 0
70.5 -1.54747e-07 0
70.5 -1.31892e-07 0
71 -1.31892e-07 0
71 -1.05674e-07 0
71.5 -1.05674e-07 0
71.5 -7.58378e-08 0
72 -7.58378e-08 0
72 -4.21737e-08 0
72.5 -4.21737e-08 0
72.5 -4.54013e-09 0
73 -4.54013e-09 0
73 3.71168e-08 0
73.5 3.71168e-08 0
73.5 8.27431e-08 0
74 8.27431e-08 0
74 1.3216e-07 0
74.5 1.3216e-07 0
74.5 1.85053e-07 0
75 1.85053e-07 0
75 2.40963e-07 0
75.5 2.40963e-07 0
75.5 2.99291e-07 0
76 2.99291e-07 0
76 3.59306e-07 0
76.5 3.59306e-07 0
76.5 4.20158e-07 0
77 4.20158e-07 0
77 4.80909e-07 0
77.5 4.80909e-07 0
77.5 5.4056e-07 0
78 5.4056e-07 0
78 5.98089e-07 0
78.5 5.98089e-07 0
78.5 6.5249e-07 0
79 6.5249e-07 0
79 7.02811e-07 0
79.5 7.02811e-07 0
79.5 7.48198e-07 0
80 7.48198e-07 0
80 7.87926e-07 0
80.5 7.87926e-07 0
80.5 8.21426e-07 0
81 8.21426e-07 0
81 8.48312e-07 0
81.5 8.48312e-07 0
81.5 8.68388e-07 0
82 8.68388e-07 0
82 8.81653e-07 0
82.5 8.81653e-07 0
82.5 8.88296e-07 0
83 8.88296e-07 0
83 8.88682e-07 0
83.5 8.88682e-07 0
83.5 8.83326e-07 0
84 8.83326e-07 0
84 8.72871e-07 0
84.5 8.72871e-07 0
84.5 8.58053e-07 0
85 8.58053e-07 0
85 8.39667e-07 0
85.5 8.39667e-07 0
85.5 8.18535e-07 0
86 8.18535e-07 0
86 7.95473e-07 0
86.5 7.95473e-07 0
86.5 7.71261e-07 0
87 7.71261e-07 0
87 7.4662e-07 0
87.5 7.4662e-07 0
87.5 7.2219e-07 0
88 7.2219e-07 0
88 6.98518e-07 0
88.5 6.98518e-07 0
88.5 6.76049e-07 0
89 6.76049e-07 0
89 6.55124e-07 0
89.5 6.55124e-07 0
89.5 6.3598e-07 0
90 6.3598e-07 0
90 6.18762e-07 0
90.5 6.18762e-07 0
90.5 6.03527e-07 0
91 6.03527e-07 0
91 5.90259e-07 0
91.5 5.90259e-07 0
91.5 5.78882e-07 0
92 5.78882e-07 0
92 5.69276e-07 0
92.5 5.69276e-07 0
92.5 5.61289e-07 0
93 5.61289e-07 0
93 5.54747e-07 0
93.5 5.54747e-07 0
