# Q dQ R dR fit
0.217 0.00273963 2.62354e-06 7.26909e-07 2.52393e-06
0.2194 0.00276986 2.38073e-06 7.12668e-07 2.42846e-06
0.221799 0.00280006 1.67374e-06 6.94673e-07 2.35894e-06
0.2242 0.00283029 2.61151e-06 6.87319e-07 2.33378e-06
0.226601 0.00286052 1.9634e-06 6.67456e-07 2.36433e-06
0.228999 0.00289071 2.04179e-06 6.54003e-07 2.4498e-06
0.231399 0.00292092 2.66869e-06 6.45884e-07 2.57618e-06
0.233799 0.00295113 2.22707e-06 6.31017e-07 2.71803e-06
0.236199 0.00298134 2.77761e-06 6.25607e-07 2.84466e-06
0.238601 0.00301156 2.60114e-06 6.14154e-07 2.92778e-06
0.241 0.00304175 2.78826e-06 6.0639e-07 2.94905e-06
0.243399 0.00307194 2.12852e-06 5.91525e-07 2.9079e-06
0.2458 0.00310215 2.30216e-06 5.82867e-07 2.82747e-06
0.248199 0.00313232 1.11451e-06 5.64653e-07 2.74446e-06
0.2506 0.00316252 2.11455e-06 5.61985e-07 2.68085e-06
