median_area p2sigma_nsld m2sigma_nsld p2sigma_area median_nsl m2sigma_nsl m2sigma_area psigma_area msigma_nsl msigma_nsld p2sigma_nsl zaxis psigma_nsld psigma_nsl median_nsld msigma_area 
0.0 4.56377256742e-06 0.0 1.71190924 0.0 0.0 0.0 0.040284864 0.0 0.0 2.302435e-06 21.5 2.93391548967e-06 6.724044328e-08 0.0 0.0 
0.0 4.58297660704e-06 0.0 1.84096532 0.0 0.0 0.0 0.055288216 0.0 0.0 2.540398344e-06 22.0 3.00751167612e-06 1.006776424e-07 0.0 0.0 
0.0 4.55338067151e-06 0.0 1.95896096 0.0 0.0 0.0 0.078718904 0.0 0.0 2.697865984e-06 22.5 3.13493725833e-06 1.336302888e-07 0.0 0.0 
0.0 4.58335809627e-06 0.0 2.071342016 0.0 0.0 0.0 0.09713988 0.0 0.0 2.773660712e-06 23.0 3.16127772724e-06 1.590478872e-07 0.0 0.0 
0.0 4.58338918298e-06 0.0 2.277224744 0.0 0.0 0.0 0.12634916 0.0 0.0 2.917762352e-06 23.5 3.2105766552e-06 1.884875224e-07 0.0 0.0 
0.0 4.71721470351e-06 0.0 2.398827192 0.0 0.0 0.0 0.15034716 0.0 0.0 2.957165608e-06 24.0 3.31779991835e-06 2.28472304e-07 0.0 0.0 
0.0 4.76127599045e-06 0.0 2.56628404 0.0 0.0 0.0 0.185201928 0.0 0.0 2.983132224e-06 24.5 3.36053362369e-06 2.55210444e-07 0.0 0.0 
0.0 4.7514261787e-06 0.0 2.734285552 0.0 0.0 0.0 0.214950384 0.0 0.0 3.007473752e-06 25.0 3.4293490241e-06 3.124451168e-07 0.0 0.0 
0.0 4.72924085103e-06 0.0 2.878716552 0.0 0.0 0.0 0.24463028 0.0 0.0 3.148693208e-06 25.5 3.42333899306e-06 3.602511904e-07 0.0 0.0 
0.0 4.6702543107e-06 0.0 3.005171136 0.0 0.0 0.0 0.268330552 0.0 0.0 3.289292792e-06 26.0 3.41509418732e-06 4.030162552e-07 0.0 0.0 
0.0 4.73364308106e-06 0.0 3.117568008 0.0 0.0 0.0 0.295109 0.0 0.0 3.33057476e-06 26.5 3.47517348671e-06 4.466481576e-07 0.0 0.0 
0.0 4.71604664534e-06 0.0 3.248605168 0.0 0.0 0.0 0.308932 0.0 0.0 3.41928508e-06 27.0 3.47976590856e-06 4.991284024e-07 0.0 0.0 
