Model 0x10cf7d540
  size 375 out of 409
  interface=0x10cf7d5e0
  repeats=0 at 0x10cf7d574
  # d(0x7fb837015190) rho(0x7fb8370144c8) mu(0x7fb837013800) rough(0x7fb837015e58)
  77 0.5 -1.74364e-07 0 0
  78 0.5 -1.88525e-07 0 0
  79 0.5 -2.00958e-07 0 0
  80 0.5 -2.11865e-07 0 0
  81 0.5 -2.21424e-07 0 0
  82 0.5 -2.29785e-07 0 0
  83 0.5 -2.37067e-07 0 0
  84 0.5 -2.4336e-07 0 0
  85 0.5 -2.48723e-07 0 0
  86 0.5 -2.53191e-07 0 0
  87 0.5 -2.56774e-07 0 0
  88 0.5 -2.59461e-07 0 0
  89 0.5 -2.61223e-07 0 0
  90 0.5 -2.62011e-07 0 0
  91 0.5 -2.61763e-07 0 0
  92 0.5 -2.60399e-07 0 0
  93 0.5 -2.57821e-07 0 0
  94 0.5 -2.53912e-07 0 0
  95 0.5 -2.48532e-07 0 0
  96 0.5 -2.41519e-07 0 0
  97 0.5 -2.32681e-07 0 0
  98 0.5 -2.21797e-07 0 0
  99 0.5 -2.08618e-07 0 0
  100 0.5 -1.9286e-07 0 0
  101 0.5 -1.74215e-07 0 0
  102 0.5 -1.54024e-07 0 0
  103 0.5 -1.31319e-07 0 0
  104 0.5 -1.05615e-07 0 0
  105 0.5 -7.61829e-08 0 0
  106 0.5 -4.28645e-08 0 0
  107 0.5 -5.79249e-09 0 0
  108 0.5 3.47823e-08 0 0
  109 0.5 7.84742e-08 0 0
  110 0.5 1.24751e-07 0 0
  111 0.5 1.72927e-07 0 0
  112 0.5 2.22171e-07 0 0
  113 0.5 2.71513e-07 0 0
  114 0.5 3.19873e-07 0 0
  115 0.5 3.66087e-07 0 0
  116 0.5 4.08953e-07 0 0
  117 0.5 4.47272e-07 0 0
  118 0.5 4.79901e-07 0 0
  119 0.5 5.05801e-07 0 0
  120 0.5 5.24087e-07 0 0
  121 0.5 5.34071e-07 0 0
  122 0.5 5.35289e-07 0 0
  123 0.5 5.27529e-07 0 0
  124 0.5 5.10837e-07 0 0
  125 0.5 4.85514e-07 0 0
  126 0.5 4.52097e-07 0 0
  127 0.5 4.11328e-07 0 0
  128 0.5 3.63906e-07 0 0
  129 0.5 3.10914e-07 0 0
  130 0.5 2.53656e-07 0 0
  131 0.5 1.93461e-07 0 0
  132 0.5 1.31627e-07 0 0
  133 0.5 6.93812e-08 0 0
  134 0.5 7.83993e-09 0 0
  135 0.5 -5.20187e-08 0 0
  136 0.5 -1.09374e-07 0 0
  137 0.5 -1.63572e-07 0 0
  138 0.5 -2.14125e-07 0 0
  139 0.5 -2.60708e-07 0 0
  140 0.5 -3.0314e-07 0 0
  141 0.5 -3.41371e-07 0 0
  142 0.5 -3.7546e-07 0 0
  143 0.5 -4.05549e-07 0 0
  144 0.5 -4.31848e-07 0 0
  145 0.5 -4.54609e-07 0 0
  146 0.5 -4.74108e-07 0 0
  147 0.5 -4.90631e-07 0 0
  148 0.5 -5.0446e-07 0 0
  149 0.5 -5.15862e-07 0 0
  150 0.5 -5.25081e-07 0 0
  151 0.5 -5.32335e-07 0 0
  152 0.5 -5.37809e-07 0 0
  153 0.5 -5.41659e-07 0 0
  154 0.5 -5.44005e-07 0 0
  155 0.5 -5.4499e-07 0 0
  156 0.5 -5.44965e-07 0 0
  157 0.5 -5.44091e-07 0 0
  158 0.5 -5.42473e-07 0 0
  159 0.5 -5.40202e-07 0 0
  160 0.5 -5.37353e-07 0 0
  161 0.5 -5.33988e-07 0 0
  162 0.5 -5.30161e-07 0 0
  163 0.5 -5.26096e-07 0 0
