Q R dR
0.00877296 0.33412826694123315 0.0019679375261171224
0.0100889 0.09259413187787457 0.0008997951712913987
0.0114048 0.039851385269347776 0.000516200703643253
0.0127208 0.020662634060749373 0.0003364505243263762
0.0140367 0.012448491875419592 0.00023484167441539453
0.0153526 0.007907441094676238 0.00017190729050251894
0.0166685 0.005436328446482845 0.00013053449638155489
0.0179845 0.0038004807350271977 0.00010213662121341583
0.0193004 0.0028526935781482414 8.199126874294844e-05
0.0206163 0.0022745356548168672 6.731286579663519e-05
0.0219322 0.00177481507416856 5.6408042769887e-05
0.0241253 0.001339444270720404 4.3672155837692636e-05
0.0263185 0.0009628332346569009 3.519862716464738e-05
0.0285116 0.0008299203883654615 2.934245520135615e-05
0.0307047 0.0007321548594860376 2.512617114798633e-05
0.0328977 0.0006251946099598842 2.1970532794842843e-05
0.0350908 0.0005826406521284747 1.9521531269792317e-05
0.0372838 0.0005318015696281716 1.75579865563577e-05
0.0394768 0.0005175883833150601 1.593805316241624e-05
0.0416698 0.0004679197677233996 1.4568830442346825e-05
0.0438627 0.0004406849081415747 1.3388749837886745e-05
0.0473713 0.0004193070690571438 1.1790040244587342e-05
0.0508798 0.00037850265869499136 1.0453167741085929e-05
0.0543882 0.00035640363658219525 9.310422629018071e-06
0.0578966 0.0003242832865986389 8.317770393180795e-06
0.0614048 0.00031399279011763074 7.445671760434128e-06
0.0649128 0.00028295484136697617 6.673189581175452e-06
0.0684208 0.00026061303086014466 5.984869866126779e-06
0.0719286 0.00024485721084001994 5.368958428210816e-06
0.0754363 0.00021511250420862507 4.81612608475776e-06
0.0789438 0.000200653206752252 4.318883550469318e-06
0.0824512 0.0001796397775139965 3.8709805148191005e-06
0.0859585 0.00016050705250085444 3.4669253306241028e-06
0.087712 0.0001474393119778064 3.2801607751686172e-06
0.091219 0.00013748177902678658 2.9345664327516363e-06
0.0947258 0.00011958443311269805 2.622722978589182e-06
0.0982324 0.00010589881785239371 2.341714919844709e-06
0.101739 9.086055488544703e-05 2.0887000412230586e-06
0.105245 8.08631550093376e-05 1.8612098297642868e-06
0.108751 6.615326785015811e-05 1.6569608110117551e-06
0.112257 5.863820115170612e-05 1.4739329390626e-06
0.115762 4.977233584271419e-05 1.3103477977234462e-06
0.119268 4.213660373767325e-05 1.1644591702077091e-06
0.122773 3.523745909197853e-05 1.0348458972476241e-06
0.126278 2.8182767212740504e-05 9.200869894363928e-07
0.129782 2.3130117956706618e-05 8.189453719469259e-07
0.133287 1.81040912256301e-05 7.301936026893393e-07
0.136791 1.5187960668549033e-05 6.527915072511997e-07
0.140295 1.2540396136814598e-05 5.856818842769097e-07
0.143798 8.642540696486134e-06 5.278969695378062e-07
0.147302 6.480786814329379e-06 4.784551978172087e-07
0.150805 5.189766910349463e-06 4.363895257377206e-07
0.153432 4.380500239452382e-06 4.093006069025358e-07
0.15781 3.277656681271605e-06 3.7134452375423306e-07
0.162187 1.305329154854279e-06 3.407419013187247e-07
0.166564 1.2795547322197416e-06 3.1613823167528057e-07
0.170941 2.8739851368170625e-07 2.9618037787846336e-07
0.175317 6.712396243224231e-07 2.797233493935899e-07
0.179693 -4.1114140336239216e-08 2.658339788211864e-07
0.184068 -7.904073411717815e-08 2.537982022991184e-07
0.188442 -7.778292647637715e-08 2.4308612067160035e-07
0.192816 3.0274452277405377e-07 2.3332110163905777e-07
0.197189 8.717695980657836e-08 2.242523741893735e-07
0.201562 3.8227711236079327e-07 2.1571486132606202e-07
0.205934 -5.655586650911867e-09 2.0761134261529258e-07
0.210305 5.445954539390479e-08 1.9988554726655803e-07
0.214676 2.109366893951188e-07 1.925068330522007e-07
0.219046 -1.7286866272254817e-07 1.854638015003828e-07
0.223416 1.5622602177991102e-07 1.7874950854489878e-07
0.227785 -8.672076476092528e-08 1.7236258883886727e-07
0.232153 4.6373784585010623e-08 1.6629918688827965e-07
0.23652 1.7224862288990256e-07 1.6055285547447728e-07
0.240887 1.516856072257902e-07 1.5511267334041415e-07
0.245253 2.272201881115669e-08 1.4996702022407926e-07
0.249618 -2.6758675738478542e-08 1.451002279269999e-07
0.253982 1.3898854825941133e-07 1.4049275648500434e-07
0.258346 -1.2781641356326571e-07 1.3610691676905925e-07
