# z rho mu P theta
168.787 4.59118e-06 0 0 270
169.287 4.59118e-06 0 0 270
169.287 4.59265e-06 0 0 270
169.787 4.59265e-06 0 0 270
169.787 4.59289e-06 0 0 270
170.287 4.59289e-06 0 0 270
170.287 4.59238e-06 0 0 270
170.787 4.59238e-06 0 0 270
170.787 4.59123e-06 0 0 270
171.287 4.59123e-06 0 0 270
171.287 4.58933e-06 0 0 270
171.787 4.58933e-06 0 0 270
171.787 4.5864e-06 0 0 270
172.287 4.5864e-06 0 0 270
172.287 4.58204e-06 0 0 270
172.787 4.58204e-06 0 0 270
172.787 4.57568e-06 0 0 270
173.287 4.57568e-06 0 0 270
173.287 4.56657e-06 0 0 270
173.787 4.56657e-06 0 0 270
173.787 4.55377e-06 0 0 270
174.287 4.55377e-06 0 0 270
174.287 4.53613e-06 0 0 270
174.787 4.53613e-06 0 0 270
174.787 4.51227e-06 0 0 270
175.287 4.51227e-06 0 0 270
175.287 4.48059e-06 0 0 270
175.787 4.48059e-06 0 0 270
175.787 4.4393e-06 0 0 270
176.287 4.4393e-06 0 0 270
176.287 4.38649e-06 0 0 270
176.787 4.38649e-06 0 0 270
176.787 4.32019e-06 0 0 270
177.287 4.32019e-06 0 0 270
177.287 4.23847e-06 0 0 270
177.787 4.23847e-06 0 0 270
177.787 4.13963e-06 0 0 270
178.287 4.13963e-06 0 0 270
178.287 4.02227e-06 0 0 270
178.787 4.02227e-06 0 0 270
178.787 3.88548e-06 0 0 270
179.287 3.88548e-06 0 0 270
179.287 3.72898e-06 0 0 270
179.787 3.72898e-06 0 0 270
179.787 3.55323e-06 0 0 270
180.287 3.55323e-06 0 0 270
180.287 3.35952e-06 0 0 270
180.787 3.35952e-06 0 0 270
180.787 3.15003e-06 0 0 270
181.287 3.15003e-06 0 0 270
181.287 2.92779e-06 0 0 270
181.787 2.92779e-06 0 0 270
181.787 2.69663e-06 0 0 270
182.287 2.69663e-06 0 0 270
182.287 2.46102e-06 0 0 270
182.787 2.46102e-06 0 0 270
182.787 2.22592e-06 0 0 270
183.287 2.22592e-06 0 0 270
183.287 1.99644e-06 0 0 270
183.787 1.99644e-06 0 0 270
183.787 1.77757e-06 0 0 270
184.287 1.77757e-06 0 0 270
184.287 1.57376e-06 0 0 270
184.787 1.57376e-06 0 0 270
184.787 1.38864e-06 0 0 270
185.287 1.38864e-06 0 0 270
185.287 1.22468e-06 0 0 270
185.787 1.22468e-06 0 0 270
185.787 1.08313e-06 0 0 270
186.287 1.08313e-06 0 0 270
186.287 9.64045e-07 0 0 270
186.787 9.64045e-07 0 0 270
186.787 8.66537e-07 0 0 270
187.287 8.66537e-07 0 0 270
187.287 7.89181e-07 0 0 270
187.787 7.89181e-07 0 0 270
187.787 7.30409e-07 0 0 270
188.287 7.30409e-07 0 0 270
188.287 6.88811e-07 0 0 270
188.787 6.88811e-07 0 0 270
188.787 6.63201e-07 0 0 270
189.287 6.63201e-07 0 0 270
189.287 6.52393e-07 0 0 270
189.787 6.52393e-07 0 0 270
189.787 6.54713e-07 0 0 270
190.287 6.54713e-07 0 0 270
190.287 6.67415e-07 0 0 270
190.787 6.67415e-07 0 0 270
190.787 6.8621e-07 0 0 270
191.287 6.8621e-07 0 0 270
191.287 7.05182e-07 0 0 270
191.787 7.05182e-07 0 0 270
191.787 7.17248e-07 0 0 270
192.287 7.17248e-07 0 0 270
192.287 7.15194e-07 0 0 270
192.787 7.15194e-07 0 0 270
192.787 6.93063e-07 0 0 270
193.287 6.93063e-07 0 0 270
193.287 6.47525e-07 0 0 270
193.787 6.47525e-07 0 0 270
193.787 5.78789e-07 0 0 270
194.287 5.78789e-07 0 0 270
194.287 4.90724e-07 0 0 270
194.787 4.90724e-07 0 0 270
194.787 3.90114e-07 0 0 270
195.287 3.90114e-07 0 0 270
195.287 2.85252e-07 0 0 270
195.787 2.85252e-07 0 0 270
195.787 1.84283e-07 0 0 270
196.287 1.84283e-07 0 0 270
196.287 9.37753e-08 0 0 270
196.787 9.37753e-08 0 0 270
196.787 1.78483e-08 0 0 270
197.287 1.78483e-08 0 0 270
197.287 -4.2007e-08 0 0 270
197.787 -4.2007e-08 0 0 270
197.787 -8.65287e-08 0 0 270
198.287 -8.65287e-08 0 0 270
198.287 -1.17947e-07 0 0 270
198.787 -1.17947e-07 0 0 270
198.787 -1.39187e-07 0 0 270
199.287 -1.39187e-07 0 0 270
199.287 -1.53207e-07 0 0 270
199.787 -1.53207e-07 0 0 270
199.787 -1.62588e-07 0 0 270
200.287 -1.62588e-07 0 0 270
200.287 -1.69351e-07 0 0 270
200.787 -1.69351e-07 0 0 270
200.787 -1.74957e-07 0 0 270
201.287 -1.74957e-07 0 0 270
201.287 -1.80399e-07 0 0 270
201.787 -1.80399e-07 0 0 270
201.787 -1.86327e-07 0 0 270
202.287 -1.86327e-07 0 0 270
202.287 -1.93157e-07 0 0 270
202.787 -1.93157e-07 0 0 270
202.787 -2.01151e-07 0 0 270
203.287 -2.01151e-07 0 0 270
203.287 -2.10471e-07 0 0 270
203.787 -2.10471e-07 0 0 270
203.787 -2.21196e-07 0 0 270
204.287 -2.21196e-07 0 0 270
204.287 -2.33335e-07 0 0 270
204.787 -2.33335e-07 0 0 270
204.787 -2.46825e-07 0 0 270
205.287 -2.46825e-07 0 0 270
205.287 -2.61526e-07 0 0 270
205.787 -2.61526e-07 0 0 270
205.787 -2.77218e-07 0 0 270
206.287 -2.77218e-07 0 0 270
206.287 -2.93605e-07 0 0 270
