z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
13.5 0.0 66.179602 1.51465 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 2.956481 0.0 0.0 0.0 70.650733 1.190952 0.0165774508212
14.0 0.0 64.941377 1.816999 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 3.603026 0.0 0.0 0.0 70.361402 1.480283 0.0206047923291
14.5 0.0 63.514729 2.155364 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.0 0.0 0.0 4.347956 0.0 0.0 2e-06 70.018051 1.823634 0.0253840649756
15.0 0.0 61.890275 2.528209 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 1e-06 0.0 0.0 5.196172 0.0 0.0 5e-06 69.614662 2.227023 0.0309990362837
15.5 0.0 60.062293 2.932476 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 4e-06 0.0 0.0 6.15066 0.0 0.0 1.6e-05 69.145449 2.696236 0.0375302444535
16.0 0.0 58.029423 3.36347 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 1.4e-05 0.0 0.0 7.212132 0.0 0.0 4.7e-05 68.605086 3.236599 0.0450518247171
16.5 0.0 55.795227 3.814826 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 4e-05 0.0 0.0 8.378727 0.0 0.0 0.000129 67.988949 3.852736 0.053628140821
17.0 0.0 53.368583 4.278565 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.000109 0.0 0.0 9.64581 0.0 0.0 0.00033 67.293397 4.548288 0.0633098736479
17.5 0.0 50.763841 4.745258 0.0 -0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.000284 0.0 0.0 11.005887 0.0 0.0 0.000798 66.516068 5.325617 0.0741299010456
18.0 0.0 48.000739 5.204292 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.000697 0.0 0.0 12.448653 0.0 0.0 0.001821 65.656202 6.185483 0.0860988018307
18.5 0.0 45.104045 5.644238 0.0 0.0 0.0 0.0 0.0 71.841685 0.0 0.0 0.001611 1e-06 0.0 13.961174 0.0 0.0 0.003923 64.714992 7.126693 0.0991999700452
19.0 0.0 42.102935 6.0533 0.0 0.0 0.0 0.0 0.0 71.841685 1e-06 0.0 0.003512 1e-06 0.0 15.528215 0.0 0.0 0.007979 63.695943 8.145742 0.113384617858
