Chisq bulknsld dq l_lipid prefactor sigma 
-519.4725834761057 9.946555976837686e-06 0.02266203216704708 12.489195728853018 14288.597359689285 1.135472547170601 
-568.2620673648205 9.790805063052341e-06 0.018275816564355018 12.293757554633878 14802.583717596288 1.1453640384774513 
-521.1176456689454 9.93546119604816e-06 0.023574230910756402 12.512404465879273 14287.003028576619 1.1303358933309025 
-532.0855830555906 9.971825049090503e-06 0.02403901394773086 12.565922854126352 14289.18987439559 1.2456074313911638 
-506.809360752891 9.953367036976432e-06 0.02339668757831503 12.529756364544411 14247.8040612279 1.086761865298935 
-597.3268756513955 9.991603955716535e-06 0.029389361668000838 12.947025600590415 13902.697542548918 1.2734034341031362 
-524.6696220739768 9.893606045415612e-06 0.022531874695580233 12.529341686475444 14536.957831701862 1.0692773697691615 
-531.5056024199755 9.9891299633063e-06 0.02322301771925787 12.510988711575491 14378.330116710187 1.2502324941045206 
-539.8315448712488 9.968923221425387e-06 0.025825953082319112 12.634691564959098 14180.688639966713 1.300643329683829 
-535.661488712337 9.977740506539162e-06 0.025882856000766754 12.635051266582314 14140.122097854462 1.2645723381450382 
-512.9256859930474 9.929998443966601e-06 0.02294851392618024 12.518210304333126 14335.439870775854 1.1214394977303832 
-554.6000399101943 9.817124377318685e-06 0.019772148763569097 12.411888235250961 14530.117898725548 1.006044312645158 
-541.741271353173 9.984434964607534e-06 0.026941989519508484 12.692689382358386 14114.742748994368 1.3092167736425349 
-528.4565385128253 9.86402345057978e-06 0.021560957871375134 12.473744130735755 14492.6646587523 1.0944133812816952 
-530.5682725692461 9.982387283457774e-06 0.024905073410806968 12.58626170569345 14132.08867624408 1.2399916212198672 
-525.2241845699768 9.902406254910435e-06 0.021044691709237093 12.43122547113305 14467.7974341314 1.035094341127306 
-524.697828289273 9.931591975074285e-06 0.021948669335279565 12.447780746630553 14520.363428098663 1.0901742339946283 
-555.4830444962508 9.95969641844635e-06 0.02281001553535029 12.509876439873347 14614.713316393816 1.306873204412933 
-538.1003818724575 9.972657267291766e-06 0.02141760704829917 12.467622599680377 14247.031440642373 1.0864916383167211 
-513.0189716557749 9.944156771687036e-06 0.023498080417865504 12.51292561861747 14377.468227684725 1.0713272902981745 
-528.9486147642742 9.998583942423483e-06 0.024253039173145113 12.553589903960058 14124.50570072798 1.1714530424558385 
-503.0723397548229 9.9767930727392e-06 0.023927812684109328 12.533939433095378 14216.40667724241 1.0715006912867127 
