# x	 y	 dy	 fy
2.199999999999999872e-02 1.629700000000000037e-01 1.000000000000000021e-02 3.815477655695003190e-01
2.299999999999999961e-02 1.719100000000000072e-01 1.000000000000000021e-02 3.830486900284728602e-01
2.400000000000000050e-02 1.812300000000000022e-01 1.000000000000000021e-02 3.845496144874454014e-01
2.500000000000000139e-02 1.908999999999999864e-01 1.000000000000000021e-02 3.860505389464179982e-01
2.599999999999999881e-02 2.009400000000000075e-01 1.000000000000000021e-02 3.888055800938287621e-01
2.699999999999999969e-02 2.113200000000000078e-01 1.000000000000000021e-02 3.917442429916426772e-01
2.800000000000000058e-02 2.220600000000000074e-01 1.000000000000000021e-02 3.946829058894566478e-01
2.900000000000000147e-02 2.331300000000000039e-01 1.000000000000000021e-02 3.976215687872705629e-01
2.999999999999999889e-02 2.445499999999999896e-01 1.000000000000000021e-02 4.005602316850844780e-01
3.099999999999999978e-02 2.562999999999999723e-01 1.000000000000000021e-02 4.034988945828983931e-01
3.200000000000000067e-02 2.683800000000000074e-01 1.000000000000000021e-02 4.075829030880210868e-01
3.300000000000000155e-02 2.807799999999999740e-01 1.000000000000000021e-02 4.124616610892997137e-01
3.400000000000000244e-02 2.934999999999999831e-01 1.000000000000000021e-02 4.173404190905782851e-01
3.500000000000000333e-02 3.065300000000000247e-01 1.000000000000000021e-02 4.222191770918569120e-01
3.599999999999999728e-02 3.198699999999999877e-01 1.000000000000000021e-02 4.270979350931354834e-01
3.699999999999999817e-02 3.335099999999999731e-01 1.000000000000000021e-02 4.319766930944141103e-01
3.799999999999999906e-02 3.474499999999999811e-01 1.000000000000000021e-02 4.375729410248117013e-01
3.899999999999999994e-02 3.616699999999999915e-01 1.000000000000000021e-02 4.447779906875402034e-01
4.000000000000000083e-02 3.761700000000000044e-01 1.000000000000000021e-02 4.519830403502687610e-01
4.100000000000000172e-02 3.909599999999999742e-01 1.000000000000000021e-02 4.591880900129972631e-01
4.200000000000000261e-02 4.060099999999999820e-01 1.000000000000000021e-02 4.663931396757257652e-01
4.299999999999999656e-02 4.213199999999999723e-01 1.000000000000000021e-02 4.735981893384542118e-01
4.399999999999999745e-02 4.368900000000000006e-01 1.000000000000000021e-02 4.808701406768743358e-01
4.499999999999999833e-02 4.527100000000000013e-01 1.000000000000000021e-02 4.906000152801608949e-01
4.599999999999999922e-02 4.687799999999999745e-01 1.000000000000000021e-02 5.003298898834475095e-01
4.700000000000000011e-02 4.850700000000000012e-01 1.000000000000000021e-02 5.100597644867340685e-01
4.800000000000000100e-02 5.016000000000000458e-01 1.000000000000000021e-02 5.197896390900206276e-01
4.900000000000000189e-02 5.183499999999999774e-01 1.000000000000000021e-02 5.295195136933071867e-01
5.000000000000000278e-02 5.353099999999999525e-01 1.000000000000000021e-02 5.392493882965937457e-01
5.099999999999999672e-02 5.524799999999999711e-01 1.000000000000000021e-02 5.508362105176274337e-01
5.199999999999999761e-02 5.698499999999999677e-01 1.000000000000000021e-02 5.630600763338481363e-01
5.299999999999999850e-02 5.874099999999999877e-01 1.000000000000000021e-02 5.752839421500687278e-01
5.399999999999999939e-02 6.051499999999999657e-01 1.000000000000000021e-02 5.875078079662893193e-01
5.500000000000000028e-02 6.230700000000000127e-01 1.000000000000000021e-02 5.997316737825100219e-01
5.600000000000000117e-02 6.411499999999999977e-01 1.000000000000000021e-02 6.119555395987306134e-01
5.700000000000000205e-02 6.593999999999999861e-01 1.000000000000000021e-02 6.252101699831633663e-01
5.800000000000000294e-02 6.777999999999999581e-01 1.000000000000000021e-02 6.396620429324310075e-01
5.899999999999999689e-02 6.963500000000000245e-01 1.000000000000000021e-02 6.541139158816985377e-01
5.999999999999999778e-02 7.150300000000000544e-01 1.000000000000000021e-02 6.685657888309661789e-01
6.099999999999999867e-02 7.338400000000000478e-01 1.000000000000000021e-02 6.830176617802337091e-01
6.199999999999999956e-02 7.527700000000000502e-01 1.000000000000000021e-02 6.974695347295013503e-01
6.300000000000000044e-02 7.718099999999999961e-01 1.000000000000000021e-02 7.122388869588213156e-01
6.400000000000000133e-02 7.909599999999999964e-01 1.000000000000000021e-02 7.284475962707498420e-01
6.500000000000000222e-02 8.102000000000000313e-01 1.000000000000000021e-02 7.446563055826784794e-01
6.600000000000000311e-02 8.295299999999999896e-01 1.000000000000000021e-02 7.608650148946070058e-01
6.700000000000000400e-02 8.489299999999999624e-01 1.000000000000000021e-02 7.770737242065356432e-01
6.800000000000000488e-02 8.684100000000000152e-01 1.000000000000000021e-02 7.932824335184642806e-01
6.900000000000000577e-02 8.879500000000000171e-01 1.000000000000000021e-02 8.094911428303928069e-01
7.000000000000000666e-02 9.075400000000000134e-01 1.000000000000000021e-02 8.267243986920361776e-01
7.099999999999999367e-02 9.271800000000000042e-01 1.000000000000000021e-02 8.440730359330976817e-01
7.199999999999999456e-02 9.468499999999999694e-01 1.000000000000000021e-02 8.614216731741592969e-01
7.299999999999999545e-02 9.665599999999999747e-01 1.000000000000000021e-02 8.787703104152210232e-01
7.399999999999999634e-02 9.862800000000000455e-01 1.000000000000000021e-02 8.961189476562827494e-01
7.499999999999999722e-02 1.006000000000000005e+00 1.000000000000000021e-02 9.134675848973444756e-01
7.599999999999999811e-02 1.025700000000000056e+00 1.000000000000000021e-02 9.310969876799030098e-01
7.699999999999999900e-02 1.045500000000000096e+00 1.000000000000000021e-02 9.489007829040241315e-01
7.799999999999999989e-02 1.065199999999999925e+00 1.000000000000000021e-02 9.667045781281451422e-01
7.900000000000000078e-02 1.084899999999999975e+00 1.000000000000000021e-02 9.845083733522662639e-01
8.000000000000000167e-02 1.104500000000000037e+00 1.000000000000000021e-02 1.002312168576387386e+00
8.100000000000000255e-02 1.124200000000000088e+00 1.000000000000000021e-02 1.020115963800508618e+00
8.200000000000000344e-02 1.143699999999999939e+00 1.000000000000000021e-02 1.037847780987460222e+00
8.300000000000000433e-02 1.163200000000000012e+00 1.000000000000000021e-02 1.055436667657785765e+00
8.400000000000000522e-02 1.182700000000000085e+00 1.000000000000000021e-02 1.073025554328111530e+00
8.500000000000000611e-02 1.202099999999999946e+00 1.000000000000000021e-02 1.090614440998437296e+00
8.599999999999999312e-02 1.221400000000000041e+00 1.000000000000000021e-02 1.108203327668762839e+00
8.699999999999999400e-02 1.240599999999999925e+00 1.000000000000000021e-02 1.125792214339088382e+00
8.799999999999999489e-02 1.259700000000000042e+00 1.000000000000000021e-02 1.143338869045551043e+00
8.899999999999999578e-02 1.278699999999999948e+00 1.000000000000000021e-02 1.160130852540073754e+00
8.999999999999999667e-02 1.297600000000000087e+00 1.000000000000000021e-02 1.176922836034596243e+00
9.099999999999999756e-02 1.316300000000000026e+00 1.000000000000000021e-02 1.193714819529118953e+00
9.199999999999999845e-02 1.334999999999999964e+00 1.000000000000000021e-02 1.210506803023641664e+00
9.299999999999999933e-02 1.353399999999999936e+00 1.000000000000000021e-02 1.227298786518164153e+00
9.400000000000000022e-02 1.371799999999999908e+00 1.000000000000000021e-02 1.244090770012686864e+00
9.500000000000000111e-02 1.389999999999999902e+00 1.000000000000000021e-02 1.259928010356285100e+00
9.600000000000000200e-02 1.407999999999999918e+00 1.000000000000000021e-02 1.275481782168283118e+00
9.700000000000000289e-02 1.425899999999999945e+00 1.000000000000000021e-02 1.291035553980281358e+00
9.800000000000000377e-02 1.443599999999999994e+00 1.000000000000000021e-02 1.306589325792279377e+00
9.900000000000000466e-02 1.461000000000000076e+00 1.000000000000000021e-02 1.322143097604277617e+00
1.000000000000000056e-01 1.478299999999999947e+00 1.000000000000000021e-02 1.337696869416275858e+00
1.010000000000000064e-01 1.495500000000000052e+00 1.000000000000000021e-02 1.352509968673563323e+00
1.019999999999999934e-01 1.512299999999999978e+00 1.000000000000000021e-02 1.366549497718140493e+00
1.029999999999999943e-01 1.528999999999999915e+00 1.000000000000000021e-02 1.380589026762717664e+00
1.039999999999999952e-01 1.545500000000000096e+00 1.000000000000000021e-02 1.394628555807295056e+00
1.049999999999999961e-01 1.561700000000000088e+00 1.000000000000000021e-02 1.408668084851872226e+00
1.059999999999999970e-01 1.577700000000000102e+00 1.000000000000000021e-02 1.422707613896449619e+00
1.069999999999999979e-01 1.593499999999999917e+00 1.000000000000000021e-02 1.436409330613112045e+00
1.079999999999999988e-01 1.608999999999999986e+00 1.000000000000000021e-02 1.448818556871710905e+00
1.089999999999999997e-01 1.624200000000000088e+00 1.000000000000000021e-02 1.461227783130309765e+00
1.100000000000000006e-01 1.639199999999999990e+00 1.000000000000000021e-02 1.473637009388908847e+00
1.110000000000000014e-01 1.653899999999999926e+00 1.000000000000000021e-02 1.486046235647507707e+00
1.120000000000000023e-01 1.668400000000000105e+00 1.000000000000000021e-02 1.498455461906106789e+00
1.130000000000000032e-01 1.682500000000000107e+00 1.000000000000000021e-02 1.510864688164705649e+00
1.140000000000000041e-01 1.696399999999999908e+00 1.000000000000000021e-02 1.521776807799107178e+00
1.150000000000000050e-01 1.709999999999999964e+00 1.000000000000000021e-02 1.532568029160899625e+00
1.160000000000000059e-01 1.723200000000000065e+00 1.000000000000000021e-02 1.543359250522691850e+00
1.170000000000000068e-01 1.736199999999999966e+00 1.000000000000000021e-02 1.554150471884484297e+00
1.179999999999999938e-01 1.748899999999999899e+00 1.000000000000000021e-02 1.564941693246276522e+00
1.189999999999999947e-01 1.761200000000000099e+00 1.000000000000000021e-02 1.575732914608068969e+00
1.199999999999999956e-01 1.773300000000000098e+00 1.000000000000000021e-02 1.585541643326866312e+00
1.209999999999999964e-01 1.784999999999999920e+00 1.000000000000000021e-02 1.594805714786796447e+00
1.219999999999999973e-01 1.796300000000000008e+00 1.000000000000000021e-02 1.604069786246726581e+00
1.229999999999999982e-01 1.807399999999999896e+00 1.000000000000000021e-02 1.613333857706656715e+00
1.239999999999999991e-01 1.818100000000000049e+00 1.000000000000000021e-02 1.622597929166586850e+00
1.250000000000000000e-01 1.828400000000000025e+00 1.000000000000000021e-02 1.631862000626516984e+00
1.260000000000000009e-01 1.838400000000000034e+00 1.000000000000000021e-02 1.640614728234772723e+00
1.270000000000000018e-01 1.848000000000000087e+00 1.000000000000000021e-02 1.648463986935431391e+00
1.280000000000000027e-01 1.857299999999999951e+00 1.000000000000000021e-02 1.656313245636090059e+00
1.290000000000000036e-01 1.866200000000000081e+00 1.000000000000000021e-02 1.664162504336748949e+00
1.300000000000000044e-01 1.874800000000000022e+00 1.000000000000000021e-02 1.672011763037407617e+00
1.310000000000000053e-01 1.883000000000000007e+00 1.000000000000000021e-02 1.679861021738066285e+00
1.320000000000000062e-01 1.890800000000000036e+00 1.000000000000000021e-02 1.687604252364545587e+00
1.330000000000000071e-01 1.898200000000000109e+00 1.000000000000000021e-02 1.694119701294772407e+00
1.340000000000000080e-01 1.905299999999999994e+00 1.000000000000000021e-02 1.700635150224999226e+00
1.350000000000000089e-01 1.911899999999999933e+00 1.000000000000000021e-02 1.707150599155225823e+00
1.360000000000000098e-01 1.918199999999999905e+00 1.000000000000000021e-02 1.713666048085452642e+00
1.370000000000000107e-01 1.924099999999999921e+00 1.000000000000000021e-02 1.720181497015679462e+00
