	PCPIP2MAM0.015
0.2306	20.10092228544
0.2316	19.93206286848
0.2326	19.75454399424
0.2338	19.55104674816
0.2348	19.38651705984
0.2359	19.22631710016
0.237	19.0574576832
0.2381	18.87127935168
0.2391	18.7327280352
0.2403	18.57252807552
0.2421	18.2131605984
0.2432	17.93605796544
0.2448	17.5637013024
0.246	17.30824731264
0.247	17.087431152
0.2488	16.80166906176
0.25	16.70641503168
0.251	16.52023670016
0.2522	16.320636209856
0.2532	16.09375842912
0.2542	15.864715784064
0.2554	15.638270976192
0.2564	15.521801275776
0.2575	15.391476443712
0.2586	15.280635390528
0.2597	15.101817597696
0.2607	14.802200375808
0.2619	14.53722098304
0.2629	14.185647017472
0.2639	14.060084886912
0.2651	13.995138957312
0.2669	13.898153035776
0.2681	13.78817792832
0.2707	13.30541318496
0.2718	13.046928385152
0.2736	12.892357072704
0.2748	13.074205675584
0.2758	13.096720264512
0.2769	12.61049173824
0.278	12.323863702272
0.279	12.22514588928
0.2802	12.857719243584
0.2812	12.817452767232
0.2823	12.71224036128
0.2833	13.06944297408
0.2845	13.228776988032
0.2855	13.3530402
0.2866	13.386379110528
0.2877	13.4937563808
0.2887	13.700717409792
0.2899	13.864381152384
0.2909	13.980417879936
0.2928	14.2622832144
0.2939	14.477470727808
0.2966	14.8359722592
0.2976	15.00266681184
0.2996	15.409661304
0.3006	15.652992053568
0.3016	15.886364427264
0.3028	16.125365448192
0.3038	16.319337291264
0.3049	16.47693941376
0.306	16.58085290112
0.307	16.66744747392
0.3081	16.7410528608
0.3092	16.77569068992
0.3103	16.78867987584
0.3114	16.80166906176
0.3125	16.82331770496
0.3135	16.8492960768
0.3145	16.88393390592
0.3157	16.91857173504
0.3167	16.95320956416
0.3186	17.0008365792
0.3197	17.0657825088
0.3207	17.14804735296
0.3224	17.20433382528
0.3234	17.28659866944
0.3246	17.36020405632
0.3264	17.40350134272
0.3275	17.42947971456
0.3286	17.45978781504
0.3296	17.4987553728
0.3308	17.57236075968
0.3318	17.61132831744
0.3328	17.63297696064
0.334	17.64596614656
0.335	17.6935931616
0.3361	17.68060397568
0.3372	17.70225261888
0.3382	17.71091207616
0.3393	17.65462560384
0.3404	17.65895533248
0.3415	17.68060397568
0.3425	17.66761478976
0.3436	17.66328506112
0.3455	17.66761478976
0.3466	17.6719445184
0.3476	17.6935931616
0.3503	17.65462560384
0.3514	17.63297696064
0.3525	17.5853499456
0.3543	17.51174455872
0.3555	17.48143645824
0.3565	17.42514998592
0.3576	17.40350134272
0.3587	17.37752297088
0.3597	17.30824731264
0.3608	17.26495002624
0.3619	17.2173230112
0.363	17.16103653888
0.364	17.13505816704
0.3651	17.05279332288
0.3662	17.01382576512
0.3672	16.90125282048
0.3684	16.84063661952
0.3694	16.75837177536
0.3704	16.72373394624
0.3716	16.68043665984
0.3734	16.58518262976
0.3745	16.50724751424
0.3756	16.42065294144
0.3783	16.177322191872
0.3793	16.18251786624
0.3804	16.14138544416
0.3823	16.016689259328
0.3834	15.894157938816
0.3844	15.784615804224
0.3855	15.698887177152
0.3866	15.574623965184
0.3877	15.4421342688
0.3887	15.404465629632
0.3897	15.398404009536
0.3909	15.355972668864
0.3919	15.378487257792
0.393	15.399269955264
0.3941	15.380652122112
0.3951	15.307479708096
0.3963	15.18018568608
0.3973	15.063715985664
0.3983	15.021717617856
0.3995	14.97235871136
0.4005	14.93772088224
0.4023	14.808261995904
0.4035	14.72989390752
0.4045	14.692225268352
0.4062	14.683998783936
0.4072	14.629011230208
0.4082	14.557137734784
0.4094	14.474006944896
0.4112	14.396071829376
0.4123	14.37269129472
0.4134	14.267911861632
0.4144	14.102949200448
0.4155	13.93971843072
0.4166	13.855721695104
0.4176	13.709809839936
0.4188	13.575588252096
0.4198	13.459551524544
0.4208	13.30324832064
0.422	13.20582942624
0.423	13.233539689536
0.424	13.240900228224
0.4252	13.239601309632
0.4262	13.308876967872
0.4274	13.247394821184
0.4284	13.17768619008
0.4294	13.174655380032
0.4313	12.852090596352
0.4324	12.869409510912
0.4335	12.602698226688
0.4346	12.461982045888
0.4361	12.756836566272
0.4372	12.6819322608
