	ULVOri
0.10037	1.20960948051574
0.1011	1.20666534430057
0.10182	1.23086262091027
0.10255	1.2702764846951
0.10328	1.27829634847993
0.104	1.27170962508962
0.10473	1.30335348887445
0.10546	1.32330335265928
0.10619	1.32953621644412
0.10691	1.36299949305381
0.10764	1.39660035683864
0.10837	1.39618922062347
0.10909	1.39153149723317
0.10982	1.379973361018
0.11055	1.40235822480283
0.11127	1.42117550141252
0.112	1.43505936519736
0.11273	1.44510022898219
0.11346	1.46641009276702
0.11418	1.46516036937671
0.11491	1.46859923316154
0.11564	1.47191709694637
0.11636	1.49348337355607
0.11709	1.5175422373409
0.11782	1.52115110112573
0.11854	1.53481137773543
0.11927	1.53486624152026
0.12	1.52603210530509
0.12073	1.55050796908992
0.12145	1.57996624569961
0.12218	1.57157310948444
0.12291	1.57650397326927
0.12363	1.58679024987897
0.12436	1.5961111136638
0.12509	1.60968897744863
0.12581	1.62220925405833
0.12654	1.62279811784316
0.12727	1.63551298162799
0.128	1.61959384541282
0.12872	1.62680712202251
0.12945	1.64909698580735
0.13018	1.66835784959218
0.1309	1.65844012620187
0.13163	1.6617979899867
0.13236	1.66886185377153
0.13308	1.66455613038123
0.13381	1.69015799416606
0.13454	1.70334285795089
0.13526	1.70318413456059
0.13599	1.71612499834542
0.13672	1.72272386213025
0.13745	1.72091272591508
0.13817	1.72435200252477
0.1389	1.7333048663096
0.13963	1.73788773009443
0.14035	1.76028000670413
0.14108	1.76484187048896
0.14181	1.77545973427379
0.14253	1.78588301088349
0.14326	1.78371787466832
0.14399	1.80318673845315
0.14471	1.82754201506284
0.14544	1.82597287884767
0.14617	1.8281927426325
0.14689	1.8203200192422
0.14762	1.77549888302703
0.14835	1.77495774681186
0.14907	1.78805402342156
0.1498	1.80279088720639
0.15053	1.80334875099122
0.15125	1.82042302760091
0.15198	1.82922489138575
0.15271	1.82077075517058
0.15343	1.81138703178027
0.15416	1.8177248955651
0.15489	1.81558975934993
0.15561	1.81987703595963
0.15634	1.82210589974446
0.15707	1.81232176352929
0.15779	1.79774904013899
0.15852	1.81022390392382
0.15925	1.81460176770865
0.15997	1.83683804431834
0.1607	1.84488190810317
0.16143	1.863990771888
0.16215	1.8626130484977
0.16288	1.83815091228253
0.16361	1.82702977606736
0.16433	1.80163205267706
0.16506	1.80337491646189
0.16579	1.78846478024672
0.16651	1.79435505685641
0.16724	1.79609792064124
0.16797	1.79923478442607
0.16869	1.79567706103577
0.16942	1.7909579248206
0.17015	1.80827478860543
0.17087	1.81184906521513
0.1716	1.82778492899996
0.17233	1.79389779278479
0.17305	1.75544106939448
0.17378	1.75136193317931
0.17451	1.73638679696414
0.17523	1.74715007357384
0.17596	1.76209693735867
0.17669	1.7619478011435
0.17741	1.7761450777532
0.17814	1.77291365325149
0.17887	1.76144088095857
0.17959	1.7535699411628
0.18032	1.73291716886987
0.18105	1.71086039657694
0.18177	1.70164145678118
0.1825	1.70532668448825
0.18322	1.70438374469249
0.18395	1.72030297239956
0.18468	1.70441720010663
0.1854	1.68062526031086
0.18613	1.68693848801794
0.18686	1.69841871572501
0.18758	1.66368077592924
0.18831	1.65409700363631
0.18904	1.64248523134339
0.18976	1.67143229154762
0.19049	1.67435051925469
0.19122	1.64921474696176
0.19194	1.621524807166
0.19267	1.60019603487307
0.19339	1.60104409507731
0.19412	1.62718032278438
0.19485	1.61212855049145
0.19557	1.59382761069568
0.1963	1.56055683840276
0.19703	1.55823006610983
0.19775	1.56471512631406
0.19848	1.56955935402113
0.1992	1.54496541422537
0.19993	1.52603264193244
0.20066	1.47267986963951
0.20138	1.45935592984375
0.20211	1.45010215755082
0.20283	1.48088221775505
0.20356	1.48964044546213
0.20429	1.4936566731692
0.20501	1.48924373337343
0.20574	1.4552729610805
0.20647	1.42238418878758
0.20719	1.40871324899181
0.20792	1.34851047669888
0.20865	1.34391570440595
0.20937	1.30138776461019
0.2101	1.28669699231726
0.21082	1.2978050525215
0.21155	1.30935628022857
0.21228	1.33109650793564
0.213	1.29463656813988
0.21373	1.26392679584695
0.21445	1.28679285605118
0.21518	1.26202808375825
0.21591	1.20619131146533
0.21663	1.18337037166956
0.21736	1.15574359937663
0.21808	1.10123265958087
0.21881	1.12524888728794
0.21954	1.16613211499501
0.22026	1.17263817519925
0.22099	1.14502540290632
0.22171	1.12659646311055
0.22244	1.09622569081762
0.22317	1.0965619185247
0.22389	1.11401497872893
0.22462	1.083944206436
0.22534	1.04598326664024
0.22607	1.01448149434731
0.2268	1.01303172205438
0.22752	0.994025782258616
0.22825	0.922371009965687
0.22897	0.960906070169923
0.2297	0.926947297876994
0.23043	0.920103525584066
0.23115	0.855364585788301
0.23188	0.790760813495373
0.2326	0.876531873699608
0.23283	0.96118972626485
0.23333	0.920011101406679
0.23374	0.94976996902298
0.23406	0.852815329113751
0.23465	0.930257211781111
0.23478	0.740652389317986
0.23551	0.705745617025058
0.23556	0.912416454539241
0.23623	0.748982677229293
0.23646	0.889786529794535
0.23696	0.732999904936365
0.23737	0.876652772552665
0.23768	0.7009519651406
0.23828	0.856476015310796
0.23841	0.747166192847671
0.23914	0.716911420554743
0.23918	0.832080090566089
0.23986	0.567334480758978
0.24009	0.80772133332422
0.24059	0.63193770846605
0.241	0.79008857608235
0.24131	0.706833768670285
0.2419	0.762059651337644
0.24204	0.710746996377357
0.24276	0.631323056581592
0.24281	0.735264894095775
0.24349	0.596676284288663
0.24372	0.741784136853905
0.24422	0.592347511995735
0.24462	0.721302212109199
0.24494	0.55945457219997
0.24553	0.688810454867329
