#wave0 wave1 wave2 wave3
0.01045483598808155 0.9882309312969313 0.03152546425276389 0.000418193439523262
0.010768481067724 0.9577669620310829 0.02839821061579595 0.0004307392427089599
0.01109153549975572 0.9940933770981033 0.02800827512404834 0.0004436614199902287
0.01142428156474839 0.9388754149865509 0.02435942897698674 0.0004569712625899356
0.01176701001169084 1.000296042460748 0.02481309611984077 0.0004706804004676336
0.01212002031204156 0.9843526948600774 0.02300069587996074 0.0004848008124816626
0.01248362092140281 0.9492324180627763 0.02077093564105601 0.0004993448368561125
0.0128581295490449 0.9598854532838174 0.02005550533056755 0.0005143251819617958
0.01324387343551624 0.9824102413468595 0.01964998672856094 0.0005297549374206497
0.01364118963858173 0.9366142971477687 0.0176804623014664 0.0005456475855432693
0.01405042532773918 0.7956881997501314 0.01467805812708325 0.0005620170131095673
0.01447193808757136 0.474465447090298 0.008844070576106844 0.0005788775235028542
0.0149060962301985 0.2553740020192068 0.005087034889558103 0.0005962438492079399
0.01535327911710445 0.1747750828899861 0.003674753986530856 0.000614131164684178
0.01581387749061759 0.1261631824977902 0.002807315755433022 0.0006325550996247034
0.01628829381533611 0.09968581537650216 0.002293419316356829 0.0006515317526134444
0.01677694262979619 0.07866913769804307 0.001875999433185224 0.0006710777051918478
0.01728025090869008 0.06753478398781225 0.001643507058324294 0.000691210036347603
0.01779865843595078 0.05725322530237453 0.001423720676866849 0.0007119463374380313
0.0183326181890293 0.04676301931458943 0.001231970473175326 0.0007333047275611722
0.01888259673470018 0.03851107171587095 0.001086628816272767 0.0007553038693880074
0.01944907463674119 0.03521957577220256 0.001013125857710279 0.0007779629854696475
0.02003254687584342 0.03267796572256471 0.0009887632403534369 0.000801301875033737
0.02063352328211873 0.02888699832372152 0.0009329296291584398 0.0008253409312847491
0.02125252898058229 0.02657000947209534 0.0009280295160420659 0.0008501011592232916
0.02189010484999976 0.0238938542448041 0.0009029272393313985 0.0008756041939999903
0.02254680799549975 0.02259873010812232 0.0008173205754693105 0.0009018723198199902
0.02322321223536475 0.02218981606907887 0.0007871397358715919 0.0009289284894145898
0.02391990860242569 0.01871957337360323 0.0006806853468271292 0.0009567963440970274
0.02463750586049845 0.01874739292928862 0.0006612942264328363 0.0009855002344199382
0.02537663103631341 0.01749518497906017 0.0006129025099618832 0.001015065241452536
0.02613792996740281 0.01518835471371274 0.0005340005018221808 0.001045517198696112
0.02692206786642489 0.01512389497841226 0.0004911547364748009 0.001076882714656996
0.02772972990241764 0.01426816984184127 0.0004472375420861593 0.001109189196096706
0.02856162179949017 0.0127724959291841 0.0003736657425677589 0.001142464871979607
0.02941847045347487 0.01257839635787263 0.0003545715337086709 0.001176738818138995
0.03030102456707912 0.0119080648863143 0.0003187562013343835 0.001212040982683165
0.03121005530409149 0.0107245105810089 0.0002733301278981577 0.001248402212163659
0.03214635696321423 0.01039014877804291 0.0002549198375431516 0.001285854278528569
0.03311074767211066 0.01000757426098794 0.0002370168852040233 0.001324429906884427
0.03410407010227397 0.009227521842251091 0.0002091540155329164 0.001364162804090959
