Chisq bulksld hg1_thickness l_cg l_choline l_lipid l_phosphate methyl_sigma rel_pos sigma v_cg v_choline v_phosphate va1 vm1 
-188284.82415702395 9.411312053379927e-06 9.65057239319649 4.2100992256781575 6.340001465489247 11.000177418049606 3.859932886331445 0.10005795656183063 0.4999677643149271 2.000282982475035 146.99692807000628 120.0023776608511 54.00112402879587 985.6011461734159 100.39994197992836 
-188337.16397346332 9.411424831464587e-06 9.650061119843118 4.209989045796657 6.340311149518551 10.999979409087347 3.859943205401793 0.10000452203748346 0.5000560822632737 2.0000063321911665 146.99974169291633 120.00028435532889 53.999851468290196 985.6032184513239 100.39998538937814 
-188338.3332563785 9.411365920592784e-06 9.650056112554301 4.209995715897822 6.338987387159684 11.000071943073666 3.8599857874574743 0.09998770777830164 0.5000010049286905 1.9999667137658763 147.0009184996193 120.00005367361136 53.999773945228846 985.5913566968862 100.39972732975285 
-188345.8001205179 9.411358416232796e-06 9.649991867379866 4.2100105161466805 6.340022130383416 11.000036301893072 3.8600085964120847 0.10000312981605576 0.4999994238767084 1.9999801981152232 146.99963262631655 119.99696380512603 53.99991868129101 985.6004581296111 100.39996626573958 
-188352.01178243084 9.411363432896715e-06 9.650065752155674 4.209981396666924 6.340010731906379 11.000018913162883 3.859995364141795 0.10001219158047354 0.49999876450543096 2.0000000052837987 146.99962492377955 119.99913345748291 54.00025054186532 985.6051252801311 100.40006786432373 
-188341.02174906066 9.411334886722728e-06 9.649983143607814 4.209959853970182 6.339951249065809 11.000066781167405 3.8600027254304696 0.0999902480304581 0.5000032236829428 1.9999625459773076 146.99904150014217 119.99983989632423 54.000466008459135 985.5905946638286 100.39969971617927 
-188310.36059939463 9.41137261872627e-06 9.650035985171025 4.210014535033592 6.339937940682469 11.00019403982136 3.859874901632522 0.0999704822427574 0.500002882268059 2.000032863220887 146.9993834591529 119.9998181593189 53.99973182278105 985.6164893226486 100.40106769185672 
-188348.8513706749 9.411410377973806e-06 9.650088077549706 4.209982138562698 6.340006274030283 11.000030717469818 3.859972007262853 0.10001781447578253 0.5000122940366764 2.000000391516065 147.00097440326374 120.00030603402489 53.99966106629726 985.6151876683712 100.40001435441786 
-188371.86280774517 9.411437296055343e-06 9.650098077389565 4.209973206694041 6.3399663752751305 11.000015711009487 3.860019702110258 0.10000326106310307 0.5000081512094248 1.9999940570602202 146.99800040622407 120.0009282093672 54.000589737233284 985.5951635033397 100.40080361032469 
-188321.80570800634 9.411318116116523e-06 9.649897028959456 4.210048211583324 6.339776733607393 11.00011774491963 3.860071415877106 0.09998031142740253 0.5000006153178351 1.9999914457426906 147.00268465441076 119.99920475518779 53.999270689101 985.593898659907 100.39936054719605 
-188314.9499276376 9.411368404023237e-06 9.649913497355401 4.210038717473026 6.340041304987919 11.000235828732903 3.860129839908112 0.10001617610842405 0.4999950706099662 1.999979767963135 146.99930142767616 119.99924233806517 53.99921325027034 985.5951389342622 100.39749487902924 
-188361.0548620944 9.411366047205315e-06 9.650025797784465 4.209955810618778 6.340074479965964 11.000025366759756 3.8600812666889706 0.09999173411233565 0.49999817214856057 2.000006240416546 147.00022869867723 120.00158182231763 53.999711918914684 985.6046676627491 100.40041904899455 
-188321.8140320566 9.411242430756227e-06 9.650350904632637 4.210207698626461 6.339777913517218 10.999965814107235 3.8598706102091813 0.09997349459537058 0.4999654794472295 1.999981156179672 147.00142913906228 119.99784972385106 53.99824031557011 985.6176941199145 100.40254739883974 
-188338.88364525465 9.41133273820651e-06 9.64997547028063 4.210163055807752 6.339998069508533 11.000062187778482 3.8599801819237327 0.09998925554183129 0.49999621222651597 2.0000095202354085 147.00101125694493 119.99902315485372 53.99949644764162 985.5793313716845 100.39912419200068 
-188361.423965185 9.411381915343287e-06 9.649914663653933 4.21001166909771 6.340001848466267 11.000042433795798 3.859999557974016 0.09999706956367882 0.5000025943044859 1.9999960543178024 147.00097274689617 119.99986290854656 53.999851873801795 985.6001647261859 100.39965381616823 
-188351.7181926683 9.411332841304558e-06 9.650091935303944 4.210096416483041 6.340003922727144 11.000031472564304 3.8598394154903732 0.10000245457611565 0.49998212549886434 2.0000040881740913 146.99971605926774 119.99948702043933 54.00008995484892 985.6061997187277 100.40029213795961 
-188342.00518254223 9.411425098940896e-06 9.650192201909169 4.210009365431698 6.340094777392268 11.00006324084327 3.8599370237990867 0.09997703787063625 0.5000055868539771 1.9999751608581442 147.000809125623 120.0004212632854 54.0005982522839 985.6078836940654 100.40008263358257 
