# z rho mu
57 -2.42088e-07 0
57.5 -2.42088e-07 0
57.5 -2.54547e-07 0
58 -2.54547e-07 0
58 -2.66588e-07 0
58.5 -2.66588e-07 0
58.5 -2.78425e-07 0
59 -2.78425e-07 0
59 -2.90072e-07 0
59.5 -2.90072e-07 0
59.5 -3.01408e-07 0
60 -3.01408e-07 0
60 -3.12221e-07 0
60.5 -3.12221e-07 0
60.5 -3.2225e-07 0
61 -3.2225e-07 0
61 -3.31214e-07 0
61.5 -3.31214e-07 0
61.5 -3.3884e-07 0
62 -3.3884e-07 0
62 -3.4488e-07 0
62.5 -3.4488e-07 0
62.5 -3.49129e-07 0
63 -3.49129e-07 0
63 -3.51441e-07 0
63.5 -3.51441e-07 0
63.5 -3.51735e-07 0
64 -3.51735e-07 0
64 -3.49999e-07 0
64.5 -3.49999e-07 0
64.5 -3.46295e-07 0
65 -3.46295e-07 0
65 -3.40753e-07 0
65.5 -3.40753e-07 0
65.5 -3.33563e-07 0
66 -3.33563e-07 0
66 -3.24964e-07 0
66.5 -3.24964e-07 0
66.5 -3.1523e-07 0
67 -3.1523e-07 0
67 -3.04652e-07 0
67.5 -3.04652e-07 0
67.5 -2.93519e-07 0
68 -2.93519e-07 0
68 -2.82097e-07 0
68.5 -2.82097e-07 0
68.5 -2.706e-07 0
69 -2.706e-07 0
69 -2.59162e-07 0
69.5 -2.59162e-07 0
69.5 -2.47789e-07 0
70 -2.47789e-07 0
70 -2.36312e-07 0
70.5 -2.36312e-07 0
70.5 -2.24322e-07 0
71 -2.24322e-07 0
71 -2.111e-07 0
71.5 -2.111e-07 0
71.5 -1.9555e-07 0
72 -1.9555e-07 0
72 -1.7616e-07 0
72.5 -1.7616e-07 0
72.5 -1.51007e-07 0
73 -1.51007e-07 0
73 -1.17839e-07 0
73.5 -1.17839e-07 0
73.5 -7.42651e-08 0
74 -7.42651e-08 0
74 -1.8038e-08 0
74.5 -1.8038e-08 0
74.5 5.25651e-08 0
75 5.25651e-08 0
75 1.38337e-07 0
75.5 1.38337e-07 0
75.5 2.38779e-07 0
76 2.38779e-07 0
76 3.5187e-07 0
76.5 3.5187e-07 0
76.5 4.74061e-07 0
77 4.74061e-07 0
77 6.00508e-07 0
77.5 6.00508e-07 0
77.5 7.25551e-07 0
78 7.25551e-07 0
78 8.43353e-07 0
78.5 8.43353e-07 0
78.5 9.48565e-07 0
79 9.48565e-07 0
79 1.03691e-06 0
79.5 1.03691e-06 0
79.5 1.10558e-06 0
80 1.10558e-06 0
80 1.15329e-06 0
80.5 1.15329e-06 0
80.5 1.18022e-06 0
81 1.18022e-06 0
81 1.18765e-06 0
81.5 1.18765e-06 0
81.5 1.17756e-06 0
82 1.17756e-06 0
82 1.1523e-06 0
82.5 1.1523e-06 0
82.5 1.11432e-06 0
83 1.11432e-06 0
83 1.06606e-06 0
83.5 1.06606e-06 0
