# Q dQ R dR fit
0.235174 0.00222138 4.11739e-06 1.60655e-06 4.66874e-06
0.239773 0.00226477 6.36601e-06 1.64068e-06 4.38682e-06
0.244371 0.00230815 1.63189e-06 1.49966e-06 4.54589e-06
0.248968 0.00235153 9.35063e-07 1.48228e-06 4.772e-06
0.253565 0.00239489 2.68669e-06 1.50224e-06 4.82013e-06
0.258161 0.00243824 1.85103e-06 1.44763e-06 4.68249e-06
0.26735 0.00252492 2.32339e-06 1.40776e-06 4.28295e-06
0.271943 0.00256824 2.23817e-06 1.34412e-06 4.15353e-06
0.276535 0.00261155 8.71067e-07 1.31878e-06 4.09033e-06
0.281127 0.00265485 2.81995e-06 1.3579e-06 4.09957e-06
0.285718 0.00269814 1.12119e-06 1.31697e-06 4.18373e-06
0.290308 0.00274142 2.13003e-06 1.33519e-06 4.29691e-06
0.294897 0.00278468 2.68364e-06 1.31261e-06 4.3619e-06
