186
        0.93714        0.514688        0.366567        0.888759        0.374191       0.0245263        0.212998        0.863969         0.73034        0.831027       0.0631292        0.012655        0.692354        0.388787        0.343573        0.437601        0.764394        0.176306        0.179021        0.798747        0.540464        0.584617        0.654646        0.627875         0.68892        0.674808        0.495545        0.621349       0.0138515        0.802992          0.8892 
         0.4072          0.4455           0.602          0.8222          0.1338          0.6465          0.2129          0.5123          0.0981          0.3145          0.8823          0.0021          0.1625          0.5724          0.7794          0.4777          0.7441          0.2078          0.0152          0.9814          0.1285          0.6496          0.5659          0.6085          0.5254           0.392          0.2794           0.693          0.5745          0.2043           0.049 
         0.3923          0.2047          0.2538          0.5657          0.5209          0.0946          0.7729          0.5139          0.4601           0.694           0.385          0.6541          0.1636          0.0497          0.3894           0.677          0.3467          0.3135          0.8977          0.9324          0.9765          0.1426          0.0316           0.939          0.1882           0.659          0.0258          0.1557          0.2345          0.0648          0.9994 
         0.1911          0.4055          0.6113          0.8288          0.9801          0.1466          0.4925          0.1148          0.1687          0.9745          0.4093          0.0421          0.0126          0.2773          0.1875          0.5344          0.6541          0.3762          0.3796          0.7987          0.1404          0.5666          0.6726          0.3377          0.3899          0.6687          0.2755          0.6213          0.0968          0.6429          0.8891 
         0.5093           0.446          0.3282          0.8054          0.5752          0.0908          0.4089          0.9791          0.6646          0.3852          0.1657          0.3381          0.8682          0.9005          0.6702          0.4436          0.5445          0.0594          0.9548          0.6864          0.3044          0.0428          0.8378          0.4542          0.6133          0.9728          0.8825          0.1335          0.5474           0.031          0.0055 
         0.2785          0.7451          0.5178          0.3629          0.2136          0.5644          0.3179           0.477          0.2307          0.7388          0.9196          0.9829          0.1172          0.3848          0.9027          0.5293          0.4409          0.9318          0.5615          0.7575          0.3399          0.7215          0.3454          0.5913          0.4852          0.6221          0.6411          0.0469          0.1093          0.8307          0.5587 
          0.785          0.6701          0.0163          0.0828          0.6761          0.0709          0.1112          0.9534           0.158          0.8097          0.3014          0.8007          0.1854          0.6582          0.5843          0.6094           0.447          0.6118          0.5618           0.046          0.6854          0.8139          0.9057          0.0956          0.0225          0.5996          0.0754          0.4614          0.8151          0.5231           0.015 
         0.6739          0.9745          0.4753          0.4729          0.9884           0.606          0.1796          0.9789          0.1486          0.1508          0.3544          0.7197          0.1129          0.2202          0.5025          0.4754          0.4523          0.7796           0.915          0.7819           0.534          0.6643          0.7538          0.7247          0.5815          0.3964           0.599          0.8263          0.8888          0.6452          0.2646 
         0.2739           0.974          0.4753          0.4979          0.9184          0.6065          0.1746          0.9783          0.2464          0.1578          0.3546          0.6197          0.1129          0.2226          0.4025          0.4754          0.7623          0.7333          0.9158          0.7419           0.544          0.6298          0.6308          0.7246          0.5815          0.9964           0.599          0.8862          0.8808          0.8459          0.2676 
         0.6076          0.2219          0.0797          0.7296          0.6932          0.3816          0.2766          0.6034          0.4704          0.3937          0.1336          0.0267          0.2473           0.797          0.0345          0.4066          0.9943          0.1163          0.6799          0.7988          0.8302          0.6856           0.654          0.6278          0.2889          0.6748          0.6953          0.7513          0.0138          0.6027          0.8899 
