# z rho mu P theta
168.216 4.59356e-06 0 0 270
168.216 4.5935e-06 0 0 270
168.716 4.5935e-06 0 0 270
168.716 4.59048e-06 0 0 270
169.216 4.59048e-06 0 0 270
169.216 4.59204e-06 0 0 270
169.716 4.59204e-06 0 0 270
169.716 4.59246e-06 0 0 270
170.216 4.59246e-06 0 0 270
170.216 4.59224e-06 0 0 270
170.716 4.59224e-06 0 0 270
170.716 4.59151e-06 0 0 270
171.216 4.59151e-06 0 0 270
171.216 4.59021e-06 0 0 270
171.716 4.59021e-06 0 0 270
171.716 4.58812e-06 0 0 270
172.216 4.58812e-06 0 0 270
172.216 4.58489e-06 0 0 270
172.716 4.58489e-06 0 0 270
172.716 4.58e-06 0 0 270
173.216 4.58e-06 0 0 270
173.216 4.57278e-06 0 0 270
173.716 4.57278e-06 0 0 270
173.716 4.56232e-06 0 0 270
174.216 4.56232e-06 0 0 270
174.216 4.54749e-06 0 0 270
174.716 4.54749e-06 0 0 270
174.716 4.52687e-06 0 0 270
175.216 4.52687e-06 0 0 270
175.216 4.49879e-06 0 0 270
175.716 4.49879e-06 0 0 270
175.716 4.46131e-06 0 0 270
176.216 4.46131e-06 0 0 270
176.216 4.41231e-06 0 0 270
176.716 4.41231e-06 0 0 270
176.716 4.34953e-06 0 0 270
177.216 4.34953e-06 0 0 270
177.216 4.27072e-06 0 0 270
177.716 4.27072e-06 0 0 270
177.716 4.17376e-06 0 0 270
178.216 4.17376e-06 0 0 270
178.216 4.05687e-06 0 0 270
178.716 4.05687e-06 0 0 270
178.716 3.91877e-06 0 0 270
179.216 3.91877e-06 0 0 270
179.216 3.7589e-06 0 0 270
179.716 3.7589e-06 0 0 270
179.716 3.57754e-06 0 0 270
180.216 3.57754e-06 0 0 270
180.216 3.376e-06 0 0 270
180.716 3.376e-06 0 0 270
180.716 3.15664e-06 0 0 270
181.216 3.15664e-06 0 0 270
181.216 2.92293e-06 0 0 270
181.716 2.92293e-06 0 0 270
181.716 2.67941e-06 0 0 270
182.216 2.67941e-06 0 0 270
182.216 2.43151e-06 0 0 270
182.716 2.43151e-06 0 0 270
182.716 2.18538e-06 0 0 270
183.216 2.18538e-06 0 0 270
183.216 1.94753e-06 0 0 270
183.716 1.94753e-06 0 0 270
183.716 1.72437e-06 0 0 270
184.216 1.72437e-06 0 0 270
184.216 1.52167e-06 0 0 270
184.716 1.52167e-06 0 0 270
184.716 1.34402e-06 0 0 270
185.216 1.34402e-06 0 0 270
185.216 1.19431e-06 0 0 270
185.716 1.19431e-06 0 0 270
185.716 1.07342e-06 0 0 270
186.216 1.07342e-06 0 0 270
186.216 9.8026e-07 0 0 270
186.716 9.8026e-07 0 0 270
186.716 9.12201e-07 0 0 270
187.216 9.12201e-07 0 0 270
187.216 8.65445e-07 0 0 270
187.716 8.65445e-07 0 0 270
187.716 8.36016e-07 0 0 270
188.216 8.36016e-07 0 0 270
188.216 8.20314e-07 0 0 270
188.716 8.20314e-07 0 0 270
188.716 8.15465e-07 0 0 270
189.216 8.15465e-07 0 0 270
189.216 8.19277e-07 0 0 270
189.716 8.19277e-07 0 0 270
189.716 8.29794e-07 0 0 270
190.216 8.29794e-07 0 0 270
190.216 8.44627e-07 0 0 270
190.716 8.44627e-07 0 0 270
190.716 8.60314e-07 0 0 270
191.216 8.60314e-07 0 0 270
191.216 8.72019e-07 0 0 270
191.716 8.72019e-07 0 0 270
191.716 8.73776e-07 0 0 270
192.216 8.73776e-07 0 0 270
192.216 8.59354e-07 0 0 270
192.716 8.59354e-07 0 0 270
192.716 8.23561e-07 0 0 270
193.216 8.23561e-07 0 0 270
193.216 7.63638e-07 0 0 270
193.716 7.63638e-07 0 0 270
193.716 6.80256e-07 0 0 270
194.216 6.80256e-07 0 0 270
194.216 5.77746e-07 0 0 270
194.716 5.77746e-07 0 0 270
194.716 4.63431e-07 0 0 270
195.216 4.63431e-07 0 0 270
195.216 3.46199e-07 0 0 270
195.716 3.46199e-07 0 0 270
195.716 2.34774e-07 0 0 270
196.216 2.34774e-07 0 0 270
196.216 1.36163e-07 0 0 270
196.716 1.36163e-07 0 0 270
196.716 5.46978e-08 0 0 270
197.216 5.46978e-08 0 0 270
197.216 -8.18042e-09 0 0 270
197.716 -8.18042e-09 0 0 270
197.716 -5.34797e-08 0 0 270
198.216 -5.34797e-08 0 0 270
198.216 -8.38343e-08 0 0 270
198.716 -8.38343e-08 0 0 270
198.716 -1.02606e-07 0 0 270
199.216 -1.02606e-07 0 0 270
199.216 -1.1315e-07 0 0 270
199.716 -1.1315e-07 0 0 270
199.716 -1.18352e-07 0 0 270
200.216 -1.18352e-07 0 0 270
200.216 -1.2044e-07 0 0 270
200.716 -1.2044e-07 0 0 270
200.716 -1.21014e-07 0 0 270
201.216 -1.21014e-07 0 0 270
201.216 -1.21158e-07 0 0 270
201.716 -1.21158e-07 0 0 270
201.716 -1.21473e-07 0 0 270
202.216 -1.21473e-07 0 0 270
202.216 -1.22381e-07 0 0 270
202.716 -1.22381e-07 0 0 270
202.716 -1.24136e-07 0 0 270
203.216 -1.24136e-07 0 0 270
203.216 -1.26875e-07 0 0 270
203.716 -1.26875e-07 0 0 270
203.716 -1.30652e-07 0 0 270
204.216 -1.30652e-07 0 0 270
204.216 -1.35445e-07 0 0 270
204.716 -1.35445e-07 0 0 270
204.716 -1.41154e-07 0 0 270
205.216 -1.41154e-07 0 0 270
205.216 -1.47602e-07 0 0 270
205.716 -1.47602e-07 0 0 270
205.716 -1.54531e-07 0 0 270
206.216 -1.54531e-07 0 0 270
206.216 -1.61604e-07 0 0 270
206.716 -1.61604e-07 0 0 270
206.716 -1.68415e-07 0 0 270
207.216 -1.68415e-07 0 0 270
207.216 -1.74503e-07 0 0 270
207.716 -1.74503e-07 0 0 270
207.716 -1.7937e-07 0 0 270
208.216 -1.7937e-07 0 0 270
208.216 -1.8251e-07 0 0 270
208.716 -1.8251e-07 0 0 270
208.716 -1.83435e-07 0 0 270
209.216 -1.83435e-07 0 0 270
209.216 -1.81705e-07 0 0 270
209.716 -1.81705e-07 0 0 270
209.716 -1.76957e-07 0 0 270
210.216 -1.76957e-07 0 0 270
210.216 -1.6893e-07 0 0 270
210.716 -1.6893e-07 0 0 270
210.716 -1.57482e-07 0 0 270
211.216 -1.57482e-07 0 0 270
211.216 -1.426e-07 0 0 270
211.716 -1.426e-07 0 0 270
211.716 -1.24406e-07 0 0 270
212.216 -1.24406e-07 0 0 270
212.216 -1.03145e-07 0 0 270
212.716 -1.03145e-07 0 0 270
212.716 -7.91747e-08 0 0 270
213.216 -7.91747e-08 0 0 270
213.216 -5.29407e-08 0 0 270
213.716 -5.29407e-08 0 0 270
213.716 -2.49526e-08 0 0 270
214.216 -2.49526e-08 0 0 270
214.216 4.24571e-09 0 0 270
214.716 4.24571e-09 0 0 270
214.716 3.41057e-08 0 0 270
215.216 3.41057e-08 0 0 270
215.216 6.41043e-08 0 0 270
215.716 6.41043e-08 0 0 270
215.716 9.37765e-08 0 0 270
216.216 9.37765e-08 0 0 270
216.216 1.22753e-07 0 0 270
216.716 1.22753e-07 0 0 270
216.716 1.50814e-07 0 0 270
217.216 1.50814e-07 0 0 270
217.216 1.77962e-07 0 0 270
217.716 1.77962e-07 0 0 270
217.716 2.04525e-07 0 0 270
218.216 2.04525e-07 0 0 270
218.216 2.31301e-07 0 0 270
218.716 2.31301e-07 0 0 270
218.716 2.59704e-07 0 0 270
219.216 2.59704e-07 0 0 270
219.216 2.91655e-07 0 0 270
219.716 2.91655e-07 0 0 270
219.716 3.30032e-07 0 0 270
220.216 3.30032e-07 0 0 270
220.216 3.76135e-07 0 0 270
220.716 3.76135e-07 0 0 270
220.716 4.30634e-07 0 0 270
221.216 4.30634e-07 0 0 270
221.216 4.93924e-07 0 0 270
221.716 4.93924e-07 0 0 270
221.716 5.65723e-07 0 0 270
222.216 5.65723e-07 0 0 270
222.216 6.44658e-07 0 0 270
222.716 6.44658e-07 0 0 270
222.716 7.28039e-07 0 0 270
223.216 7.28039e-07 0 0 270
223.216 8.12022e-07 0 0 270
223.716 8.12022e-07 0 0 270
223.716 8.92193e-07 0 0 270
224.216 8.92193e-07 0 0 270
224.216 9.64462e-07 0 0 270
224.716 9.64462e-07 0 0 270
224.716 1.02599e-06 0 0 270
225.216 1.02599e-06 0 0 270
225.216 1.07582e-06 0 0 270
225.716 1.07582e-06 0 0 270
225.716 1.115e-06 0 0 270
226.216 1.115e-06 0 0 270
226.216 1.14456e-06 0 0 270
226.716 1.14456e-06 0 0 270
226.716 1.1534e-06 0 0 270
227.216 1.1534e-06 0 0 270
227.216 1.13945e-06 0 0 270
227.716 1.13945e-06 0 0 270
227.716 1.10368e-06 0 0 270
228.216 1.10368e-06 0 0 270
228.216 1.04686e-06 0 0 270
228.716 1.04686e-06 0 0 270
228.716 9.69552e-07 0 0 270
229.216 9.69552e-07 0 0 270
229.216 8.72526e-07 0 0 270
229.716 8.72526e-07 0 0 270
229.716 7.57441e-07 0 0 270
230.216 7.57441e-07 0 0 270
230.216 6.27399e-07 0 0 270
230.716 6.27399e-07 0 0 270
230.716 4.87205e-07 0 0 270
231.216 4.87205e-07 0 0 270
231.216 3.43119e-07 0 0 270
231.716 3.43119e-07 0 0 270
231.716 2.02134e-07 0 0 270
232.216 2.02134e-07 0 0 270
232.216 7.09469e-08 0 0 270
232.716 7.09469e-08 0 0 270
232.716 -4.50587e-08 0 0 270
233.216 -4.50587e-08 0 0 270
233.216 -1.42533e-07 0 0 270
233.716 -1.42533e-07 0 0 270
233.716 -2.20407e-07 0 0 270
234.216 -2.20407e-07 0 0 270
234.216 -2.79661e-07 0 0 270
234.716 -2.79661e-07 0 0 270
234.716 -3.22736e-07 0 0 270
235.216 -3.22736e-07 0 0 270
235.216 -3.52821e-07 0 0 270
235.716 -3.52821e-07 0 0 270
235.716 -3.73203e-07 0 0 270
236.216 -3.73203e-07 0 0 270
236.216 -3.86798e-07 0 0 270
236.716 -3.86798e-07 0 0 270
236.716 -3.95928e-07 0 0 270
237.216 -3.95928e-07 0 0 270
237.216 -4.02271e-07 0 0 270
237.716 -4.02271e-07 0 0 270
237.716 -4.06944e-07 0 0 270
238.216 -4.06944e-07 0 0 270
238.216 -4.10637e-07 0 0 270
238.716 -4.10637e-07 0 0 270
238.716 -4.13747e-07 0 0 270
239.216 -4.13747e-07 0 0 270
239.216 -4.1649e-07 0 0 270
239.716 -4.1649e-07 0 0 270
239.716 -4.19006e-07 0 0 270
240.216 -4.19006e-07 0 0 270
240.216 -4.21267e-07 0 0 270
240.716 -4.21267e-07 0 0 270
240.716 -4.23364e-07 0 0 270
241.216 -4.23364e-07 0 0 270
241.216 -4.25302e-07 0 0 270
241.716 -4.25302e-07 0 0 270
241.716 -4.27084e-07 0 0 270
242.216 -4.27084e-07 0 0 270
242.216 -4.28713e-07 0 0 270
242.716 -4.28713e-07 0 0 270
242.716 -4.3019e-07 0 0 270
243.216 -4.3019e-07 0 0 270
243.216 -4.31515e-07 0 0 270
243.716 -4.31515e-07 0 0 270
243.716 -4.32688e-07 0 0 270
244.216 -4.32688e-07 0 0 270
244.216 -4.33708e-07 0 0 270
244.716 -4.33708e-07 0 0 270
244.716 -4.34574e-07 0 0 270
245.216 -4.34574e-07 0 0 270
245.216 -4.35283e-07 0 0 270
245.716 -4.35283e-07 0 0 270
245.716 -4.35834e-07 0 0 270
246.216 -4.35834e-07 0 0 270
246.216 -4.36226e-07 0 0 270
246.716 -4.36226e-07 0 0 270
246.716 -4.36714e-07 0 0 270
247.216 -4.36714e-07 0 0 270
247.216 -4.37442e-07 0 0 270
247.716 -4.37442e-07 0 0 270
247.716 -4.38126e-07 0 0 270
248.216 -4.38126e-07 0 0 270
248.216 -4.38768e-07 0 0 270
248.716 -4.38768e-07 0 0 270
248.716 -4.39374e-07 0 0 270
249.216 -4.39374e-07 0 0 270
249.216 -4.39948e-07 0 0 270
249.716 -4.39948e-07 0 0 270
249.716 -4.40493e-07 0 0 270
250.216 -4.40493e-07 0 0 270
250.216 -4.41014e-07 0 0 270
250.716 -4.41014e-07 0 0 270
250.716 -4.41513e-07 0 0 270
251.216 -4.41513e-07 0 0 270
251.216 -4.41994e-07 0 0 270
251.716 -4.41994e-07 0 0 270
251.716 -4.4246e-07 0 0 270
252.216 -4.4246e-07 0 0 270
252.216 -4.42914e-07 0 0 270
252.716 -4.42914e-07 0 0 270
252.716 -4.43357e-07 0 0 270
253.216 -4.43357e-07 0 0 270
253.216 -4.43792e-07 0 0 270
253.716 -4.43792e-07 0 0 270
253.716 -4.44222e-07 0 0 270
254.216 -4.44222e-07 0 0 270
254.216 -4.44648e-07 0 0 270
254.716 -4.44648e-07 0 0 270
254.716 -4.45071e-07 0 0 270
255.216 -4.45071e-07 0 0 270
255.216 -4.45494e-07 0 0 270
255.716 -4.45494e-07 0 0 270
255.716 -4.45917e-07 0 0 270
256.216 -4.45917e-07 0 0 270
256.216 -4.46341e-07 0 0 270
256.716 -4.46341e-07 0 0 270
256.716 -4.46767e-07 0 0 270
257.216 -4.46767e-07 0 0 270
257.216 -4.47197e-07 0 0 270
257.716 -4.47197e-07 0 0 270
257.716 -4.47629e-07 0 0 270
258.216 -4.47629e-07 0 0 270
258.216 -4.48065e-07 0 0 270
258.716 -4.48065e-07 0 0 270
258.716 -4.48504e-07 0 0 270
259.216 -4.48504e-07 0 0 270
259.216 -4.48948e-07 0 0 270
259.716 -4.48948e-07 0 0 270
259.716 -4.49394e-07 0 0 270
260.216 -4.49394e-07 0 0 270
