# z rho mu P theta
167.266 4.37537e-06 0 0 270
167.266 4.37129e-06 0 0 270
167.766 4.37129e-06 0 0 270
167.766 4.36731e-06 0 0 270
168.266 4.36731e-06 0 0 270
168.266 4.3634e-06 0 0 270
168.766 4.3634e-06 0 0 270
168.766 4.35954e-06 0 0 270
169.266 4.35954e-06 0 0 270
169.266 4.35571e-06 0 0 270
169.766 4.35571e-06 0 0 270
169.766 4.35191e-06 0 0 270
170.266 4.35191e-06 0 0 270
170.266 4.34812e-06 0 0 270
170.766 4.34812e-06 0 0 270
170.766 4.3443e-06 0 0 270
171.266 4.3443e-06 0 0 270
171.266 4.34041e-06 0 0 270
171.766 4.34041e-06 0 0 270
171.766 4.33642e-06 0 0 270
172.266 4.33642e-06 0 0 270
172.266 4.33225e-06 0 0 270
172.766 4.33225e-06 0 0 270
172.766 4.32781e-06 0 0 270
173.266 4.32781e-06 0 0 270
173.266 4.323e-06 0 0 270
173.766 4.323e-06 0 0 270
173.766 4.3177e-06 0 0 270
174.266 4.3177e-06 0 0 270
174.266 4.31174e-06 0 0 270
174.766 4.31174e-06 0 0 270
174.766 4.30495e-06 0 0 270
175.266 4.30495e-06 0 0 270
175.266 4.29712e-06 0 0 270
175.766 4.29712e-06 0 0 270
175.766 4.28802e-06 0 0 270
176.266 4.28802e-06 0 0 270
176.266 4.27738e-06 0 0 270
176.766 4.27738e-06 0 0 270
176.766 4.26492e-06 0 0 270
177.266 4.26492e-06 0 0 270
177.266 4.25033e-06 0 0 270
177.766 4.25033e-06 0 0 270
177.766 4.23328e-06 0 0 270
178.266 4.23328e-06 0 0 270
178.266 4.21342e-06 0 0 270
178.766 4.21342e-06 0 0 270
178.766 4.19038e-06 0 0 270
179.266 4.19038e-06 0 0 270
179.266 4.16376e-06 0 0 270
179.766 4.16376e-06 0 0 270
179.766 4.13314e-06 0 0 270
180.266 4.13314e-06 0 0 270
180.266 4.0981e-06 0 0 270
180.766 4.0981e-06 0 0 270
180.766 4.05816e-06 0 0 270
181.266 4.05816e-06 0 0 270
181.266 4.01282e-06 0 0 270
181.766 4.01282e-06 0 0 270
181.766 3.96155e-06 0 0 270
182.266 3.96155e-06 0 0 270
182.266 3.90381e-06 0 0 270
182.766 3.90381e-06 0 0 270
182.766 3.83902e-06 0 0 270
183.266 3.83902e-06 0 0 270
183.266 3.76662e-06 0 0 270
183.766 3.76662e-06 0 0 270
183.766 3.68605e-06 0 0 270
184.266 3.68605e-06 0 0 270
184.266 3.59683e-06 0 0 270
184.766 3.59683e-06 0 0 270
184.766 3.49857e-06 0 0 270
185.266 3.49857e-06 0 0 270
185.266 3.39099e-06 0 0 270
185.766 3.39099e-06 0 0 270
185.766 3.27402e-06 0 0 270
186.266 3.27402e-06 0 0 270
186.266 3.1478e-06 0 0 270
186.766 3.1478e-06 0 0 270
186.766 3.01274e-06 0 0 270
187.266 3.01274e-06 0 0 270
187.266 2.86953e-06 0 0 270
187.766 2.86953e-06 0 0 270
187.766 2.71918e-06 0 0 270
188.266 2.71918e-06 0 0 270
188.266 2.56296e-06 0 0 270
188.766 2.56296e-06 0 0 270
188.766 2.40244e-06 0 0 270
189.266 2.40244e-06 0 0 270
189.266 2.23937e-06 0 0 270
189.766 2.23937e-06 0 0 270
189.766 2.07571e-06 0 0 270
190.266 2.07571e-06 0 0 270
190.266 1.91344e-06 0 0 270
190.766 1.91344e-06 0 0 270
190.766 1.75459e-06 0 0 270
191.266 1.75459e-06 0 0 270
191.266 1.60105e-06 0 0 270
191.766 1.60105e-06 0 0 270
191.766 1.45454e-06 0 0 270
192.266 1.45454e-06 0 0 270
192.266 1.31655e-06 0 0 270
192.766 1.31655e-06 0 0 270
192.766 1.18821e-06 0 0 270
193.266 1.18821e-06 0 0 270
193.266 1.07036e-06 0 0 270
193.766 1.07036e-06 0 0 270
193.766 9.63423e-07 0 0 270
194.266 9.63423e-07 0 0 270
194.266 8.67488e-07 0 0 270
194.766 8.67488e-07 0 0 270
194.766 7.82309e-07 0 0 270
195.266 7.82309e-07 0 0 270
195.266 7.07352e-07 0 0 270
195.766 7.07352e-07 0 0 270
195.766 6.41858e-07 0 0 270
196.266 6.41858e-07 0 0 270
196.266 5.84907e-07 0 0 270
196.766 5.84907e-07 0 0 270
196.766 5.35487e-07 0 0 270
197.266 5.35487e-07 0 0 270
197.266 4.92568e-07 0 0 270
197.766 4.92568e-07 0 0 270
197.766 4.55158e-07 0 0 270
198.266 4.55158e-07 0 0 270
198.266 4.22358e-07 0 0 270
198.766 4.22358e-07 0 0 270
198.766 3.93404e-07 0 0 270
199.266 3.93404e-07 0 0 270
199.266 3.67689e-07 0 0 270
199.766 3.67689e-07 0 0 270
199.766 3.44774e-07 0 0 270
200.266 3.44774e-07 0 0 270
200.266 3.24391e-07 0 0 270
200.766 3.24391e-07 0 0 270
200.766 3.06422e-07 0 0 270
201.266 3.06422e-07 0 0 270
201.266 2.90875e-07 0 0 270
201.766 2.90875e-07 0 0 270
201.766 2.77851e-07 0 0 270
202.266 2.77851e-07 0 0 270
202.266 2.67508e-07 0 0 270
202.766 2.67508e-07 0 0 270
202.766 2.60018e-07 0 0 270
203.266 2.60018e-07 0 0 270
203.266 2.55534e-07 0 0 270
203.766 2.55534e-07 0 0 270
203.766 2.54157e-07 0 0 270
204.266 2.54157e-07 0 0 270
204.266 2.5591e-07 0 0 270
204.766 2.5591e-07 0 0 270
204.766 2.60721e-07 0 0 270
205.266 2.60721e-07 0 0 270
205.266 2.68421e-07 0 0 270
205.766 2.68421e-07 0 0 270
205.766 2.78745e-07 0 0 270
206.266 2.78745e-07 0 0 270
206.266 2.91342e-07 0 0 270
206.766 2.91342e-07 0 0 270
206.766 3.05796e-07 0 0 270
207.266 3.05796e-07 0 0 270
207.266 3.21648e-07 0 0 270
207.766 3.21648e-07 0 0 270
207.766 3.38424e-07 0 0 270
208.266 3.38424e-07 0 0 270
208.266 3.55657e-07 0 0 270
208.766 3.55657e-07 0 0 270
208.766 3.72914e-07 0 0 270
209.266 3.72914e-07 0 0 270
209.266 3.89812e-07 0 0 270
209.766 3.89812e-07 0 0 270
209.766 4.0604e-07 0 0 270
210.266 4.0604e-07 0 0 270
210.266 4.21361e-07 0 0 270
210.766 4.21361e-07 0 0 270
210.766 4.35625e-07 0 0 270
211.266 4.35625e-07 0 0 270
211.266 4.48764e-07 0 0 270
211.766 4.48764e-07 0 0 270
211.766 4.60796e-07 0 0 270
212.266 4.60796e-07 0 0 270
212.266 4.71818e-07 0 0 270
212.766 4.71818e-07 0 0 270
212.766 4.82004e-07 0 0 270
213.266 4.82004e-07 0 0 270
213.266 4.91602e-07 0 0 270
213.766 4.91602e-07 0 0 270
213.766 5.00936e-07 0 0 270
214.266 5.00936e-07 0 0 270
214.266 5.10401e-07 0 0 270
214.766 5.10401e-07 0 0 270
214.766 5.20473e-07 0 0 270
215.266 5.20473e-07 0 0 270
215.266 5.31709e-07 0 0 270
215.766 5.31709e-07 0 0 270
215.766 5.44754e-07 0 0 270
216.266 5.44754e-07 0 0 270
216.266 5.60342e-07 0 0 270
216.766 5.60342e-07 0 0 270
216.766 5.79299e-07 0 0 270
217.266 5.79299e-07 0 0 270
217.266 6.02537e-07 0 0 270
217.766 6.02537e-07 0 0 270
217.766 6.3104e-07 0 0 270
218.266 6.3104e-07 0 0 270
218.266 6.65843e-07 0 0 270
218.766 6.65843e-07 0 0 270
218.766 7.08007e-07 0 0 270
219.266 7.08007e-07 0 0 270
219.266 7.5857e-07 0 0 270
219.766 7.5857e-07 0 0 270
219.766 8.18511e-07 0 0 270
220.266 8.18511e-07 0 0 270
220.266 8.88688e-07 0 0 270
220.766 8.88688e-07 0 0 270
220.766 9.69788e-07 0 0 270
221.266 9.69788e-07 0 0 270
221.266 1.06227e-06 0 0 270
221.766 1.06227e-06 0 0 270
221.766 1.16633e-06 0 0 270
222.266 1.16633e-06 0 0 270
222.266 1.28185e-06 0 0 270
222.766 1.28185e-06 0 0 270
222.766 1.4084e-06 0 0 270
223.266 1.4084e-06 0 0 270
223.266 1.54525e-06 0 0 270
223.766 1.54525e-06 0 0 270
223.766 1.69135e-06 0 0 270
224.266 1.69135e-06 0 0 270
224.266 1.84545e-06 0 0 270
224.766 1.84545e-06 0 0 270
224.766 2.0061e-06 0 0 270
