z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
13.0 0.0 28.924714 1.51393 0.0 0.000271 0.0 0.0 0.0 45.119927 0.00062 0.0 0.015353 0.003562 0.0 4.280864 2.9e-05 0.0 0.018158 34.757501 10.362426 0.229664068384
13.5 0.0 28.487542 1.515073 0.0 0.000467 0.0 0.0 0.0 45.119927 0.001011 0.0 0.021429 0.004973 0.0 4.358392 4.9e-05 0.0 0.025238 34.414174 10.705753 0.23727327839
14.0 0.0 28.046569 1.51593 0.0 0.000791 0.0 0.0 0.0 45.119927 0.001625 0.0 0.029509 0.00685 0.0 4.437742 8.3e-05 0.0 0.034624 34.073723 11.046204 0.244818747158
14.5 0.0 27.602058 1.516474 0.0 0.001323 0.0 0.0 0.0 45.119927 0.002574 0.0 0.040094 0.00931 0.0 4.518731 0.000139 0.0 0.046889 33.737592 11.382335 0.25226847109
15.0 0.0 27.154278 1.516678 0.0 0.002181 0.0 0.0 0.0 45.119927 0.004016 0.0 0.053754 0.012488 0.0 4.601133 0.00023 0.0 0.062685 33.407443 11.712484 0.259585615021
15.5 0.0 26.703507 1.516517 0.0 0.003545 0.0 0.0 0.0 45.119927 0.006176 0.0 0.071118 0.016532 0.0 4.684667 0.000374 0.0 0.082741 33.085177 12.03475 0.26672804679
16.0 0.0 26.250025 1.515964 0.0 0.00568 0.0 0.0 0.0 45.119927 0.009359 0.0 0.092862 0.021602 0.0 4.768975 0.000599 0.0 0.107837 32.772903 12.347024 0.273649024299
16.5 0.0 25.794121 1.514996 0.0 0.008976 0.0 0.0 0.0 45.119927 0.013975 0.0 0.119679 0.027865 0.0 4.853597 0.000946 0.0 0.138791 32.472946 12.646981 0.280297018211
17.0 0.0 25.336087 1.513589 0.0 0.013987 0.0 0.0 0.0 45.119927 0.020563 0.0 0.15225 0.035489 0.0 4.937946 0.001474 0.0 0.17642 32.187805 12.932122 0.286616642797
17.5 0.0 24.876218 1.511721 0.0 0.021495 0.0 0.0 0.0 45.119927 0.029815 0.0 0.191208 0.044631 0.0 5.021271 0.002265 0.0 0.221498 31.920122 13.199805 0.292549342999
18.0 0.0 24.414816 1.50937 0.0 0.032577 0.0 0.0 0.0 45.119927 0.042601 0.0 0.237087 0.055435 0.0 5.102626 0.003433 0.0 0.274714 31.672659 13.447268 0.298033904177
18.5 0.0 23.952183 1.506517 0.0 0.048693 0.0 0.0 0.0 45.119927 0.059981 0.0 0.290273 0.068013 0.0 5.180821 0.005132 0.0 0.336608 31.448221 13.671706 0.303008158679
