135
0.306036534365426 0.345831105741339 0.581288472361635 0.35292195050826 0.52473242979126 0.368570228776316 0.40902563693567 0.0937708558929286 0.557528921997921 0.995749182703361 0.998965706648171 0.433146057051917 0.444662440681407 0.0145918709745879 0.983415309910922 0 0.000743791007600561 0.659696929450354 0.403504947659473 0.16398259478362 0.00137711132933584 0.212190486094959 0 0.10124164922119 0.11464431768721 0.088534827352622 0.0724889074756632 0.879240398549335 0.375551206418536 0 0.652703493238083 0.488174620977178 0.00239016928060593 0.00426883396704013 0.589301940776555 1.00478120740384e-05 0.958968879775824 0.754021613910957 1.06186018563058e-05 0.623289920902726 0.378055430277919 0.16641421823435 0.0847504309782472 0.900624963799461 0 0.873156419232832 0.262399402285137 0.77525064930005 0.103169147919977 0.737417279898381 0.745309464162632 
0.2673 0.1888 0.1566 0.2515 0.5452 0.6968 0.149 0.5234 0.5275 0.8957 0.9982 0.4781 0.4415 0.6629 0.7856 0.4596 0.8885 0.5039 0.1912 0.3473 0.0415 0.0191 0.7698 0.0347 0.5777 0.9899 0.6937 0.3716 0.4685 0.9184 0.2796 0.4193 0.9041 0.6005 0.3955 0.9858 0.3984 0.3249 0.0792 0.0157 0.7216 0.4764 0.0753 0.7481 0.2401 0.0461 0.2653 0.1767 0.1031 0.746 0.8453 
0.306 0.3438 0.5812 0.3369 0.5243 0.3685 0.409 0.0934 0.5975 0.9957 0.9989 0.4339 0.4446 0.3515 0.9834 0.045 0.0707 0.6596 0.4038 0.1939 0.7013 0.6121 0.505 0.1015 0.2146 0.0886 0.0724 0.8799 0.1733 0.02 0.6527 0.788 0.7023 0.0222 0.5803 0 0.9582 0.454 0.002 0.9232 0.378 0.1668 0.0247 0.9006 0.004 0.8731 0.2623 0.7759 0.1037 0.0094 0.7453 
0.3782 0.9182 0.1293 0.4576 0.4597 0.0223 0.7652 0.8262 0.0525 0.168 0.8278 0.4353 0.6699 0.0245 0.25 0.1077 0.427 0.285 0.5906 0.857 0.11 0.5091 0.3551 0.4513 0.0891 0.5862 0.2853 0.7234 0.363 0.9718 0.065 0.208 0.6874 0.7493 0.114 0.6818 0.1042 0.7594 0.3804 0.6883 0.4283 0.706 0.8994 0.9531 0.8098 0.3456 0.9891 0.2978 0.6354 0.3362 0.9566 
0.0748 0.083 0.1728 0.2643 0.8948 0.0197 0.7562 0.9348 0.0357 0.6445 0.9815 0.9766 0.3422 0.0547 0.3415 0.0764 0.0169 0.5095 0.5212 0.6873 0.7549 0.6962 0.1154 0.8726 0.6066 0.7905 0.652 0.8398 0.4528 0.6107 0.6721 0.702 0.4942 0.2076 0.4218 0.8997 0.9722 0.567 0.1318 0.2937 0.9407 0.7166 0.4614 0.661 0.1698 0.7004 0.1221 0.3088 0.3927 0.9338 0.7744 
0.2573 0.1488 0.1594 0.2545 0.5962 0.8668 0.749 0.5631 0.9279 0.8957 0.9982 0.4344 0.4486 0.5945 0.9834 0 0.0203 0.6098 0.4036 0.1639 0.0213 0.2131 0.0017 0.4172 0.914 0.0385 0.0724 0.8792 0.8854 0 0.4569 0.4881 0.0063 0.0002 0.6393 0 0.9589 0.756 0 0.6292 0.378 0.1674 0.0507 0.9006 0.0053 0.5531 0.2723 0.7552 0.8664 0.5374 0.7423 
0.341 0.3435 0.2912 0.6583 0.9939 0.6345 0.0422 0.656 0.8878 0.022 0.4809 0.1453 0.7829 0.4421 0.0453 0.2584 0.0083 0.049 0.8214 0.491 0.6164 0.0734 0.9121 0.3216 0.836 0.4971 0.862 0.5836 0.0945 0.6302 0.6382 0.4677 0.4739 0.8442 0.5758 0.8421 0.1154 0.9718 0.1122 0.3609 0.593 0.9779 0.0568 0.9188 0.0872 0.0577 0.1636 0.2325 0.3625 0.7004 0.879 
0.3469 0.3753 0.5712 0.6589 0.4228 0.368 0.909 0.899 0.5255 0.5517 0.5011 0.0345 0.4444 0.9169 0.4821 0.175 0.1061 0.2495 0.8034 0.4039 0.5402 0.9915 0.3239 0.3012 0.23 0.6328 0.2279 0.1449 0.9689 0.4953 0.1495 0.2682 0.6383 0.0037 0.0721 0.6416 0.8154 0.1624 0.0432 0.7137 0.4758 0.9464 0.6757 0.9411 0.2691 0.9721 0.6495 0.2062 0.306 0.2684 0.5234 
0.6826 0.1832 0.3416 0.1183 0.2395 0.9145 0.7918 0.6681 0.4008 0.0883 0.1457 0.8633 0.6238 0.4981 0.3406 0.8861 0.2729 0.0376 0.0475 0.9813 0.5694 0.0051 0.9112 0.0713 0.2896 0.1856 0.9168 0.4205 0.4732 0.6799 0.3347 0.8571 0.5622 0.9776 0.1819 0.743 0.8099 0.3249 0.0068 0.3185 0.8375 0.4919 0.045 0.1125 0.5364 0.2541 0.3753 0.0783 0.2085 0.7021 0.664 
0.1345 0.5722 0.2255 0.0546 0.6961 0.2757 0.5072 0.3066 0.7354 0.678 0.9349 0.7703 0.2689 0.1415 0.1115 0.0033 0.6468 0.843 0.4651 0.9951 0.8993 0.747 0.0931 0.2778 0.1317 0.6263 0.174 0.1656 0.308 0.0604 0.4015 0.849 0.1561 0.6225 0.9259 0.3433 0.1458 0.4888 0.5114 0.3252 0.332 0.9098 0.9764 0.8553 0.0476 0.9192 0.8839 0.6345 0.9767 0.1034 0.809 
