z normarea methyl substrate lipid cg phosphate protein serine summol water waterperc
22.0 68.47816 5.635444 26.387623 35.747938 0.392549 0.016051 31.379871 0.008258 99.567734 -31.089574 -0.45400714622
22.5 68.47816 5.545031 24.501498 37.461765 0.534287 0.023995 32.58097 0.012738 100.660284 -32.182124 -0.469961868134
23.0 68.47816 5.42728 22.664768 39.073429 0.717063 0.035353 33.681181 0.019369 101.618443 -33.140283 -0.48395405192
23.5 68.47816 5.284002 20.885608 40.55507 0.94896 0.051336 34.669955 0.029035 102.423966 -33.945806 -0.495717262263
24.0 68.47816 5.117361 19.171336 41.877498 1.238377 0.073472 35.537927 0.042908 103.058879 -34.580719 -0.504989021317
24.5 68.47816 4.929826 17.528329 43.010809 1.593596 0.103639 36.336314 0.062511 103.565024 -35.086864 -0.512380356014
25.0 68.47816 4.724106 15.96196 43.925195 2.022228 0.144086 37.097847 0.08978 103.965202 -35.487042 -0.518224233829
25.5 68.47816 4.503083 14.476558 44.591957 2.530544 0.197435 37.823663 0.12712 104.25036 -35.7722 -0.522388452026
26.0 68.47816 4.269753 13.075396 44.984679 3.122737 0.266642 38.514896 0.177444 104.411547 -35.933387 -0.524742297398
26.5 68.47816 4.027152 11.760692 45.080532 3.800144 0.354926 39.172683 0.244189 104.440318 -35.962158 -0.525162445954
27.0 68.47816 3.778293 10.533642 44.861627 4.560504 0.465639 39.798159 0.331293 104.329157 -35.850997 -0.52353914007
27.5 68.47816 3.526109 9.394463 44.316327 5.397327 0.602098 40.392461 0.44312 104.071905 -35.593745 -0.519782438664
28.0 68.47816 3.273393 8.342461 43.440422 6.299447 0.767344 40.956724 0.584331 103.664122 -35.185962 -0.513827503543
28.5 68.47816 3.022755 7.376108 42.23805 7.250835 0.963871 41.492083 0.759673 103.103375 -34.625215 -0.505638805131
29.0 68.47816 2.776581 6.49313 40.722263 8.230756 1.193314 41.999676 0.973709 102.389429 -33.911269 -0.495212911679
29.5 68.47816 2.536997 5.690603 38.915158 9.214272 1.456124 42.480637 1.230463 101.524254 -33.046094 -0.482578591481
30.0 68.47816 2.305855 4.965059 36.847518 10.173148 1.751256 42.936103 1.533022 100.511961 -32.033801 -0.467795878277
30.5 68.47816 2.084714 4.312585 34.557933 11.077087 2.075916 43.367209 1.883092 99.358536 -30.880376 -0.450952186799
31.0 68.47816 1.874836 3.728929 32.091458 11.895269 2.425374 43.775091 2.280553 98.07151 -29.59335 -0.432157493718
31.5 68.47816 1.677191 3.209595 29.497847 12.598057 2.792912 44.160885 2.723061 96.659548 -28.181388 -0.411538335726
32.0 68.47816 1.492465 2.749942 26.829496 13.158769 3.169902 44.525727 3.205719 95.13202 -26.65386 -0.389231544773
32.5 68.47816 1.321077 2.345264 24.139223 13.555348 3.546047 44.870752 3.720888 93.498599 -25.020439 -0.365378377573
33.0 68.47816 1.1632 1.990872 21.478047 13.771801 3.909794 45.197097 4.258169 91.76898 -23.29082 -0.340120412114
33.5 68.47816 1.018787 1.68216 18.893124 13.799264 4.248876 45.505897 4.80459 89.952698 -21.474538 -0.31359688987
34.0 68.47816 0.887594 1.414664 16.425967 13.636606 4.550985 45.798288 5.34501 88.059114 -19.580954 -0.28594451136
34.5 68.47816 0.769215 1.184109 14.111079 13.290506 4.804499 46.075406 5.862747 86.097561 -17.619401 -0.257299568213
35.0 68.47816 0.663107 0.986444 11.975065 12.774995 4.999221 46.338387 6.340383 84.077602 -15.599442 -0.227801710794
35.5 68.47816 0.568619 0.817874 10.036244 12.110519 5.127057 46.588367 6.760716 82.009396 -13.531236 -0.197599292972
36.0 68.47816 0.485023 0.674879 8.304765 11.322595 5.182575 46.826481 7.107777 79.904095 -11.425935 -0.16685516959
36.5 68.47816 0.411533 0.554219 6.783147 10.440188 5.163389 47.053865 7.367827 77.774168 -9.296008 -0.135751427901
37.0 68.47816 0.347336 0.452946 5.467183 9.493959 5.070324 47.271655 7.530263 75.633666 -7.155506 -0.104493257412
37.5 68.47816 0.291607 0.368394 4.347087 8.514521 4.907365 47.480987 7.588332 73.498293 -5.020133 -0.0733099867169
38.0 68.47816 0.243527 0.298176 3.408778 7.530846 4.681365 47.682997 7.539596 71.385285 -2.907125 -0.0424533165027
38.5 68.47816 0.202302 0.240171 2.635197 6.568927 4.401574 47.87882 7.386101 69.313092 -0.834932 -0.0121926757378
39.0 68.47816 0.167168 0.192508 2.007563 5.650778 4.079011 48.069593 7.134238 67.300859 1.177301 0.0171923573881
39.5 68.47816 0.137408 0.153551 1.506488 4.793813 3.725741 48.256451 6.794298 65.36775 3.11041 0.0454219272247
40.0 68.47816 0.112349 0.121878 1.112914 4.010591 3.35414 48.440533 6.379776 63.532181 4.945979 0.0722271013123
40.5 68.47816 0.091376 0.096263 0.808838 3.308913 2.976187 48.623342 5.906488 61.811407 6.666753 0.097355901502
41.0 68.47816 0.073926 0.075658 0.577821 2.692197 2.602851 48.805054 5.391567 60.219074 8.259086 0.12060905258
41.5 68.47816 0.059492 0.05917 0.4053 2.160069 2.243614 48.985061 4.852451 58.765157 9.713003 0.141840887664
42.0 68.47816 0.047624 0.046046 0.278722 1.709079 1.906146 49.162752 4.305924 57.456293 11.021867 0.160954485342
42.5 68.47816 0.037923 0.035655 0.187546 1.333474 1.596148 49.33752 3.767287 56.295553 12.182607 0.1779049992
43.0 68.47816 0.030038 0.027473 0.123127 1.025957 1.317341 49.508756 3.249724 55.282416 13.195744 0.192700037501
43.5 68.47816 0.023667 0.021062 0.078539 0.778377 1.071596 49.675851 2.76387 54.412962 14.065198 0.205396844775
44.0 68.47816 0.018549 0.016067 0.04836 0.582319 0.859154 49.838196 2.317606 53.680251 14.797909 0.216096767203
44.5 68.47816 0.014461 0.012196 0.028435 0.429571 0.678919 49.995183 1.916066 53.074831 15.403329 0.224937834194
45.0 68.47816 0.011215 0.009211 0.015652 0.312468 0.528774 50.146202 1.561806 52.585328 15.892832 0.232086142501
