	Control
0.6477	0.639
0.6488	0.469
0.6498	0.571
0.6508	0.584
0.6527	0.034
0.6537	0.427
0.6548	0.58
0.6559	0.565
0.6569	0.535
0.6579	0.741
0.6591	0.524
0.6601	0.42
0.6611	0.17
0.6621	0.669
0.6632	0.702
0.6643	0.34
0.6653	0.141
0.6663	-0.398
0.6674	-0.497
0.6684	-0.105
0.6695	0.056
0.6705	0.218
0.6724	0.205
0.6734	-0.126
0.6744	-0.305
0.6756	-0.709
0.6766	-0.116
0.6776	0.357
0.6794	-0.146
0.6804	0.219
0.6814	0.649
0.6824	0.861
0.6835	0.585
0.6854	0.329
0.6864	0.117
0.6875	-0.48
0.6885	-0.547
0.6895	-0.278
0.6915	-0.424
0.6925	-0.839
0.6935	-1.169
0.6946	-1.073
0.6957	-0.637
0.6967	-0.959
0.6977	-0.367
0.6987	-0.344
0.6999	-0.428
0.7009	-0.494
0.7019	-0.264
0.7029	-0.238
0.704	0.034
0.7051	0.038
0.7061	-0.187
0.7071	-0.118
0.7082	-0.419
0.7092	-0.644
0.7103	-0.6
0.7113	-0.338
0.7132	-0.032
0.7142	0.49
0.7153	0.162
0.7164	0.032
0.7174	-0.668
0.7184	-0.822
0.7212	-0.364
0.7222	0.196
0.7232	0.14
0.7242	0.252
0.7254	0.362
0.7272	0.48
0.7282	-0.367
0.7293	-0.668
0.7304	-1.041
0.7314	-1.109
0.7324	-1.033
0.7343	0.061
0.7354	-0.142
0.7364	-0.27
0.7374	-0.298
0.7385	-0.151
0.7395	0.32
0.7406	0.014
0.7416	-0.036
0.7427	0.01
0.7437	-0.247
0.7448	0.02
0.7458	-0.182
0.7469	-0.143
0.7479	0.041
0.7489	0.313
0.75	0.401
0.751	0.593
0.7521	0.445
0.7531	0.399
0.7541	0.54
0.7551	0.497
0.7571	-0.01
0.7581	-0.509
0.7591	-0.765
0.7601	-0.857
0.7613	-0.304
0.7623	0.412
0.7633	-0.166
0.7643	0.075
0.7661	-0.387
0.7671	-0.079
0.7681	0.337
0.7691	0.189
0.7702	-0.273
0.7713	-0.076
0.7731	0.456
0.7741	0.33
0.7752	0.073
0.7763	0.548
0.7773	0.136
0.7783	-0.465
0.7793	-0.776
0.7813	-0.421
0.7823	-0.702
0.7833	-0.446
0.7843	-0.412
0.7854	-0.187
0.7865	0.245
0.7875	0.549
0.7885	1.027
0.7895	0.888
0.7907	0.28
0.7917	-0.203
0.7927	-0.322
0.7937	0.504
0.7947	0.528
0.7959	0.681
0.7969	0.429
0.7979	-0.062
0.7989	0.174
0.7999	0.502
0.8011	0.294
0.8021	0.244
0.8031	0.17
0.8041	0.108
0.8051	0.367
0.8071	-0.368
0.8081	-0.937
0.8091	-0.346
0.8101	0.307
0.8113	0.259
0.8123	-0.198
0.8133	0.232
0.8143	-0.204
0.8153	0.205
0.8171	0.513
0.8181	-0.051
0.8191	-0.144
0.8201	-0.396
0.8212	-1.017
0.8223	-1.244
0.8233	-1.213
0.8251	-1.329
0.8262	-0.963
0.8272	-0.792
0.8283	-0.507
0.8293	-0.657
0.8384	-0.871
0.8395	-0.873
0.8405	-0.28
0.8416	-0.14
0.8426	-0.613
0.8436	-0.777
0.8446	-0.788
0.8458	-0.495
0.8468	-0.613
0.8478	0.133
0.8488	0.529
0.8498	0.507
0.8508	-0.302
0.852	-0.489
0.853	-0.219
0.854	-0.335
0.855	-0.11
0.856	0.472
0.8571	0.485
0.8582	0.97
0.8592	0.897
0.8602	1.12
0.8612	0.468
0.8623	0.402
0.8633	-0.712
0.8652	-0.989
0.8662	-0.541
0.8673	-0.354
0.8683	-0.254
0.8693	-0.006
0.8704	-0.34
0.8714	0.12
0.8725	-0.08
0.8735	0.068
0.8745	-0.272
0.8755	-0.698
0.8773	-0.485
0.8783	0.056
0.8793	0.077
0.8803	-0.241
0.8813	-0.22
0.8824	-0.485
0.8834	-0.155
0.8845	-0.166
0.8855	-0.07
0.8874	-0.012
0.8884	0.07
0.8894	0.347
0.8904	0.563
0.8915	0.483
0.8926	0.302
0.8936	-0.232
0.8946	-0.9
0.8956	-0.801
0.8966	-0.227
0.8977	-0.187
0.8996	0.588
0.9006	0.518
0.9016	0.262
0.9027	-0.223
0.9037	0.316
0.9047	0.489
0.9058	0.842
0.9069	0.587
0.9079	1.299
0.9089	0.804
0.9099	0.749
0.9109	0.204
0.912	0.485
0.913	-0.271
0.9141	-0.129
0.9151	0.595
0.9161	0.55
0.9172	1.383
0.9378	-1.406
0.9389	-1.443
0.9407	-0.151
0.9417	0.846
0.9428	0.38
0.9438	0.571
0.9448	0.632
0.9458	0.429
0.9468	-0.453
0.948	-0.243
0.949	-0.074
0.95	-0.004
0.951	0.363
0.952	-0.22
0.9531	-0.369
0.9541	0.131
0.9551	0.843
