p2sigma m2sigma msigma psigma zaxis mean 
5.620311 1.680482 2.402799 4.651677794 56.0 3.508605 
5.776789 1.720885421 2.44935 4.803471 56.5 3.591472 
5.982645842 1.773261 2.51941225 4.955394 57.0 3.707526 
6.159533 1.815265 2.591562 5.144871763 57.5 3.78204 
6.37956 1.864519 2.706065087 5.267159 58.0 3.895682 
6.580870658 1.870803 2.775883 5.452138353 58.5 3.977262 
6.671962 1.879941 2.848240846 5.568917409 59.0 4.100991 
6.846176 1.937292 2.895922 5.750649 59.5 4.233219 
7.026504028 1.956531 2.968175 5.923099 60.0 4.3257 
7.228501164 1.980518 3.033195 6.045187488 60.5 4.421599 
7.424972724 2.017398475 3.116113 6.156226267 61.0 4.540449 
7.706951976 2.045983 3.212797545 6.34298 61.5 4.63262 
7.973817 2.061767 3.284815 6.505293 62.0 4.722543 
8.209695 2.078436 3.341670005 6.56222291 62.5 4.785368 
8.457976 2.095852 3.427633492 6.674794378 63.0 4.832226 
8.629136 2.113881 3.480719 6.770685012 63.5 4.87278 
8.75018 2.132384 3.53583 6.827379 64.0 4.940288 
8.998473 2.151224 3.533123 6.865626 64.5 4.994672 
9.174426 2.170266 3.643245 6.947695 65.0 5.0401955 
9.26401 2.156985977 3.647329276 7.017711694 65.5 5.08556 
9.255275852 2.136908574 3.613623 7.052433 66.0 5.100321 
9.217630431 2.117597911 3.626286 6.968456 66.5 5.0958905 
9.154381599 2.117682765 3.611961 6.964069064 67.0 5.079171 
9.034032 2.123964 3.613774 6.978061 67.5 5.05571 
8.940921 2.132419 3.604348327 7.021324 68.0 5.020704 
8.836891 2.140364 3.562924418 6.871315 68.5 5.012667 
8.6871 2.147747 3.536905769 6.760945 69.0 4.961836 
8.58323112 2.154516 3.504483824 6.725659983 69.5 4.918252 
8.34852227 2.160622 3.475959 6.58604 70.0 4.887156 
8.130699 2.166013 3.454303003 6.483489401 70.5 4.7928715 
7.914102 2.164515 3.419774 6.355757546 71.0 4.724473 
7.729321 2.102560004 3.379196277 6.169008044 71.5 4.644047 
7.661000489 2.039159195 3.319397 5.96928 72.0 4.495726 
7.381066114 2.028340008 3.23205447 5.805787 72.5 4.347718 
7.064133593 2.037065472 3.141799 5.621851652 73.0 4.223674 
6.755671668 2.045537358 3.040157196 5.462531 73.5 4.1090485 
6.516999124 2.056279 2.927871 5.227684933 74.0 4.011763 
6.143299265 2.042917 2.840745 5.000727854 74.5 3.869796 
5.766538 1.959447754 2.75816444 4.796158 75.0 3.701248 
5.447516 1.877514 2.664927 4.597575 75.5 3.5498365 
5.150009 1.774535519 2.579673713 4.361884 76.0 3.391438 
4.952196 1.701916 2.489639 4.133641387 76.5 3.222596 
4.671549 1.689581 2.396248 3.896881 77.0 3.0763875 
4.38499 1.583956517 2.2726147 3.701458 77.5 2.9171805 
4.150221404 1.45435148 2.142046 3.509283129 78.0 2.773384 
3.919667 1.490535 2.046482256 3.270740899 78.5 2.61032 
3.712471833 1.383832 1.909579633 3.059492906 79.0 2.4559395 
3.537769375 1.226811 1.771016868 2.914563 79.5 2.331741 
3.311237669 1.080382 1.639700782 2.74637491 80.0 2.177267 
3.143321078 1.025007 1.504052325 2.564441006 80.5 2.055623 
2.980769 0.865182281 1.376401 2.428285 81.0 1.9392065 
2.823701688 0.75575 1.193159 2.340501 81.5 1.8191855 
2.753622 0.586300372 1.046815 2.254984 82.0 1.707246 
2.71679 0.473343154 0.940814748 2.1748148 82.5 1.620518 
2.684425 0.408986 0.843618 2.103476 83.0 1.5122915 
2.647050396 0.345214908 0.757138 2.038717628 83.5 1.435536 
2.618463 0.269903497 0.698186 1.977115936 84.0 1.374476 
2.58703 0.201933 0.663909 1.912330654 84.5 1.314808 
2.556808 0.178164637 0.639034 1.888163 85.0 1.303047 
2.527932 0.181404268 0.648143 1.892173 85.5 1.2705145 
2.500536 0.19469 0.650515883 1.886495 86.0 1.267956 
2.474755 0.204616 0.643002 1.882282 86.5 1.245407 
2.450721 0.191052 0.62531273 1.868978 87.0 1.233467 
2.428166 0.179243 0.623568 1.83171993 87.5 1.231782 
2.408437 0.18768774 0.634879 1.828008 88.0 1.231396 
2.390455 0.19525188 0.640388 1.837193327 88.5 1.252625 
2.374759 0.225272 0.652211 1.848981096 89.0 1.284904 
2.375055 0.259997 0.678653936 1.839399 89.5 1.307583 
2.376017277 0.296929 0.716141 1.868988 90.0 1.3296965 
2.378783258 0.313273 0.752811 1.886083002 90.5 1.356731 
2.389847 0.341806 0.77711953 1.901293 91.0 1.379537 
2.423227524 0.404352 0.810631054 1.927157 91.5 1.404241 
2.438006355 0.46092 0.837116961 1.952714358 92.0 1.434754 
2.473622723 0.411383 0.864124049 1.977528 92.5 1.477941 
2.49549 0.431182 0.912654 2.003406 93.0 1.5025975 
2.532179092 0.49645 0.939047 2.046686 93.5 1.5256075 
2.586382 0.570483 0.960185 2.074954 94.0 1.563147 
2.629122 0.645526 1.000152375 2.131139 94.5 1.5920825 
2.629946436 0.668182 1.047326289 2.180930429 95.0 1.636223 
2.673740709 0.716356 1.093453175 2.235529 95.5 1.6818655 
2.748153886 0.771781 1.14285 2.279722 96.0 1.730422 
2.769709212 0.825298 1.187868 2.319214 96.5 1.773106 
2.839999 0.820948 1.224726 2.343760944 97.0 1.806921 
2.910287576 0.859556 1.269138 2.394827 97.5 1.841396 
2.981519 0.912108 1.32904023 2.450507062 98.0 1.871735 
3.053919 0.961664 1.376439 2.509900878 98.5 1.910219 
3.124679 0.988836 1.428268 2.53747195 99.0 1.9335035 
3.193492 1.067772 1.444852825 2.561198 99.5 1.964995 
3.248405 1.116735 1.495389113 2.611603 100.0 1.998585 
3.315707 1.131921 1.530114 2.665251389 100.5 2.033778 
3.385193 1.16431 1.603005 2.689905 101.0 2.077108 
3.44316 1.185241 1.623324867 2.744156 101.5 2.121881 
3.49765 1.191822 1.635268496 2.778928634 102.0 2.1581295 
3.54378 1.179241 1.696595935 2.819881 102.5 2.165989 
3.57777 1.203029 1.736643 2.84123 103.0 2.1866365 
3.599184 1.207566 1.752251902 2.881481065 103.5 2.215733 
3.602998 1.222072766 1.767498931 2.891462719 104.0 2.256205 
3.628324 1.259327682 1.801234 2.91888421 104.5 2.294871 
3.63924 1.295665962 1.828559804 2.944835449 105.0 2.327689 
3.636018 1.330983105 1.867589043 2.968507124 105.5 2.3459175 
3.636191244 1.339635111 1.882496517 2.978190697 106.0 2.364464 
3.631195039 1.350226525 1.900215 3.012293634 106.5 2.3904805 
3.660107415 1.372749484 1.917097 3.037096 107.0 2.4133375 
3.674432576 1.397009 1.921899 3.056427 107.5 2.425809 
3.675541782 1.403683 1.949494 3.068349 108.0 2.443767 
3.673195467 1.397512 1.956941438 3.097519 108.5 2.4423775 
3.660057 1.418609 1.965785 3.083531689 109.0 2.450213 
3.62104 1.437618 1.973758 3.069146 109.5 2.457384 
3.577768 1.454423 1.980624105 3.057134 110.0 2.457046 
3.574731 1.463655969 1.976186 3.047279279 110.5 2.465576 
3.550223 1.445558 1.963423 3.046719 111.0 2.465401 
3.561175 1.426081334 1.949939 3.051364 111.5 2.439348 
3.528364788 1.408462476 1.933597 3.029003117 112.0 2.42542 
3.540146289 1.387914707 1.913873 3.008718 112.5 2.419051 
3.5305841 1.363999791 1.890621 2.981544 113.0 2.402702 
3.498511833 1.354907089 1.884332 2.969831857 113.5 2.378031 
3.444111716 1.34694485 1.850502107 2.937212 114.0 2.3546905 
3.381175 1.3294631 1.820510032 2.880354882 114.5 2.325731 
3.290166 1.301684679 1.779685 2.820171 115.0 2.287208 
3.22823583 1.269920806 1.754602 2.770397 115.5 2.2592065 
3.182899122 1.253835058 1.718280235 2.71817548 116.0 2.2288655 
3.117878 1.227804116 1.683973 2.684581 116.5 2.179431 
3.040426436 1.177807 1.630611 2.633561987 117.0 2.119692 
2.925427083 1.148483 1.571429 2.52248 117.5 2.050722 
2.792447 1.087912 1.498537358 2.450751 118.0 1.984281 
2.715168 1.032764 1.435719 2.352835 118.5 1.893711 
2.616567 0.983324 1.342322 2.260056787 119.0 1.772356 
2.514902 0.888403129 1.254188124 2.140954242 119.5 1.650008 
2.43577 0.756573 1.190730021 2.01117 120.0 1.536877 
2.357144 0.624039 1.068961575 1.92872077 120.5 1.4400095 
2.27857 0.548897625 0.934615284 1.846923 121.0 1.340774 
2.200265 0.483538022 0.799507752 1.746552745 121.5 1.218687 
2.122448 0.356648 0.658365166 1.66370227 122.0 1.1069515 
2.045337 0.22592838 0.538201 1.589732 122.5 1.010067 
1.993064017 0.139197923 0.43158359 1.48979 123.0 0.913853 
1.954027058 0.084043 0.341336035 1.403354 123.5 0.842657 
1.878855189 0.043016 0.274218 1.359524 124.0 0.764882 
1.803151429 0.037215 0.218396199 1.287746 124.5 0.684552 
1.731357363 0.029707 0.167921 1.212229 125.0 0.6447435 
1.660113582 0.02429 0.139965561 1.144894054 125.5 0.57981 
1.603758819 0.023333 0.131712139 1.086185974 126.0 0.521585 
1.550985067 0.024735671 0.12555956 1.033452 126.5 0.4899635 
1.502098449 0.031215 0.122522 0.974764354 127.0 0.462914 
1.456783877 0.034396247 0.122598 0.952749 127.5 0.4266965 
1.411503 0.035489 0.111625 0.935623832 128.0 0.409495 
1.36289 0.03684506 0.112736 0.90231 128.5 0.396411 
1.319141421 0.036234 0.123588 0.881863173 129.0 0.385493 
1.296315839 0.035302 0.12374372 0.871533 129.5 0.3802805 
1.273245541 0.027817449 0.127702 0.84292 130.0 0.373302 
1.229114 0.032328 0.122051259 0.824742 130.5 0.363975 
1.209709573 0.03955 0.126525 0.802483 131.0 0.361341 
1.197399012 0.043001 0.132831 0.789783061 131.5 0.357084 
1.180533604 0.032193 0.13883019 0.784587451 132.0 0.36254 
1.151059177 0.032729456 0.145873 0.781070912 132.5 0.365975 
1.122587511 0.031684 0.152288 0.779533 133.0 0.367912 
1.099026353 0.031671 0.150044 0.784982 133.5 0.3701685 
1.075036 0.031677448 0.151474 0.784087758 134.0 0.380236 
1.084768 0.038091 0.158621 0.793531125 134.5 0.394678 
1.070163 0.035484265 0.17649825 0.785198 135.0 0.412109 
1.094000464 0.041228 0.181087 0.800841531 135.5 0.4316685 
1.111406384 0.043505 0.186604 0.803522 136.0 0.4432905 
1.135864024 0.043813 0.190106061 0.821874 136.5 0.457485 
1.155061 0.04962 0.209247399 0.831716 137.0 0.471155 
1.193437 0.055255 0.219592 0.843103327 137.5 0.487706 
1.232749 0.057278137 0.237261 0.859509 138.0 0.503599 
1.272726 0.058222539 0.245548 0.875894044 138.5 0.530615 
1.3197 0.06040081 0.260022 0.872472 139.0 0.556876 
1.376784419 0.061955689 0.268140407 0.905007 139.5 0.569793 
1.393908 0.060792 0.281802096 0.936543 140.0 0.5975585 
1.424715 0.0585033 0.303553 0.984302 140.5 0.610884 
1.450743 0.058665074 0.309994001 1.023654 141.0 0.6291825 
1.482226 0.061367873 0.31637398 1.059148 141.5 0.6480855 
1.509955 0.06410335 0.322073418 1.095369052 142.0 0.668769 
1.53871 0.066858149 0.329484 1.128233035 142.5 0.677994 
1.617321 0.069619787 0.334551285 1.155433 143.0 0.696817 
1.677222216 0.071594795 0.335491034 1.18292199 143.5 0.715309 
1.712824516 0.074012 0.341872705 1.200993 144.0 0.7146705 
