Q I dI dQ
0.00306651534547539 0.4850836033069088 0.32147869082227093 0.001047930848815892
0.0031873225057103727 0.44143127887594014 0.32147158508554574 0.0010490414884238204
0.003579056960640208 0.7876003023049427 0.32144672316203843 0.0010529287889497194
0.004018937118712492 0.5551418712667612 0.3214155243981018 0.0010578099754717733
0.004875459420359074 0.5254600318002411 0.32134503064123615 0.001068852874087023
0.005067530987287159 0.740011754671957 0.32132749348968925 0.001071603302372289
0.0054746725326642025 0.4055393511192299 0.32128827431903545 0.0010777592328810196
0.0063897168700520444 0.7099835595303723 0.3211902712165272 0.001093175080661332
0.009047100561704451 0.3648895778301217 0.257969542832949 0.0011495597036277224
0.010559245459755057 0.666061830685257 0.2209432560677787 0.0011886468322312397
0.010975233092133713 0.4049062749091462 0.21254542802313234 0.0012002066723526131
0.011857018200742742 0.5229266847716102 0.19669094508421625 0.0012257894653748722
0.012324132347032512 0.6479605593927165 0.18921069756817893 0.0012399111401468143
0.012809648727507119 0.2441958705418762 0.06243970978858274 0.0021436619756556147
0.01331429230891332 0.31183340232141304 0.010688858375523526 0.002153120136246753
0.013838816618485596 0.33271010200010276 0.010282101233242465 0.0021632917268402546
0.013838816618485596 0.1945361199638931 0.16842568343672457 0.0012882318976831849
0.01438400486910324 0.3109503567488224 0.16201495396412086 0.0013065120151075664
0.01438400486910324 0.3285822486445419 0.009890737113048659 0.002174227062389645
0.014950671128773666 0.3167497953825735 0.009514185508269803 0.0021859795053521657
0.014950671128773666 0.23839099990032242 0.15584686050292812 0.001325977648609745
0.015539661536188134 0.32257444554941106 0.009151888313631125 0.002198605582782237
0.015539661536188134 0.28384054576672335 0.1499122610246677 0.0013466910690407617
0.016151855564165058 0.31394348285707196 0.008803308993597068 0.0022121650993346255
0.016151855564165058 0.23765122465424485 0.14420236682339 0.0013687164620574648
0.016788167332867414 0.4321407419403648 0.1387087293432039 0.0013921199049659106
0.016788167332867414 0.32658105864733783 0.008467931778213936 0.0022267212450168446
0.01744954697475503 0.3142216454802591 0.00814526088418234 0.0022423406965067427
0.018136982053310043 0.24581820098559082 0.12833805489254793 0.0014433345839465772
0.018136982053310043 0.32357383474889484 0.007834819758818787 0.0022590937108547112
0.01885149903765389 0.23846345534957583 0.1234457085632399 0.0014712872608734055
0.01885149903765389 0.31508582291325893 0.007536150344513373 0.0022770542104252676
0.019594164835257583 0.32374491981386044 0.007248812361263712 0.0022962998580044977
0.019594164835257583 0.26910874836302096 0.11873897643637639 0.0015009008510439336
0.020366088385034113 0.32744874513673916 0.006972382604874219 0.002316912121111799
0.020366088385034113 0.16484716625627707 0.11421092622698747 0.0015322506660947173
0.02116842231319164 0.31163450012875954 0.006706454258490693 0.0023389763247094663
0.02116842231319164 0.2723681622156743 0.10985489408250448 0.0015654138667918884
0.022002364654319893 0.3216561613857078 0.006450636215283065 0.0023625816917033954
0.022002364654319893 0.6917626152307206 0.10566447348798687 0.0016004694863586146
0.022869160640279926 0.3208751467661921 0.006204552410351332 0.002387821370872474
0.022869160640279926 0.3209588148987425 0.10163350432242893 0.001637498465949886
0.023770104559568066 0.322381900012675 0.0059678411603099404 0.002414792452150801
0.023770104559568066 0.38776226362071936 0.09775606204083812 0.0016765837031766137
0.024706541689930698 0.3134915705584026 0.005740154509543425 0.00244359596951144
0.024706541689930698 0.19938525734832135 0.09402644696558542 0.0017178101143623193
0.025679870307115552 0.3117212393377746 0.005521157582837502 0.0024743368920560416
0.025679870307115552 0.41609011024485504 0.09425330990658998 0.0017612647109910772
0.026691543772758786 0.3194557700984177 0.10747773748599289 0.0018070366905838407
0.026691543772758786 0.3244542499815645 0.005310527944995667 0.00250712410429226
0.02774307270452572 0.24676185805572934 0.11726131128414373 0.0018552175420301126
0.02774307270452572 0.31436663537268983 0.005107954969147234 0.0025420703769690016
0.028836027231745536 0.3278192391525092 0.12711466080137207 0.001905901165210269
0.028836027231745536 0.32592377577256676 0.004913139216743704 0.0025792923302248878
0.02997203933990791 0.4796518424412436 0.1385026752780151 0.001959184004576576
0.02997203933990791 0.3156619685938073 0.004725791833665425 0.0026189103911733558
0.03115280530752254 0.31497289729143946 0.004545633968379458 0.0026610487483833185
0.03238008823898024 0.32197535970499436 0.004372396219572415 0.002705835306002333
0.03238008823898024 0.423613854399862 0.1749874514142321 0.002073946727860113
0.03365572069719736 0.31459509128913704 0.004205818121994156 0.002753401640495932
0.03365572069719736 0.6585316285634164 0.2118364293215956 0.0021356336110575284
0.03498160743997501 0.5820281659329163 0.2940472768750782 0.002200334065028837
0.03498160743997501 0.3102170567464214 0.004045647680188687 0.0028038829631304866
0.03635972826415863 0.3171788492368747 0.0038916409601292405 0.0028574180913988117
0.03635972826415863 0.5612549857826558 0.31643588431183434 0.002268159711273912
0.03779214096184485 0.3170487659671411 0.0037435617482561175 0.0029141494325725745
0.0392809843930499 0.3161505546632117 0.0036011812857937716 0.002974222982462358
0.04082848167942768 0.31615527109328473 0.003464278083295068 0.003037788342278101
0.04243694352380595 0.3166908643840155 0.0033326378160255556 0.0031049987562171556
0.044108771660497835 0.317003828255711 0.0032060532951406033 0.0031760111720753707
0.045846462441540344 0.3148924501312543 0.003084324502929887 0.003250986326792881
0.04765261056421461 0.31654024156063426 0.0029672586733170267 0.0033300888584269477
0.049529912945414235 0.31993424011425825 0.0028546703922194515 0.003413487445607093
0.0514811727486466 0.3149979062352225 0.0027463816874677915 0.0035013549750903274
0.0514811727486466 0.32623332367710656 0.005854187581042134 0.0063084278362739435
0.05350930356967999 0.31733905262279316 0.002642222076051034 0.0035938687376135072
0.05350930356967999 0.31839778238007616 0.002401934851359389 0.0063602411595066
0.055617333787087025 0.3182993107474402 0.0023108530488565914 0.006415747125644948
0.055617333787087025 0.31990226653227943 0.002542028538677113 0.0036912106518505895
0.05780841108418023 0.3131212665256336 0.00222323512112814 0.006475177959088034
