Chisq background_os046_4column intensity_os046_4column sample_broadening_os046_4column theta_offset_os046_4column substrate_roughness siox_rho silicon_oxide_layer_thickness gold_chromium_roughness chromium_rho chromium_layer_thickness gold_rho d2o_rho inner_acyl_chain_thickness outer_acyl_chain_thickness tether_length bME_to_tether_ratio number_fraction_tether bilayer_roughness volume_fraction_bilayer background_os047_4column h2o_rho gold_layer_thickness 
-162.6290505608831 -7.774794767929272e-08 1.0029753903947394 0.0020541604430625525 0.0006170898105180329 5.357619147130094 3.469459365037947 25.907840232175257 11.256225230670978 3.5941388273980763 25.824025084042436 4.485319849429041 6.090199950399316 9.57679505185029 14.3939025325509 3.77626033284935 1.130167679142269 0.3912269947440069 4.1942870746007275 0.95613913511852 3.765884810941589e-06 -0.3443739196283753 167.5071544644518 
-151.0815564537305 -4.775838544028054e-08 0.9939905648122949 0.0027174992934683303 0.004879754727469353 4.911477082660708 3.445734036058741 24.44241427366737 10.775289498773883 3.6062378399800825 25.194541303424863 4.546763758074899 6.191680009210809 9.723753078577683 12.892772261943186 5.267867504217016 0.9249675546507546 0.8434302375723216 4.606952541952288 0.9753467069682558 3.941887577061741e-06 -0.37015326545179245 169.65356772152276 
-155.19991667353327 1.5849308153781827e-08 0.9799387794938286 -6.255715675069481e-05 0.0006545540134135706 5.422888777618087 3.563117721130275 22.861813157235222 12.976551414827743 3.408178278334521 22.80624792107454 4.510362143984799 6.1121678332135225 10.546662901623083 13.447331678058129 4.948454721288319 0.8450888398522297 0.477066260310992 3.4337598538919094 0.9892547103745223 4.0427648866193865e-06 -0.43097075820194414 172.69065631932932 
-163.1160729934465 -4.432532806123291e-08 0.9842466412733059 -0.0007022206548860639 0.004951034763496481 4.442733167152343 3.2421089474140388 20.019474513509845 9.397048306634025 3.645351900917669 33.435239606234184 4.5503240236151905 6.214820444375365 10.614991195218062 12.71654660091028 3.4693169507727086 0.8121845666058636 0.5365639136182654 4.058936402396765 0.9508517048486995 3.4952863971559027e-06 -0.41838179010313076 168.056622120029 
-153.23573306617868 9.484409396024855e-08 0.9934740979415095 0.0011139947942887265 -0.00040995197897997313 5.241201149351341 3.510573191125635 20.982246483726335 14.717536691527064 3.321334351871111 24.07022873717228 4.4854396320663 6.07652509801452 9.98145568309393 13.92897900132136 4.924664888354066 3.2059681328780667 0.23027581306556053 4.445451490543865 0.9796357699451258 4.444485782383641e-06 -0.3474445318644163 174.36835664616535 
-140.01333345640825 -5.617438043233601e-08 1.0052533540255861 0.0005718760363504061 0.005013948763209477 3.8621593014247506 3.412460121188908 18.266444132769276 14.930208447657977 3.3016517820661724 23.377791305597835 4.510345566470334 6.2105685656762475 9.920570590769222 13.263775928292496 4.49406417854025 1.0755099093823532 0.3365176287222655 5.3017848645624035 0.9798456668292245 3.7255615869727802e-06 -0.446820209506134 177.1366007005986 
-173.3611681115365 9.623110331739742e-08 0.9961101428791271 0.0053525059089827775 0.008617099296410436 6.229231565523292 3.531991976595252 24.091166523833973 15.499889629056009 2.8543840623883434 14.489507304526832 4.616108412850483 6.278009543961615 8.835819921854583 13.937737731475497 6.0654987424566595 0.42226993382037636 0.710729126577464 4.831312752062402 0.9815355484844315 4.0924764167292405e-06 -0.2979982139486807 180.50189067028532 
-140.24255772531777 -6.884342394043828e-08 0.9930853435501232 0.00018007117902653702 -0.0035144885583266333 3.713500425695067 3.4132406162100484 21.519061713427774 15.847185614369328 3.2067684164784063 18.68097977664106 4.416685905721833 6.002753776041403 9.121772350582743 14.196403050892311 7.289779448433255 1.472018637194531 0.48710801981177654 4.821309347519066 0.9836112642230636 4.033606142379607e-06 -0.4146153604069596 179.39891125687728 
-170.63786997101474 3.10452319580619e-08 0.971228539090846 0.001877039879469885 0.0057432134625991895 4.274768953819332 3.9197477438240678 10.012807356984451 14.659373642510289 3.390902253426189 31.326178375036843 4.570423325091097 6.225386588358073 11.967453981324928 10.450250884813325 8.694296026517062 1.1917789621843784 0.5311598324234832 5.0930816831836605 0.9883432514466599 4.36810842590813e-06 -0.4762650014773264 174.9387117295063 
-149.32658847010748 2.034090392036402e-07 0.9889589534180141 -0.0017567108200354025 0.0024591736626723548 4.775411962610384 3.491239938363723 11.062155803539236 11.973775011044141 3.5008293913170627 37.109862182784354 4.527301485478581 6.170162633011681 11.507761593903464 11.483345088465809 4.332813871196472 1.8003844328228211 0.2939361319076622 4.878730473424015 0.9790103101577545 4.196460703294436e-06 -0.3475137333165351 171.51285275829832 
