# bilayer.tether_hg_zaxis bilayer.tether_hg_area bilayer.tether_hg_msigma_area bilayer.tether_hg_psigma_area
6.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.540496451130015987e-01
6.050000000000000000e+01 0.000000000000000000e+00 2.161826061272977082e-03 2.992446230028205090e-01
6.100000000000000000e+01 0.000000000000000000e+00 2.644586461310830666e-02 3.528721654491301929e-01
6.150000000000000000e+01 0.000000000000000000e+00 6.049661256852992275e-02 4.065532741569113928e-01
6.200000000000000000e+01 0.000000000000000000e+00 1.063753272352329776e-01 4.681750736135290580e-01
6.250000000000000000e+01 0.000000000000000000e+00 1.545909952330690174e-01 5.399111865365120444e-01
6.300000000000000000e+01 0.000000000000000000e+00 1.986190322126234198e-01 6.050816397620651932e-01
6.350000000000000000e+01 0.000000000000000000e+00 2.464828046133640260e-01 6.837122406010729403e-01
6.400000000000000000e+01 0.000000000000000000e+00 2.943660748674739591e-01 7.618148408144472805e-01
6.450000000000000000e+01 0.000000000000000000e+00 3.386903891509748243e-01 8.384046103609045231e-01
6.500000000000000000e+01 0.000000000000000000e+00 3.940058708266437337e-01 9.180863754768741058e-01
6.550000000000000000e+01 0.000000000000000000e+00 4.534811093288876327e-01 1.004146391859413345e+00
6.600000000000000000e+01 0.000000000000000000e+00 5.067236190222893510e-01 1.085778440903589770e+00
6.650000000000000000e+01 0.000000000000000000e+00 5.717716917523334441e-01 1.177611221933142716e+00
6.700000000000000000e+01 0.000000000000000000e+00 6.305558087642838538e-01 1.274929565860633218e+00
6.750000000000000000e+01 0.000000000000000000e+00 6.998597041965884946e-01 1.373967230663676764e+00
6.800000000000000000e+01 0.000000000000000000e+00 7.746878969711415985e-01 1.480107380700695474e+00
6.850000000000000000e+01 0.000000000000000000e+00 8.418307315123593204e-01 1.579973053062317723e+00
6.900000000000000000e+01 0.000000000000000000e+00 9.188244770009535989e-01 1.684187542102367985e+00
