origin,name,vis,lower limit,upper limit,lower percentile,median percentile,upper percentile,interval lower,interval upper,confidence,interval_center,symmetric_uncertainty
fit,background_IvsQ_76529+76544_76530_76531,[ | -    |  ],0.0,1e-05,1.2589164611428295e-06,3.2776814015233505e-06,7.603419281282973e-06,-2.018764940380521e-06,4.325737879759623e-06,0.6826894921370859,4.431167871212901e-06,3.172251410070072e-06
fit,l_dense_polymer,[      | - |],10.0,100.0,63.83139011639027,84.42548415074009,95.66473437410633,-20.594094034349823,11.239250223366241,0.6826894921370859,79.74806224524829,15.916672128858032
fit,l_sparse_polymer,[     |  -| ],10.0,100.0,51.62996881726214,78.72984252764272,90.37526040303257,-27.099873710380578,11.645417875389853,0.6826894921370859,71.00261461014736,19.372645792885216
fit,vf_dense_polymer,[       | -|],0.02,0.5,0.3423091812391323,0.4611231075679954,0.4897373035768704,-0.11881392632886312,0.028614196008874992,0.6826894921370859,0.41602324240800137,0.07371406116886906
fit,vf_sparse_polymer,[     |  - |],0.01,0.5,0.25598853373747005,0.42304639346288464,0.48178421420516304,-0.1670578597254146,0.0587378207422784,0.6826894921370859,0.3688863739713165,0.1128978402338465
fit,background_IvsQ_76548_76549_76550,[ | -  |    ],0.0,1e-05,7.685701365530812e-07,2.695073663121649e-06,6.20085089800337e-06,-1.926503526568568e-06,3.5057772348817212e-06,0.6826894921370859,3.4847105172782255e-06,2.7161403807251446e-06
fit,dVf1,[ |   -  |  ],0.0,0.4,0.04167403808090737,0.18774488747583107,0.32663746083972656,-0.1460708493949237,0.1388925733638955,0.6826894921370859,0.18415574946031696,0.1424817113794096
fit,dVf2,[  | -   |  ],0.0,0.4,0.06728816428300723,0.17276320788522087,0.3154958406740575,-0.10547504360221364,0.14273263278883663,0.6826894921370859,0.19139200247853236,0.12410383819552515
fit,dVf3,[ |  -   |  ],0.0,0.4,0.024912689625710464,0.17842471719192288,0.3318805447442475,-0.1535120275662124,0.15345582755232462,0.6826894921370859,0.17839661718497898,0.1534839275592685
fit,dVf4,[ |   -  |  ],0.0,0.4,0.05780410363892341,0.20731223780933167,0.3039049562201903,-0.14950813417040826,0.09659271841085865,0.6826894921370859,0.18085452992955686,0.12305042629063345
fit,nf_protein,[ |-     |  ],0.0,1.0,0.13486603466675606,0.23701854772885944,0.7622699789294024,-0.10215251306210338,0.525251431200543,0.6826894921370859,0.44856800679807923,0.31370197213132317
fit,protein_penetration,[ |  -    | ],-50.0,10.0,-46.781696490147205,-28.929908875776,2.12912481421654,-17.851787614371204,31.05903368999254,0.6826894921370859,-22.326285837965333,24.45541065218187
bilayer.defect_hg,COM,,,,166.55740803355468,213.67775745849772,233.83644546144427,-47.12034942494304,20.158688002946548,0.6826894921370859,200.19692674749948,33.639518713944796
bilayer.defect_hg,INT,,,,0.0,0.0,0.0,0.0,0.0,0.6826894921370859,0.0,0.0
bilayer.defect_hc,COM,,,,162.22987331133243,209.3502227362755,229.50891073922202,-47.12034942494307,20.15868800294652,0.6826894921370859,195.86939202527722,33.639518713944796
bilayer.defect_hc,INT,,,,0.0,0.0,0.0,0.0,0.0,0.6826894921370859,0.0,0.0
