# "wavelength": 5.0
# "wavelength_resolution": 0.015
# "columns": ["Qz", "Intensity", "uncertainty", "resolution"]
# "units": ["1/Ang", "counts per monitor", "counts per monitor", "1/Ang"]
9.587503484704924e-03  2.921263014765077e-01  3.282797591182310e-02  3.687501340271112e-04
9.971003624093120e-03  2.522370231077504e-01  1.310477559370172e-02  3.835001393881955e-04
1.036984376905685e-02  2.367260810562407e-01  1.042776289780214e-02  3.988401449637234e-04
1.078463751981912e-02  2.138788338973590e-01  8.251874227851431e-03  4.147937507622723e-04
1.121602302061188e-02  2.100981543176877e-01  6.939738766740987e-03  4.313855007927632e-04
1.166466394143636e-02  1.962695788098647e-01  5.928661750483183e-03  4.486409208244738e-04
1.213125049909381e-02  1.720606298435606e-01  4.873196217204831e-03  4.665865576574527e-04
1.261650051905757e-02  1.701223140333986e-01  4.381156782629940e-03  4.852500199637509e-04
1.312116053981987e-02  1.525574663617783e-01  3.991409804242604e-03  5.046600207623008e-04
1.364600696141266e-02  1.450305514507139e-01  3.776828401870129e-03  5.248464215927928e-04
1.419184723986917e-02  1.323256274632381e-01  3.276380774130451e-03  5.458402784565046e-04
1.475952112946394e-02  1.119113068276095e-01  2.650535664711106e-03  5.676738895947648e-04
1.534990197464249e-02  1.006872127680816e-01  2.286108690072052e-03  5.903808451785553e-04
1.596389805362820e-02  8.930307315523769e-02  1.956766715905543e-03  6.139960789856977e-04
1.660245397577332e-02  8.072424934981864e-02  1.693658461656241e-03  6.385559221451255e-04
1.726655213480426e-02  7.050353889138407e-02  1.453847824038590e-03  6.640981590309306e-04
1.795721422019643e-02  6.031328080774599e-02  1.212660319777710e-03  6.906620853921678e-04
1.867550278900428e-02  5.316361139254422e-02  1.055571672854230e-03  7.182885688078544e-04
1.942252290056445e-02  4.758769144108638e-02  9.257113646595721e-04  7.470201115601687e-04
2.019942381658704e-02  4.015520239842847e-02  7.826066203679306e-04  7.769009160225755e-04
2.100740076925051e-02  3.442586097258986e-02  6.750759631162384e-04  8.079769526634784e-04
2.184769680002054e-02  2.837484472889971e-02  5.687103171368651e-04  8.402960307700176e-04
2.272160467202135e-02  2.315982716251186e-02  4.802450466088583e-04  8.739078720008183e-04
2.363046885890221e-02  2.028498730926288e-02  4.255260920218734e-04  9.088641868808510e-04
2.457568761325830e-02  1.566734432477244e-02  3.513717435249496e-04  9.452187543560850e-04
2.555871511778863e-02  1.292472727755411e-02  2.459335961819867e-04  9.830275045303284e-04
2.658106372250017e-02  1.041511664591032e-02  2.090001747993111e-04  1.022348604711541e-03
2.764430627140018e-02  7.752501946966672e-03  1.685787417289081e-04  1.063242548900003e-03
2.875007852225619e-02  6.328013866917402e-03  1.435700558341762e-04  1.105772250856003e-03
2.990008166314644e-02  4.680313892899509e-03  1.148308623280493e-04  1.150003140890243e-03
3.109608492967229e-02  3.609178177552147e-03  9.397514323557162e-05  1.196003266525853e-03
3.233992832685918e-02  2.626800177340263e-03  7.625653212970487e-05  1.243843397186887e-03
3.363352545993355e-02  1.837774723949476e-03  5.922284681185706e-05  1.293597133074363e-03
3.497886647833089e-02  1.233880959689106e-03  4.527729705279983e-05  1.345341018397337e-03
3.637802113746412e-02  8.242594140467002e-04  3.439048709162379e-05  1.399154659133230e-03
3.783314198296268e-02  5.700689949794213e-04  2.528399103552848e-05  1.455120845498560e-03
