# bilayer.substrate_zaxis bilayer.substrate_area bilayer.substrate_msigma_area bilayer.substrate_psigma_area
2.250000000000000000e+01 1.723474162526645870e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 1.531963223620603465e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.350000000000000000e+01 1.351595998979574276e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.183412907090501776e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.450000000000000000e+01 1.028149999823141059e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 8.862397490725159699e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.550000000000000000e+01 7.578233486218001858e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 6.427730134118432304e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.650000000000000000e+01 5.407223211549742281e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 4.511023722302437200e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.750000000000000000e+01 3.731814473306304780e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 3.061059077573899501e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.850000000000000000e+01 2.489402875337166865e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 2.007048377262797612e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.950000000000000000e+01 1.604091647450530678e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 1.270810183054604359e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.050000000000000000e+01 9.978969624136319050e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 7.766391298285777456e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.150000000000000000e+01 5.990430407518722022e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 4.579099652108388763e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.250000000000000000e+01 3.468685784914317671e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 2.603714659399157250e-01 0.000000000000000000e+00 0.000000000000000000e+00
