Model 0x100d461e0
  size 202 out of 214
  interface=0x100d46280
  repeats=0 at 0x100d46214
  # d(0x7fb5f680af60) rho(0x7fb5f680a8b0) mu(0x7fb5f680a200) rough(0x7fb5f680b610)
  161 0.5 1.98158e-06 0 0
  162 0.5 2.04895e-06 0 0
  163 0.5 2.09518e-06 0 0
  164 0.5 2.12431e-06 0 0
  165 0.5 2.14064e-06 0 0
  166 0.5 2.14829e-06 0 0
  167 0.5 2.15091e-06 0 0
  168 0.5 2.15164e-06 0 0
  169 0.5 2.15306e-06 0 0
  170 0.5 2.15731e-06 0 0
  171 0.5 2.16599e-06 0 0
  172 0.5 2.18012e-06 0 0
  173 0.5 2.20009e-06 0 0
  174 0.5 2.22557e-06 0 0
  175 0.5 2.25556e-06 0 0
  176 0.5 2.28851e-06 0 0
  177 0.5 2.32259e-06 0 0
  178 0.5 2.35592e-06 0 0
  179 0.5 2.38685e-06 0 0
  180 0.5 2.41415e-06 0 0
  181 0.5 2.43713e-06 0 0
  182 0.5 2.45558e-06 0 0
  183 0.5 2.46974e-06 0 0
  184 0.5 2.48014e-06 0 0
  185 0.5 2.48743e-06 0 0
  186 0.5 2.49234e-06 0 0
  187 0.5 2.49551e-06 0 0
  188 0.5 2.49746e-06 0 0
  189 0.5 2.49862e-06 0 0
  190 0.5 2.5e-06 0 0
  191 0.5 2.5e-06 0 0
  192 0.5 2.5e-06 0 0
  193 0.5 2.5e-06 0 0
  194 0.5 2.5e-06 0 0
  195 0.5 2.5e-06 0 0
  196 0.5 2.5e-06 0 0
  197 0.5 2.5e-06 0 0
  198 0.5 2.5e-06 0 0
  199 0.5 2.5e-06 0 0
  200 0.5 2.5e-06 0 0
  201 100 2.5e-06 0 0
