165
      0.0526796        0.411381        0.675747        0.562328       0.0844539     1.74512e-05        0.252911        0.999934               1        0.551359               1        0.205665               1     9.44803e-05        0.769206        0.199931       0.0712968        0.516553     0.000100343        0.232633         0.92624         0.21606               1        0.959337        0.797554               1        0.423649     7.98203e-07        0.484973        0.874434        0.754277         0.34542        0.266392        0.541625        0.727282        0.563615        0.391035        0.514549          0.7173        0.401535        0.388095        0.512796        0.659535         0.55161        0.480025        0.152394       0.0705974       0.0293954       0.0160705        0.033876        0.473791        0.130373               1        0.546271        0.725946        0.309585 
         0.0015            0.23          0.7481          0.5193             0.3          0.1673          0.8243          0.8615          0.2104          0.0885          0.3458           0.885          0.3509          0.5084          0.6251          0.7346          0.6229          0.0151          0.3869          0.6666          0.0939          0.7955          0.9149          0.0489          0.9097          0.6856          0.5618          0.4524          0.3903          0.6461          0.0474          0.3799          0.3163          0.4377          0.9325          0.4159          0.5815          0.4761          0.8403          0.6959           0.377          0.8268          0.6172          0.8928          0.0673          0.9932           0.954          0.2488          0.4805          0.2784          0.2709          0.9551          0.6732          0.7095          0.5305          0.0958 
         0.1735          0.2611          0.2871          0.1237          0.7928          0.0649          0.0791          0.1351          0.9056          0.4304          0.7127          0.8864          0.2921          0.9884          0.5803          0.8266          0.0491          0.5538          0.0249          0.8526          0.3973          0.9799          0.2596          0.1428          0.2122          0.6173          0.6005          0.2394           0.994           0.452          0.8684          0.6309          0.3807          0.2392          0.8756          0.9698          0.9797          0.4244          0.6678          0.6931          0.1389          0.9709           0.565          0.7793          0.0515          0.9804          0.1822          0.1283          0.3602          0.3771          0.1188          0.2339           0.434          0.0369          0.5691          0.4099 
         0.4101          0.5115          0.0555          0.0739          0.6372          0.2129          0.3722          0.5338          0.9321          0.1146          0.5966           0.861          0.4181          0.7749          0.2754          0.4674          0.8787          0.7793          0.0659          0.2306          0.5586          0.5522          0.5085          0.8287          0.8236           0.322          0.2825          0.7344          0.0911          0.8415          0.8292          0.5673          0.5112          0.0609            0.53          0.1238          0.0075          0.4355          0.1886          0.0807          0.5295          0.1495          0.4953          0.2343          0.7507          0.4353          0.0801          0.0682          0.5118          0.8489          0.4828          0.8212          0.6217          0.5694          0.8646          0.0958 
         0.2506          0.9585          0.2696          0.4498          0.8027           0.453           0.363          0.5283          0.7559          0.9375          0.8848          0.7554          0.0101          0.2462          0.5527          0.6955          0.3244          0.4105          0.7212          0.4318          0.8103          0.5116          0.7276          0.2315          0.2381           0.111          0.6182          0.5118          0.2363          0.8287          0.0146          0.1088          0.1912          0.2431          0.9535          0.8695          0.7808          0.0355          0.2074          0.2391          0.6289          0.7483          0.7239          0.6738          0.3797          0.0698          0.4324          0.2967          0.1921           0.134          0.5724          0.7147          0.5476          0.9521          0.4352          0.2909 
         0.5951          0.6685          0.1012          0.2178          0.5738          0.2683          0.8253           0.861          0.2501          0.2685          0.6838           0.742          0.6309          0.3088          0.8351          0.7576           0.266          0.3778          0.1163          0.5566          0.1533          0.0935          0.7899          0.0775          0.9761          0.8813          0.6738          0.4324          0.9997          0.7547          0.7274           0.755          0.4212          0.9078          0.9308          0.8916          0.0595          0.1945          0.8443          0.9532           0.846          0.6762           0.687          0.7952          0.3836          0.9171          0.4401          0.7468          0.2639          0.2789          0.4329          0.8521          0.6987           0.279          0.5505          0.7858 
         0.0015           0.348          0.0086          0.8154          0.7997          0.2391          0.3122          0.5374          0.5082          0.5873          0.7054          0.6064          0.6354          0.6821          0.6221          0.7337           0.207          0.0758          0.3198          0.4165          0.3931          0.7955          0.9391          0.8469           0.939          0.6846          0.5018          0.4654          0.3967          0.4497          0.3374          0.3799          0.3145          0.4114          0.9368          0.8479          0.0893          0.2131           0.431          0.6517            0.33          0.8268          0.6142          0.7928          0.0673          0.1972          0.4852          0.7638          0.5679          0.4578          0.4746          0.4987           0.711          0.6837          0.0608          0.1748 
         0.2582          0.2235          0.2087          0.5319          0.0048          0.1263          0.8043          0.8605          0.4504          0.0885          0.3858           0.789          0.6359          0.4082          0.6253          0.2891          0.6511          0.1564          0.2465          0.7081          0.7773          0.8359          0.8782          0.8298          0.8513          0.9096          0.1615          0.7141          0.6938          0.6915          0.4637          0.1952          0.3342          0.6901          0.5574          0.3595          0.2267          0.0821          0.8845          0.4713          0.4941          0.4517          0.9205          0.1686          0.2569          0.2237          0.4218          0.1433          0.2205          0.5196           0.492          0.8063           0.828          0.9996           0.168          0.5274 
         0.4869          0.1382          0.5788          0.1626          0.7893          0.2793          0.5468          0.7424          0.1222          0.5752          0.8045          0.6193          0.2986          0.4854          0.3833          0.3224          0.2993          0.7332          0.0748          0.8016          0.2239          0.9329          0.4895          0.2875          0.2161          0.7174          0.3625           0.065          0.9549          0.0507          0.9744          0.6303          0.3486          0.2391          0.2756          0.7617          0.0891          0.2652          0.6082           0.203           0.235          0.9752          0.5951          0.8729          0.0548          0.9063          0.3104          0.7797          0.2948          0.9789          0.4329           0.047          0.4538          0.5082          0.8446          0.0951 
         0.3009          0.4818          0.2696          0.5345          0.8315          0.2866          0.8243          0.1435          0.5204          0.3847          0.4873          0.7442          0.6909           0.448          0.6201          0.2916          0.9892          0.4726          0.6864          0.5866          0.3038          0.6705          0.9869          0.0232          0.5376            0.36          0.8867          0.8727          0.9892          0.2677          0.7543          0.1539          0.7005           0.696           0.571          0.8093           0.578          0.0912          0.6194          0.1749          0.6661          0.2989          0.9811          0.1269          0.8907          0.4827          0.3446          0.8888          0.7296          0.1848            0.41          0.8861          0.8323           0.019           0.424          0.0507 
