Chisq l_lipid sigma global_rough rhoprot d_on1 d_on2 d_on3 d_on4 d_on5 d_on6 d_on7 d_on8 d_on9 d_on10 d_on11 d_on12 d_on13 d_on14 d_on15 d_on16 d_on17 d_on18 d_on19 d_on20 d_on21 d_on22 d_on23 vf_on1 vf_on2 vf_on3 vf_on4 vf_on5 vf_on6 vf_on7 vf_on8 vf_on9 vf_on10 vf_on11 vf_on12 vf_on13 vf_on14 vf_on15 vf_on16 vf_on17 vf_on18 vf_on19 vf_on20 vf_on21 vf_on22 vf_on23 rho_solv_0 mu_solv_0 mu_organic beamintensity alignment background_0
2.18833 10.30475 3.9790995 6.9472415 1.227542e-05 -2.45827 -3.57264 -1.966604 4.98871 4.4691 3.61414 3.91733 -0.44374 3.63959 -3.60722 2.46651 -0.40046 -2.88015 -1.17817 -2.54295 -1.74524 3.87627 -1.9476 1.71453 3.51023 3.64511 4.16238 0.15333 0.01157346 0.5271093 0.724556 0.7280784 0.4036248 0.3540224 0.5556048 0.69858 0.5297688 0.3624957 0.4941162 0.35268 0.229434 0.2258555 0.306392 0.3760985 0.291391 0.2652435 0.111014 0.055637 0.0116599 0.0125555 0.01395055 1.0184182e-05 2.77712623e-07 8.3747863e-08 1.0183142 0.005617864 1.32148178e-08
2.94867 9.659196 4.1896575 7.3838995 1.2466112e-05 -2.95609 -4.493045 -1.835516 4.42986 4.9 2.78791 4.06217 -1.93938 3.92439 -4.187355 3.09245 -0.7058 -3.66176 -2.17688 -2.46984 -1.3058 2.15895 0.04761 3.07629 3.76022 4.32297 1.92182 -0.34376 0.02986677 0.5508648 0.6681576 0.6386448 0.3314256 0.3168184 0.4847392 0.6238048 0.4375026 0.3144492 0.4157865 0.295363 0.1867215 0.176991 0.250829 0.3028515 0.2605615 0.199383 0.075067 0.03308255 0.01812405 0.0120828 0.01114935 1.0075692e-05 1.79876148e-07 9.3700432e-08 1.02128 0.00498498 9.1071995e-09
2.87508 9.981588 3.9840015 6.9387105 1.2279672e-05 -2.28822 -4.095397 -2.328716 4.90362 2.41605 3.87574 3.91282 -1.00039 3.18772 -3.87092 3.81032 -1.43219 -3.23706 -0.81847 -2.70273 -1.4232 3.82499 -1.45092 0.56644 2.94129 3.44826 3.33385 -0.07979 0.03855042 0.5374944 0.7031576 0.702916 0.415924 0.3408312 0.5511632 0.7169248 0.5261319 0.370296 0.4855734 0.341712 0.223963 0.2102485 0.28988 0.341762 0.296795 0.256696 0.113527 0.0615285 0.03670755 0.0142191 0.01577375 1.0137746e-05 2.58597224e-07 8.7755185e-08 1.0223022 0.005384652 1.47545322e-08
2.59322 10.21585 3.923819 6.756795 1.2339048e-05 -2.45711 -3.81834 -2.163776 4.96346 1.65987 3.12081 3.83145 -0.95076 3.29016 -4.223146 3.98937 -1.11909 -2.88073 -0.82079 -2.80544 -1.88256 3.5922 -2.09386 -0.82886 3.34545 3.3534 3.94191 0.1305 0.0384651 0.5416839 0.6943968 0.6857224 0.4037376 0.3136024 0.5171808 0.6738824 0.5253831 0.3708432 0.4813191 0.336458 0.206602 0.2096495 0.3003085 0.348267 0.2938465 0.2370005 0.116426 0.057263 0.0283573 0.020783 0.01847555 1.0200066e-05 2.43544925e-07 4.883779e-08 1.0151948 0.005481371 1.40309822e-08
3.07922 10.338574 3.892545 6.4974355 1.2258048e-05 -2.57918 -4.234295 -2.089088 4.27981 4.97171 3.35928 3.75083 -1.01113 3.59274 -3.9536 4.03349 -1.26226 -3.24709 -0.57369 -2.87193 -1.78406 3.70554 -2.11488 4.68138 3.29731 3.84133 3.78594 -0.28801 0.03313287 0.5196861 0.7226048 0.736672 0.3766864 0.3484064 0.5362152 0.7119144 0.5320017 0.3785841 0.4875813 0.359075 0.2158 0.227729 0.295432 0.3579225 0.3096645 0.262495 0.085068 0.051704 0.02391115 0.004519875 0.0050221 1.0218933e-05 2.30293273e-07 9.1799434e-08 1.0175368 0.005624297 1.2401847e-08
2.74873 9.871604 3.8733265 6.9444485 1.2584428e-05 -2.67309 -4.435291 -0.576644 4.92946 4.98398 3.4857 4.97328 -3.1137 4.0726 -4.805606 3.20381 -3.13347 -3.15886 1.94107 -4.257423 0.46698 1.68629 -4.11258 4.2195 1.4363 1.76806 3.94736 4.07962 0.0279333 0.5322384 0.7331944 0.6915144 0.3700264 0.346328 0.5325448 0.6757824 0.5075838 0.3590415 0.4859451 0.373542 0.207929 0.2178705 0.2712925 0.3415235 0.2810555 0.254713 0.0804285 0.04505575 0.0257481 0.01614365 0.0179374 1.0381212e-05 9.89684305e-08 9.6217012e-08 0.995437 0.006205388 1.07428217e-08
2.92478 10.081198 0.9720721 6.2450775 1.2103692e-05 -4.9487441 -4.765557 -4.1349944 4.77389 4.82921 4.92847 4.6112 -3.37162 4.88832 -4.9984292 4.88681 -3.9297 -3.46493 0.57931 -3.99791 -2.61731 4.93491 -3.69814 1.31394 4.91789 -2.15982 4.91686 -2.30987 0.05926752 0.6463179 0.8175472 0.6745328 0.3456848 0.3547136 0.52286 0.6519512 0.4416552 0.3341898 0.4389264 0.3415255 0.190519 0.209642 0.2633165 0.3076775 0.234139 0.226207 0.088796 0.03135085 0.0143137 0.00902595 0.002928715 9.800762e-06 7.88755091e-08 9.9227404e-08 1.0020712 0.003352335 3.39710618e-10
2.55586 10.15411 4.463115 6.8919515 1.2323372e-05 -2.90688 -4.187053 -1.997288 4.26194 4.91335 2.93589 3.44201 -1.0716 3.47554 -3.83562 4.0353 -1.2705 -3.24945 -1.21428 -2.86881 -2.05133 3.24073 -1.33274 4.68574 3.38986 3.36619 3.66581 0.06859 0.001623033 0.4942926 0.664096 0.6843296 0.3572984 0.315092 0.4863208 0.6514128 0.4896225 0.3406554 0.4580001 0.336415 0.199893 0.1919545 0.2670415 0.329938 0.276998 0.2301765 0.0865475 0.053406 0.0216718 0.0162156 0.01801735 1.0119753e-05 2.27932711e-07 9.1815076e-08 1.0206338 0.005123783 1.37336281e-08
2.24883 10.3772 4.159514 6.7199825 1.2289228e-05 -2.52947 -3.46319 -1.46168 3.35527 3.29026 3.28649 3.24785 -0.91578 3.28755 -3.72503 1.7964 -0.93454 -3.054 -0.44254 -2.64658 -2.10887 3.77757 -1.50882 3.74729 3.41598 3.99233 3.69443 0.23268 0.02089206 0.5185206 0.67448 0.7310064 0.4082664 0.3267408 0.5413824 0.6980832 0.5279463 0.362394 0.4786362 0.3454675 0.2107715 0.220372 0.298954 0.354124 0.291342 0.235901 0.0854255 0.0349422 0.0276373 0.01737255 0.01930285 1.0267174e-05 2.68320916e-07 7.3234162e-08 1.0274228 0.005784422 1.28247495e-08
3.09907 9.755726 3.895566 6.477457 1.2318196e-05 -3.77996 -4.490312 -1.98536 4.98451 3.41519 2.53858 4.12122 -2.18766 4.33933 -4.355449 3.37519 0.84648 -3.87131 -2.8669 -3.62984 -1.17445 3.77251 -3.22521 2.92 4.05489 4.00649 3.71285 1.10968 0.005894091 0.487944 0.7625512 0.74408 0.41388 0.336084 0.533356 0.7008544 0.51966 0.3659787 0.4802508 0.3310395 0.239441 0.203584 0.2854885 0.350633 0.298525 0.2676245 0.0960235 0.056721 0.0259369 0.02205415 0.0130149 1.0203201e-05 1.41213274e-07 9.0152272e-08 1.0137404 0.005778374 2.18466695e-08
3.0285 10.056474 1.501281 7.0019805 1.2277368e-05 -4.017294 -3.33516 -2.860688 4.96513 4.48721 3.69834 4.69345 -3.01375 4.66362 -4.9793949 2.23579 -3.76516 -4.540648 1.53079 -4.41476 -3.04887 4.73249 -4.305641 4.94063 4.52911 4.4037 4.20116 2.63473 0.06555861 0.6914178 0.80482 0.692552 0.3600696 0.3611984 0.5565728 0.70298 0.4790079 0.3531681 0.4832235 0.3598685 0.2205385 0.223281 0.275901 0.3246215 0.270117 0.250239 0.0859745 0.03813555 0.0272513 0.0098279 0.0109199 1.0131115e-05 7.13215125e-08 9.7824871e-08 1.0134008 0.005226354 3.26055123e-09
2.87079 10.230788 3.824582 6.727687 1.2286724e-05 -1.87759 -4.153842 -1.556348 4.99278 4.89014 4.036 4.56056 -0.85314 3.82693 -4.266258 2.55908 -1.67632 -2.92333 -0.32157 -2.89215 -1.44279 2.44127 -0.46622 4.88625 2.8566 2.41411 3.8104 0.53412 0.04369563 0.5218542 0.7288392 0.7014624 0.3656512 0.329148 0.5166712 0.6688744 0.5064615 0.3609405 0.490752 0.3549185 0.2053605 0.2162415 0.281877 0.3399755 0.281054 0.228944 0.0819145 0.064501 0.0274907 0.0305452 0.0136594 1.0169457e-05 2.38712809e-07 6.5435338e-08 1.0172058 0.005437376 1.36328301e-08
2.69301 10.008818 4.357437 7.10592 1.239218e-05 -2.61504 -3.80535 -1.228316 4.7222 2.07386 3.11658 3.25506 -1.19155 3.35134 -4.40883 3.18179 -1.51332 -2.72925 -0.44885 -2.84724 -2.11611 3.46703 -1.52918 3.39192 2.63416 3.74648 3.93437 -0.22452 0.01950057 0.5279022 0.6544552 0.6832096 0.3946432 0.3044624 0.481348 0.6393344 0.4913046 0.3293298 0.4474368 0.3299645 0.1988865 0.2054095 0.2777795 0.3290525 0.2784285 0.24248 0.0943505 0.050211 0.0392026 0.0278786 0.0304907 1.0187925e-05 2.3877326e-07 7.7708764e-08 1.0206264 0.005280107 1.24130246e-08
5.51597 10.030252 3.539848 6.7981105 1.2036324e-05 -0.93483 -4.9999498799 -1.870004 4.37268 4.14885 -2.50358 3.35491 -3.49441 4.9 -4.454664 1.87842 -1.35867 -4.99999754511 1.31712 -4.999884424 4.9 4.9 -0.27568 4.9 4.9 -3.38361 4.9 0.20313 0.06663654 0.5172381 0.8283456 0.7951928 0.4476576 0.3423472 0.515928 0.709728 0.5522625 0.3704328 0.4897017 0.376804 0.234209 0.2057015 0.263544 0.342909 0.277737 0.2578695 0.094481 0.04671465 0.0218063 0.0120626 0.0134029 1.0023157e-05 5.49371113e-08 9.901e-08 1.0039698 0.004508035 4.38086611e-09
2.46546 10.123352 4.1072925 6.915179 1.2374252e-05 -3.01004 -4.398759 -2.03876 4.42266 4.98503 2.95107 3.81134 -1.5037 2.86515 -3.93743 3.83529 -1.33019 -3.26531 -0.49574 -2.93627 -2.05897 3.07576 -2.1802 4.71144 3.41651 4.09565 3.8149 0.58299 0.001931121 0.4969593 0.7038248 0.7205456 0.3642992 0.3392456 0.5180824 0.6865272 0.5546664 0.3755646 0.4889952 0.3627495 0.222547 0.208936 0.2849475 0.3413935 0.2956545 0.2463355 0.084377 0.0350596 0.02554 0.0143959 0.01105975 1.0213689e-05 2.35186831e-07 8.2341964e-08 1.0146768 0.00567938 1.34112741e-08
3.41259 9.708714 4.438681 7.4702165 1.2748436e-05 -2.41283 -4.9 -4.88 3.30915 4.95061 2.2215 3.02631 -1.61072 4.07877 -4.299287 3.13841 -2.50599 -3.83085 -0.81365 -3.58553 -3.05727 2.33477 -0.59356 4.17851 1.50886 4.41052 2.081 1.99468 0.02665323 0.5121036 0.6185616 0.6138496 0.3278408 0.2949112 0.4663768 0.6113168 0.4469976 0.3258639 0.4304385 0.3306815 0.2015165 0.1989775 0.262348 0.31673 0.2722165 0.2122885 0.0853705 0.052093 0.0187952 0.0116403 0.00866085 1.0259593e-05 1.80015879e-07 9.4413925e-08 1.0194548 0.006030248 7.8441806e-09
8.65573 10.20612 4.6113815 6.1032235 1.2190032e-05 -3.83893 -4.884529 -1.59776 3.12874 4.96712 3.2664 2.42085 -0.77341 4.4557 -4.57043 4.62546 -1.60783 -2.97724 -1.26618 -3.14601 -0.93427 2.70347 -3.85985 4.8418 3.54437 4.42206 4.40602 -0.06147 9e-07 0.3654801 0.673716 0.7078544 0.3413712 0.2965792 0.4193824 0.633988 0.4671423 0.3264003 0.4373253 0.35136 0.1909245 0.1674625 0.2377925 0.315886 0.279714 0.272262 0.091388 0.04668835 0.02944035 0.01268755 0.01409725 9.790293e-06 1.82924464e-07 9.6777451e-08 1.0160062 0.003955805 2.52103287e-08
16.4826 10.679166 2.5715985 4.8060745 1.2405244e-05 -2.98275 -4.472513 -2.342132 4.57003 4.99697 3.97378 3.22772 -2.09459 3.89377 -4.093125 3.86307 -1.31607 -3.06523 -1.32716 -3.03439 -1.88472 4.07589 -2.66167 4.80154 3.29029 4.11362 3.4765 -0.32021 0.05991309 0.3356289 0.7403152 0.6564648 0.3425152 0.3186368 0.4652056 0.6422016 0.5137713 0.335745 0.4558383 0.3477095 0.2036965 0.192235 0.2563105 0.3222215 0.280499 0.2515025 0.0889085 0.0467471 0.02555055 0.0087371 0.0097079 1.0195886e-05 2.57210815e-07 9.1247509e-08 1.0193502 0.005480398 7.4474756e-09
2.95017 10.376696 4.325916 6.646766 1.2383812e-05 -2.27631 -4.372596 -1.960004 4.35392 4.9 2.64862 3.42064 -1.4186 3.66681 -3.98484 4.10105 -1.26 -2.94622 -0.9627 -2.95454 -2.18783 3.66395 -2.12706 4.70324 2.84118 4.16013 3.20544 0.59196 0.01973988 0.4786605 0.683532 0.7175352 0.3725976 0.3318888 0.5118208 0.6939784 0.5340789 0.3657852 0.48339 0.3496815 0.212208 0.2177655 0.285163 0.35214 0.294863 0.2536405 0.09228 0.04799215 0.0228935 0.01619945 0.01608415 1.0257617e-05 2.44963046e-07 8.9288299e-08 1.0178064 0.00575708 1.23995017e-08
2.60354 10.488388 4.393461 6.725502 1.2220116e-05 -2.59011 -3.6059 -0.91874 3.92786 4.37176 3.10387 4.04577 -0.49889 3.81764 -3.20643 2.27864 -0.80772 -2.46662 -0.0344 -2.54984 -1.63618 3.09573 -0.92818 4.74987 3.40002 3.29067 2.91088 1.39836 1.843083e-05 0.4880673 0.6865752 0.7478896 0.3974088 0.3234864 0.5144944 0.685344 0.5312664 0.3847743 0.5035347 0.370336 0.2274655 0.226682 0.300047 0.344018 0.29765 0.258085 0.120078 0.054282 0.03824545 0.02892095 0.02374725 1.0139874e-05 2.43223841e-07 9.033265e-08 1.0295984 0.005311761 1.53796794e-08
3.34702 9.629474 3.592611 6.8463135 1.2257084e-05 -3.04386 -4.193503 -1.890128 3.97501 4.9 3.70829 2.76511 -1.48104 3.89547 -4.16285 3.1808 -2.08139 -3.62564 -1.64542 -3.3345 -2.08132 4.20904 -2.73352 4.75207 3.7208 3.06248 4.05016 0.25489 0.04379544 0.5657427 0.7445872 0.7139856 0.3571864 0.3505664 0.5088192 0.6822144 0.4756923 0.3496716 0.4830183 0.3677425 0.2144525 0.206173 0.273218 0.338828 0.271916 0.2578685 0.0793395 0.04183365 0.0201884 0.01151445 0.01279385 1.019828e-05 1.83290143e-07 9.3580543e-08 1.0131648 0.005109664 1.18343343e-08
3.07126 9.95174 4.269676 6.928479 1.2507228e-05 -2.12554 -4.381912 -1.95704 4.1269 4.9 3.11811 3.74369 -1.48735 3.81021 -4.108691 3.68742 -1.89831 -3.2823 -0.64376 -2.9159 -2.4714 2.24557 -1.4323 3.97728 3.66176 2.96409 3.49193 0.21013 0.03269043 0.5171769 0.67248 0.6794704 0.3472984 0.322172 0.509108 0.6687928 0.4849011 0.3450384 0.4683006 0.351976 0.1987925 0.209976 0.2779375 0.338042 0.2894385 0.2353385 0.090981 0.04724795 0.02635105 0.01384665 0.01538515 1.0208445e-05 2.12788249e-07 9.3167218e-08 1.0172198 0.005874232 9.9557989e-09
3.09579 9.897042 3.9533165 6.9169365 1.23373e-05 -2.90086 -4.092632 -1.99178 4.02873 4.89713 3.33555 3.73891 -1.43779 3.56529 -3.93785 3.30116 -0.82101 -3.23616 -1.28663 -2.85978 -2.05869 3.69632 -1.36733 4.05217 2.74123 4.10873 3.08818 0.45987 0.0333045 0.5505327 0.7008832 0.689404 0.3550152 0.3298432 0.514116 0.6754464 0.4917744 0.3514968 0.4600791 0.325782 0.203688 0.20375 0.2786785 0.3325175 0.284343 0.2302975 0.088003 0.04535705 0.0220957 0.01478585 0.0164287 1.0191345e-05 2.37684151e-07 9.1782406e-08 1.0190708 0.005470115 1.22290932e-08
5.40994 9.709694 3.7650645 6.6325445 1.237324e-05 -3.22063 -4.647889 -1.811768 4.97726 4.21289 3.22357 3.49498 -0.63369 4.39746 -4.489543 4.32979 -1.05171 -3.28372 -1.89103 -3.63433 -0.92412 3.71087 -1.7812 2.06692 2.60846 3.66394 3.52454 -0.45909 1.781649e-06 0.4389282 0.7913664 0.7215824 0.4047352 0.3451464 0.5064792 0.6838704 0.5347674 0.3759228 0.4669893 0.3417925 0.201731 0.190873 0.2699255 0.340008 0.2912095 0.2465295 0.104511 0.0343229 0.01410035 0.0152353 0.0169281 1.0178786e-05 1.27794143e-07 9.0352054e-08 1.010882 0.005837692 9.8729649e-09
3.09498 10.079126 4.1144555 6.8616275 1.2317864e-05 -2.79362 -4.07966 -2.035628 4.24981 4.99471 3.20948 3.62113 -1.15859 3.45129 -3.83749 3.96556 -0.95779 -3.09886 -0.99615 -2.68955 -1.83266 3.90451 -1.8608 4.65374 3.25845 4.04044 3.68565 0.10583 0.01572606 0.517059 0.707196 0.7114312 0.3635264 0.334072 0.5198752 0.6905688 0.514323 0.3571245 0.4772277 0.344676 0.2105965 0.2117215 0.2868665 0.34556 0.289955 0.246686 0.0883405 0.0486972 0.0262593 0.0152442 0.016938 1.021576e-05 2.48476141e-07 9.1133857e-08 1.0182696 0.005549985 1.29196094e-08
3.36955 9.948702 3.9034985 6.6736415 1.2332012e-05 -2.65233 -4.273142 -1.885088 4.95231 1.99265 3.15458 3.69374 -1.39123 4.20493 -3.3274 3.57256 -0.71927 -3.01146 -0.97289 -2.95671 -1.46641 3.80138 -1.89144 3.46634 3.73633 2.86417 3.755 0.02044 0.04191579 0.5338179 0.7042216 0.725012 0.416516 0.3417792 0.5534976 0.7123608 0.5111361 0.3528225 0.4851315 0.3333675 0.2185225 0.226082 0.3014285 0.347677 0.3034305 0.2463165 0.099543 0.0494437 0.0298335 0.03314835 0.0368315 1.0291532e-05 2.74462143e-07 6.698845e-08 1.0219304 0.006032887 1.2316019e-08
3.49281 10.572374 3.9016745 6.647583 1.2374676e-05 -3.18132 -3.81237 -1.540556 4.9 0.88248 3.30243 3.97953 -0.97857 3.366 -3.44631 3.94858 -0.92944 -3.16655 -0.20579 -2.47358 -1.96028 3.92241 -1.61589 2.12357 3.65129 2.85579 3.75445 -0.18705 0.009 0.5109768 0.689444 0.7090144 0.4501624 0.3197288 0.5184248 0.6682552 0.5099517 0.3534696 0.4899672 0.3544555 0.2211375 0.217531 0.297897 0.352819 0.277202 0.233519 0.1017835 0.050977 0.0336641 0.0216815 0.0232699 1.0046223e-05 2.55336834e-07 6.3377524e-08 1.0203994 0.005439021 1.45514392e-08
2.58228 10.124948 4.203841 6.9282035 1.2311704e-05 -2.86139 -4.155707 -1.938344 4.18628 4.93655 3.08263 3.61081 -1.32281 3.48369 -4.002606 3.95054 -1.19531 -3.17662 -0.71366 -2.80289 -1.90582 3.94742 -1.54219 4.67167 3.14866 4.06831 3.74728 0.33589 0.001834533 0.5032989 0.6883608 0.7140312 0.36474 0.3241528 0.5014416 0.6686912 0.5180211 0.3510288 0.4617342 0.335788 0.2097875 0.2054665 0.276467 0.332817 0.274115 0.241859 0.0902995 0.0451508 0.03046125 0.011271 0.01252335 1.0168013e-05 2.402003e-07 9.1665784e-08 1.0158028 0.005227411 1.39199048e-08
2.59889 10.05716 4.128012 6.87298 1.2336928e-05 -2.81429 -4.095548 -2.041556 4.25951 4.99793 3.22872 3.6355 -1.17304 3.46863 -3.85372 3.97548 -1.00259 -3.11923 -0.93107 -2.71355 -1.79339 3.91613 -1.89537 4.65789 3.27714 4.02274 3.59247 0.12672 0.01461258 0.5136147 0.7042592 0.7076976 0.362436 0.3327048 0.5184432 0.688428 0.5135409 0.356598 0.4751388 0.3458125 0.2106405 0.211128 0.2848565 0.344331 0.2886175 0.245922 0.0878515 0.0484165 0.02593035 0.0151965 0.0167563 1.0190547e-05 2.46092786e-07 9.1229788e-08 1.0181636 0.005562557 1.31106765e-08
