# Q Iq dIq dQ fit
2.296999999999999875e-01 7.086000000000000631e-02 8.700000000000000051e-04 1.363999999999999935e-02 7.279011398413984257e-02
2.335000000000000131e-01 7.179000000000000659e-02 8.344999999999999554e-04 1.383999999999999987e-02 7.278397036773487372e-02
2.373000000000000109e-01 7.001999999999999891e-02 8.785000000000000491e-04 1.404999999999999999e-02 7.277565344207943820e-02
2.411000000000000087e-01 7.272000000000000686e-02 8.576999999999999772e-04 1.425000000000000051e-02 7.276451667986146010e-02
2.447999999999999898e-01 7.359999999999999876e-02 1.028999999999999967e-03 1.444999999999999930e-02 7.275117821459910206e-02
2.485999999999999877e-01 7.223999999999999866e-02 9.753000000000000167e-04 1.464999999999999983e-02 7.273539109141295700e-02
2.523000000000000242e-01 7.184999999999999720e-02 9.037000000000000111e-04 1.485000000000000035e-02 7.271832760136680285e-02
2.560999999999999943e-01 7.266999999999999849e-02 9.779999999999999197e-04 1.504999999999999914e-02 7.270020535065864487e-02
2.597999999999999754e-01 7.285999999999999421e-02 9.996000000000000111e-04 1.524999999999999967e-02 7.268311947164664277e-02
2.635000000000000120e-01 7.288000000000000034e-02 1.123000000000000083e-03 1.545000000000000019e-02 7.266596036293558603e-02
2.672999999999999821e-01 7.326000000000000567e-02 1.082000000000000062e-03 1.565000000000000072e-02 7.264929079606201323e-02
2.710000000000000187e-01 7.298999999999999932e-02 1.031000000000000015e-03 1.584999999999999951e-02 7.263413111030386782e-02
2.746999999999999997e-01 7.345000000000000140e-02 1.059999999999999961e-03 1.604999999999999830e-02 7.262038036283563480e-02
2.783999999999999808e-01 7.424000000000000044e-02 1.013999999999999927e-03 1.625000000000000056e-02 7.260830589132864776e-02
2.819999999999999729e-01 7.402999999999999858e-02 9.554999999999999691e-04 1.644999999999999934e-02 7.259815238662017944e-02
2.857000000000000095e-01 7.396999999999999409e-02 1.028999999999999967e-03 1.665000000000000160e-02 7.258841743261376656e-02
2.893999999999999906e-01 7.363999999999999713e-02 9.562000000000000404e-04 1.685000000000000039e-02 7.257916254162403991e-02
2.929999999999999827e-01 7.247000000000000663e-02 1.057999999999999913e-03 1.704999999999999918e-02 7.257212378211876092e-02
2.967000000000000193e-01 7.401000000000000634e-02 1.015000000000000060e-03 1.725000000000000144e-02 7.256584360065726491e-02
3.003000000000000114e-01 7.367999999999999550e-02 1.121999999999999950e-03 1.745000000000000023e-02 7.256053877364432303e-02
3.039999999999999925e-01 7.463000000000000189e-02 1.061000000000000094e-03 1.764999999999999902e-02 7.255591463004813779e-02
3.075999999999999845e-01 7.405000000000000471e-02 1.059999999999999961e-03 1.784000000000000169e-02 7.255251856491894136e-02
3.111999999999999766e-01 7.267999999999999461e-02 1.095000000000000053e-03 1.804000000000000048e-02 7.254934497674193905e-02
3.148000000000000242e-01 7.414999999999999369e-02 1.069999999999999988e-03 1.823999999999999927e-02 7.254673843938920508e-02
3.184000000000000163e-01 7.609000000000000485e-02 1.142999999999999919e-03 1.842999999999999847e-02 7.254466523967423308e-02
3.220000000000000084e-01 7.185999999999999333e-02 1.144999999999999967e-03 1.863000000000000073e-02 7.254304572382433425e-02
3.256000000000000005e-01 7.294000000000000483e-02 1.103999999999999947e-03 1.882999999999999952e-02 7.254182432297064109e-02
3.291999999999999926e-01 7.267999999999999461e-02 9.798000000000000719e-04 1.901999999999999871e-02 7.254109588164642242e-02
3.326999999999999957e-01 7.331999999999999629e-02 1.049999999999999935e-03 1.922000000000000097e-02 7.254048104405134978e-02
3.362999999999999878e-01 7.516000000000000458e-02 1.100000000000000066e-03 1.941000000000000017e-02 7.254007390869054994e-02
3.397999999999999909e-01 7.430000000000000493e-02 1.087999999999999991e-03 1.960999999999999896e-02 7.253985307786410541e-02
3.433999999999999830e-01 7.376000000000000612e-02 9.956999999999999705e-04 1.980000000000000163e-02 7.253976144586299357e-02
3.468999999999999861e-01 7.274999999999999523e-02 1.077000000000000049e-03 1.999000000000000082e-02 7.253976442775188216e-02
3.503999999999999893e-01 7.391000000000000347e-02 1.103999999999999947e-03 2.018999999999999961e-02 7.253986659938155279e-02
3.538999999999999924e-01 7.396999999999999409e-02 1.103000000000000031e-03 2.037999999999999881e-02 7.253994241713709878e-02
3.573999999999999955e-01 7.328999999999999404e-02 1.268999999999999946e-03 2.057000000000000148e-02 7.254000685941186521e-02
3.608999999999999986e-01 7.345999999999999752e-02 1.132999999999999893e-03 2.076000000000000068e-02 7.254005505299596090e-02
3.644000000000000017e-01 7.445999999999999841e-02 1.105000000000000079e-03 2.094999999999999987e-02 7.254005414567935017e-02
3.679000000000000048e-01 7.521999999999999520e-02 1.214999999999999934e-03 2.113999999999999907e-02 7.253998175218222266e-02
3.713000000000000189e-01 7.427000000000000268e-02 1.118000000000000070e-03 2.132999999999999827e-02 7.253980112859455265e-02
