Q I dI dQ
0.020000000000000004 1.0448715220098799 0.05543394764655621 0.0014940935948318552
0.020000000000000004 1.1251233269968663 0.04355462496849043 0.0021334597122085797
0.02080070450952866 1.0801862436630278 0.07839584174074127 0.0015274240593882518
0.02080070450952866 1.0731116745369205 0.05455358226706191 0.002156932759892534
0.021633465404636294 1.0881562451499331 0.051986772359582156 0.00218203866084573
0.021633465404636294 0.9520170337050059 0.08478326086632686 0.0015626765640803233
0.022499566069947515 1.0243270280699839 0.04958554025770806 0.0022088738041712614
0.022499566069947515 0.998038052563007 0.09347680605508762 0.0015999340015308379
0.02340034127067976 1.0019454433173418 0.047320785905331696 0.0022375383509609208
0.02340034127067976 1.183813475620608 0.10595187208408437 0.0016392813054876753
0.024337179209676905 0.9654817443494959 0.04516617511059008 0.002268136212414202
0.024337179209676905 0.8772583520453956 0.12799725280890256 0.0016808055225293321
0.025311523666796686 1.0042039366652427 0.0431413943225675 0.0023007750190597123
0.025311523666796686 0.5475982046521777 0.17964690180572554 0.0017245958989947992
0.026324876223948957 1.6908829132509287 0.5847446629446282 0.0017707439832872478
0.026324876223948957 0.9808618753165282 0.04122852586566852 0.002335566082954522
0.02737879857921394 0.9948965679427277 0.0394004414702354 0.002372624355104762
0.028474914953606607 0.9714540152067728 0.03767791368747954 0.0024120683806799553
0.029614914594196497 0.8812033171081398 0.0360446456074575 0.0024540202548687237
0.030800554377440455 0.9244738854108024 0.034487857178460174 0.0024986055824305848
0.03203366151674041 0.9204519133903273 0.033016991161654664 0.0025459534441262628
0.03331613637839884 0.969323257168955 0.03160933817942319 0.002596196373249247
0.03464995541031163 0.9239760672284479 0.030276945903095064 0.0026494703454303767
0.036037174187911816 0.891191680096656 0.029005458482714935 0.0027059147847456936
0.037479930582058354 0.9016543884988508 0.02779556744251478 0.0027656725889308657
0.03898044805375211 0.8878992975442692 0.026640827583513695 0.00282889017620277
0.04054103908075645 0.8703275852192582 0.025541440735257288 0.0028957175558236284
0.042164108721403415 0.9143657512755232 0.0244907406347561 0.0029663084241316586
0.043852158321077625 0.8665290231438296 0.023489576537921983 0.0030408202873226185
0.043852158321077625 0.8856652407164247 0.02716410829173078 0.00570132826705776
0.0456077893670902 0.8704497601600348 0.02253092798751434 0.00574363156107529
0.0456077893670902 0.8481978274812525 0.022530927987514462 0.0031194146118175997
0.04743370749788331 0.8783082643962861 0.02161763428821813 0.005789041880979843
0.04743370749788331 0.8611306011172334 0.021617634288218286 0.0032022570026123136
0.049332726672744236 0.895468483454718 0.020742756134068247 0.005837763336839365
0.049332726672744236 0.8782758166717216 0.020742756134068296 0.0032895174095886543
0.05130777350845478 0.8813110068497374 0.01990623046019918 0.005890010314921256
0.05130777350845478 0.8475697309556905 0.020755332989253045 0.0033813703613948852
0.05336189178955952 0.8148447187814226 0.0236609999672585 0.0034779952261778015
0.05336189178955952 0.8448609377418214 0.019107228930403838 0.005946007633889702
0.05549824715920354 0.8512032745448509 0.025811864014333687 0.0035795764981865416
0.05549824715920354 0.8646136722942906 0.018341627472662506 0.00600599066726951
0.057720131997769056 0.7711165200808225 0.027991150894802364 0.0036863041090679873
0.057720131997769056 0.8329019315000928 0.017608416583055824 0.006070205430913402
0.060030970496829206 0.8296018010578233 0.030533344688497357 0.003798373762538918
0.060030970496829206 0.8278601185053367 0.016906802076015047 0.006138908635002079
0.06243432393623888 0.8890683769979778 0.03396009086870891 0.003915987291048551
0.06243432393623888 0.8163891803946519 0.016235160639975828 0.00621236770101487
0.06493389617249486 0.857590887106077 0.015921790664923944 0.006290860745114887
0.06493389617249486 0.849166741653809 0.038911592591052216 0.004039353033032445
0.06753353934682396 0.7833647621707105 0.015779880995536445 0.0063746765304710015
0.06753353934682396 0.8804327733298518 0.0476605987558988 0.004168686229398753
0.0702372598217956 0.8761420466743831 0.06928362244806947 0.0043042094379729095
0.0702372598217956 0.8390733640539952 0.015442941712629268 0.00646411439215722
0.07304922435560798 0.8365261560849986 0.015058037811718534 0.006559484139389647
0.07304922435560798 1.1837044002650976 0.2800804183570454 0.004446152964748888
0.07597376652356329 0.8339275543837376 0.014651948028091444 0.006661105940939669
0.07901539339662805 0.8387574071824314 0.014237746641692868 0.006769310200553726
0.08217879248737109 0.837412707717787 0.013823624241541675 0.0068844374300706
0.08546883897398398 0.8345045462195764 0.013408718548028402 0.007006838128613949
0.08889060321351636 0.8426737078583035 0.013000179516806942 0.007136872676715154
0.09244935855590561 0.8310151087334506 0.01259663340483438 0.007274911254461432
0.09615058947084287 0.8578702447865495 0.012199016024285194 0.00742133379274979
0.1 0.8028494913570309 0.011807413501042679 0.007576529966454046
0.10400352254764328 0.8176792071668729 0.01140206338821925 0.007740899237788132
0.10816732702318145 0.8297513209395891 0.011093582382832272 0.007914850957395463
0.11249783034973757 0.8443588110110456 0.010726360662305829 0.008098804529743802
0.1170017063533988 0.8186896488032406 0.010346363967946226 0.008293189648300055
