# Q dQ R dR fit
0.1858 0.0023465 8.23079e-07 7.6842e-07 3.33202e-06
0.1882 0.00237676 1.3821e-06 7.55322e-07 3.36477e-06
0.1906 0.00240701 1.29803e-06 7.38074e-07 3.53713e-06
0.193 0.00243726 1.09511e-06 7.17544e-07 3.7653e-06
0.1954 0.00246751 1.30307e-06 7.04632e-07 3.9641e-06
0.1978 0.00249775 1.4923e-06 6.91405e-07 4.07143e-06
0.2002 0.002528 2.42743e-06 6.86404e-07 4.06339e-06
0.2026 0.00255824 1.03942e-06 6.59644e-07 3.95667e-06
0.205 0.00258847 5.35029e-07 6.4214e-07 3.79885e-06
0.2074 0.00261871 1.19149e-06 6.34691e-07 3.65073e-06
0.2098 0.00264894 1.71964e-07 6.13746e-07 3.56616e-06
0.2122 0.00267918 2.3044e-07 6.01944e-07 3.57616e-06
0.2146 0.0027094 4.04004e-07 5.90957e-07 3.68074e-06
0.217 0.00273963 5.71352e-07 5.80582e-07 3.85056e-06
0.2194 0.00276985 2.96681e-07 5.6644e-07 4.03691e-06
0.2218 0.00280008 9.21481e-07 5.59408e-07 4.18652e-06
0.2242 0.00283029 1.41818e-06 5.51467e-07 4.25671e-06
0.2266 0.00286051 5.75794e-07 5.32601e-07 4.22676e-06
0.229 0.00289072 1.67325e-06 5.30087e-07 4.10539e-06
0.2314 0.00292094 2.1138e-06 5.22767e-07 3.93668e-06
0.2338 0.00295114 2.1431e-06 5.12481e-07 3.78228e-06
0.2362 0.00298135 1.88012e-06 4.98896e-07 3.67383e-06
