	PCPIP2MAM0.008
0.2052	19.4
0.2062	19.16
0.2074	18.893
0.2084	18.684
0.2094	18.549
0.2105	18.479
0.2123	18.556
0.2141	18.347
0.2159	18.328
0.217	18.325
0.218	18.241
0.2192	18.076
0.2202	17.904
0.2213	17.699
0.2223	17.456
0.2234	17.219
0.2245	17.078
0.2255	16.99
0.2266	16.866
0.2277	16.71
0.2288	16.554
0.2298	16.378
0.2309	16.141
0.232	15.87
0.2331	15.583
0.2341	15.316
0.2359	15.187
0.237	14.951
0.2394	14.338
0.2406	14.107
0.2416	13.974
0.2427	13.861
0.2437	13.568
0.2449	13.255
0.2459	13.033
0.2469	12.918
0.248	12.846
0.2491	12.605
0.2502	12.362
0.2512	12.199
0.2523	12.008
0.2534	11.769
0.2544	11.49
0.2555	11.288
0.2565	11.044
0.2577	10.764
0.2587	10.596
0.2605	10.124
0.2616	10.039
0.264	9.5771
0.2651	9.7005
0.2662	9.6082
0.2673	9.1847
0.2683	9.1214
0.2694	9.1029
0.2705	9.0496
0.2715	9.0733
0.2726	9.0297
0.2736	9.0104
0.2748	9.0433
0.2758	9.1618
0.2769	9.1883
0.2779	9.1588
0.279	8.5513
0.2801	9.0798
0.2811	9.5743
0.2822	9.8628
0.2833	9.8883
0.2844	9.8408
0.2861	10.063
0.2872	10.413
0.2897	10.657
0.2907	10.875
0.2919	11.004
0.2929	11.099
0.2939	11.18
0.295	11.263
0.2961	11.364
0.2972	11.513
0.2982	11.645
0.2993	11.729
0.3004	11.816
0.3014	11.933
0.3025	12.073
0.3035	12.226
0.3047	12.331
0.3057	12.355
0.3067	12.352
0.3078	12.439
0.3089	12.618
0.31	12.718
0.311	12.756
0.3128	12.886
0.3146	13.045
0.3163	13.192
0.3175	13.278
0.3185	13.359
0.3195	13.499
0.3206	13.661
0.3217	13.76
0.3228	13.798
0.3238	13.861
0.3248	13.903
0.326	13.979
0.327	14.077
0.3281	14.17
0.3291	14.229
0.3302	14.186
0.3313	14.201
0.3323	14.266
0.3335	14.416
0.3345	14.493
0.3356	14.523
0.3366	14.52
0.3377	14.556
0.3395	14.501
0.3412	14.55
0.343	14.587
0.3441	14.649
0.3451	14.713
0.3463	14.779
0.3473	14.747
0.3483	14.73
0.3494	14.766
0.3504	14.794
0.3516	14.742
0.3526	14.675
0.3536	14.718
0.3548	14.697
0.3558	14.669
0.3569	14.654
0.3579	14.676
0.3589	14.673
0.3601	14.658
0.3611	14.613
0.3621	14.56
0.3633	14.504
0.3643	14.534
0.3661	14.461
0.3671	14.345
0.3689	14.327
0.3707	14.308
0.3718	14.244
0.3728	14.134
0.3739	14.008
0.3749	13.95
0.376	13.826
0.3771	13.698
0.3781	13.659
