	PCPIP2MAM0.004
0.2082	18.015885
0.2092	17.82636
0.2103	17.64947
0.212	17.3272775
0.2138	16.9987675
0.2149	16.7839725
0.2159	16.575495
0.2178	16.18381
0.2188	15.9626975
0.2199	15.7479025
0.221	15.5204725
0.2221	15.3056775
0.2231	15.1161525
0.2242	14.9266275
0.2252	14.730785
0.2263	14.5223075
0.2274	14.3075125
0.2284	14.0864
0.2295	13.8779225
0.2306	13.6631275
0.2317	13.45465
0.2327	13.22722
0.2338	12.987155
0.2349	12.77236
0.2367	12.4248975
0.2384	11.996571
0.2395	11.80009675
0.2406	11.594778
0.2423	11.2296265
0.2434	10.9819805
0.2445	10.78045225
0.2456	10.56186675
0.2466	10.37234175
0.2476	10.15881025
0.2488	9.90231975
0.2498	9.679312
0.2509	9.474625
0.2519	9.25035375
0.2531	9.022292
0.2541	8.78791275
0.2552	8.56932725
0.2562	8.40128175
0.2573	8.16627075
0.2584	7.948317
0.2594	7.7853255
0.2612	7.4694505
0.263	7.1030355
0.2641	6.96341875
0.2651	6.79158275
0.2669	6.4235252
0.268	6.223197275
0.269	6.14441805
0.2702	6.00214795
0.2712	5.77876115
0.2723	5.81211755
0.2733	5.97485635
0.2743	6.020152825
0.2755	6.078273825
0.2765	5.9959568
0.2776	6.06102705
0.2786	6.197295525
0.2798	6.371658525
0.2808	6.40116125
0.2818	6.5089378
0.2829	6.76252225
0.284	6.91666925
0.2858	7.19969325
0.2868	7.35763075
0.2886	7.584429
0.2897	7.76826825
0.2907	7.9040945
0.2925	8.16374375
0.2936	8.3109415
0.2946	8.4170755
0.2957	8.53394925
0.2967	8.64892775
0.2979	8.7733825
0.2989	8.878253
0.3	8.9780695
0.301	9.10378775
0.3021	9.2181345
0.3032	9.3242685
0.3042	9.431666
0.3053	9.54980325
0.3064	9.69510575
0.3074	9.81387475
0.3085	9.91874525
0.3095	10.0191935
0.3106	10.1025845
0.3124	10.24725525
0.3141	10.4159325
0.3153	10.51638075
0.3163	10.56944775
0.3181	10.75012825
0.3191	10.816462
0.3202	10.86257975
0.3213	10.93586275
0.3223	10.988298
0.3234	11.05842225
0.3245	11.1285465
0.3255	11.17340075
0.3266	11.223309
0.3276	11.25616
0.3288	11.278903
0.3298	11.3433415
0.3309	11.412834
0.3319	11.4292595
0.333	11.4242055
0.3341	11.463374
0.3351	11.50191075
0.3362	11.50696475
0.3372	11.51833625
0.339	11.58151125
0.3408	11.61436225
0.3418	11.6162575
0.3429	11.640264
0.344	11.6945945
0.3457	11.721128
0.3469	11.73186775
0.3479	11.7173375
0.3489	11.705966
0.35	11.69522625
0.3511	11.70154375
0.3522	11.70028025
0.3532	11.683223
0.3542	11.68638175
0.3554	11.63963225
0.3564	11.587197
0.3575	11.554346
0.3585	11.53349825
0.3595	11.544238
0.3607	11.50443775
0.3617	11.45642475
0.3627	11.44758025
0.3639	11.40967525
0.3649	11.37050675
0.3667	11.28332525
0.3684	11.220782
0.3695	11.175296
0.3706	11.10011775
0.3716	11.0299935
0.3734	10.9592375
0.3745	10.9086975
0.3755	10.8076175
0.3766	10.6964295
0.3776	10.6509435
0.3787	10.6105115
0.3798	10.518276
0.3808	10.41656425
0.382	10.313589
0.383	10.21819475
0.384	10.11458775
0.3851	10.048254
0.3861	10.002768
0.3872	9.93390725
0.3883	9.85936075
0.3893	9.76712525
0.3904	9.69510575
0.3915	9.60539725
0.3925	9.47399325
0.3943	9.32490025
0.3953	9.24529975
0.3971	9.08609875
0.3982	8.9578535
0.3992	8.847929
0.401	8.70578525
0.4021	8.671039
0.4031	8.6141815
0.4042	8.50173
0.4053	8.38485625
0.4063	8.25724275
0.4074	8.107518
0.4084	8.006438
0.4095	7.9571615
0.4106	7.875034
0.4116	7.76953175
0.4127	7.607172
0.4138	7.42838675
0.4148	7.32477975
0.4159	7.24517925
0.4169	7.2015885
0.418	7.099245
0.4191	6.98742525
0.4201	6.87497375
0.4212	6.793478
0.4223	6.71324575
0.424	6.615387675
0.4257	6.570533425
0.4269	6.40975305
0.4279	6.395285975
0.429	6.2585121
0.4307	6.09236185
0.4318	6.019773775
0.4329	6.08958215
0.4339	6.162296575
0.4349	5.99810475
0.4361	5.842378375
0.4371	5.8114858
0.4381	5.8905809
0.4392	5.966706775
0.4403	5.82652145
0.4414	6.03600975
0.4424	6.228503975
0.4434	6.310505125
0.4446	6.319096925
0.4456	6.289910075
0.4466	6.2650823
0.4477	6.29578535
0.4487	6.325983
0.4498	6.328320475
0.4509	6.377344275
0.4519	6.503567925
0.4537	6.710087
0.4555	6.81937975
0.4565	6.975422
0.4575	7.08597825
0.4587	7.16557875
0.4604	7.326675
0.4614	7.392377
0.4626	7.473241
0.4636	7.56358125
0.4646	7.69498525
0.4657	7.79732875
0.4667	7.827021
0.4679	7.88324675
0.4689	7.96284725
0.4699	8.02096825
0.4711	8.12331175
0.4721	8.1921725
0.4731	8.27114125
0.4742	8.3892785
0.4752	8.47456475
0.4763	8.532054
0.4774	8.59333375
0.4784	8.65650875
0.4794	8.696309
0.4806	8.75506175
0.4816	8.75000775
0.4826	8.80054775
0.4844	8.868145
0.4862	8.87256725
0.4872	8.8997325
0.4883	8.974279
0.4894	9.0690415
0.4904	9.11136875
0.4922	9.15306425
0.4932	9.17833425
0.4943	9.25414425
0.4954	9.267411
0.4964	9.33500825
0.4974	9.36280525
0.4986	9.408923
0.4996	9.4910505
0.5006	9.560543
0.5017	9.6047655
0.5028	9.6426705
0.5038	9.6729945
0.5049	9.722271
0.5059	9.75575375
0.507	9.76838875
0.5081	9.76523
0.5091	9.810716
0.5101	9.82145575
0.5112	9.81261125
0.5123	9.76459825
0.5133	9.78355075
0.5144	9.8423035
0.5162	9.93643425
0.5172	9.95033275
0.519	9.964863
0.52	10.000241
0.5211	9.97054875
0.5222	9.96675825
0.5239	9.972444
0.525	9.9332755
0.526	9.972444
0.5271	10.0217205
0.5281	9.98192025
0.5292	9.94654225
0.5303	9.95033275
0.5313	9.96739
0.5323	10.02108875
0.5334	10.035619
0.5345	9.98823775
0.5355	9.94212
0.5366	9.89473875
0.5376	9.901688
0.5387	9.9029515
0.5398	9.883999
0.5408	9.8953705
0.5418	9.91116425
0.543	9.937066
0.544	9.88210375
0.545	9.83661775
0.5461	9.7917635
0.5472	9.78481425
0.5489	9.79239525
0.5499	9.75069975
0.5517	9.69763275
0.5528	9.6426705
0.5538	9.6022385
0.5549	9.595921
0.556	9.550435
0.5577	9.4784155
0.5587	9.49799975
0.5598	9.5213745
0.5609	9.51189825
0.5619	9.46135825
0.563	9.4152405
0.564	9.37417675
0.5651	9.340694
0.5662	9.36154175
0.5672	9.37544025
0.5682	9.37164975
0.5694	9.24529975
0.5704	9.13663875
0.5714	9.176439
0.5725	9.15811825
0.5735	9.10252425
0.5746	9.05767
0.5757	9.0462985
0.5767	9.09115275
0.5777	9.00902525
0.5788	8.8390845
0.5799	8.78033175
0.5809	8.81570975
0.5819	8.8795165
0.5838	8.80812875
0.5848	8.71968375
0.5865	8.61607675
0.5876	8.6040735
0.5887	8.60344175
0.5897	8.612918
0.5907	8.57690825
0.5925	8.499203
0.5936	8.4246565
0.5946	8.24081725
0.5956	8.2123885
0.5968	8.26482375
0.5978	8.31789075
0.5988	8.17385175
0.5999	8.07277175
0.6009	8.10183225
0.602	8.056978
0.603	8.13341975
0.6041	8.14605475
0.6051	8.1719565
0.6062	8.127734
0.6073	7.968533
0.6083	7.8813515
0.6093	7.8687165
0.6105	7.7676365
0.6115	7.670347
0.6125	7.6539215
0.6135	7.58000675
0.6147	7.48398075
0.6157	7.25276025
0.6167	7.28687475
0.6178	7.432809
0.6189	7.41196125
0.6206	7.21359175
0.6216	7.36458
0.6234	7.34878625
0.6245	7.34246875
0.6255	7.27044925
0.6265	7.2445475
0.6277	7.13272775
0.6294	7.0777655
0.6304	7.1485215
0.6314	7.14030875
0.6326	7.0044825
0.6336	7.24138875
0.6346	7.3607895
0.6356	7.30961775
0.6368	6.8174845
0.6378	6.30690415
0.6388	6.498134875
0.6399	6.9514155
0.641	6.672182
0.642	6.88255475
0.643	6.75999525
0.6441	6.99753325
0.6451	7.18579475
0.6462	7.33615125
0.6473	6.81558925
0.6483	6.3403869
0.6493	6.8907675
0.6504	6.412090525
0.6515	5.729547825
0.6525	6.282202725
0.6535	6.5928342
0.6547	7.071448
0.6557	7.28813825
0.6567	6.6380675
0.6584	7.21990925
0.6595	6.94952025
0.6606	6.60256315
0.6623	6.7189315
0.6633	6.8932945
0.6644	7.0171175
0.6655	7.2268585
0.6665	7.04933675
0.6683	6.93056775
0.6693	6.980476
0.6704	6.533007475
0.6714	6.3742487
0.6724	6.2294516
0.6735	6.81432575
0.6746	6.924882
0.6756	7.041124
0.6766	6.59826725
0.6777	6.672182
0.6788	6.45069045
0.6798	6.340576425
0.6808	6.198938075
0.682	5.856276875
0.683	5.63244785
0.684	5.51544775
0.685	6.198811725
0.6862	6.6067327
0.6872	6.377849675
0.6882	5.3940254
0.6892	5.8948768
0.6904	7.038597
0.6914	6.967841
0.6924	6.7745255
0.6934	6.4879637
0.6946	6.385430675
0.6956	6.3580759
0.6966	5.777939875
0.6976	5.741803775
0.6987	6.581146825
0.7005	6.57855665
0.7015	5.766568375
0.7032	5.8359977
0.7043	6.401224425
0.7054	6.346009475
0.7064	5.902394625
0.7074	5.6191811
0.7085	5.44342825
0.7102	6.09210915
0.7113	5.70522545
0.7124	5.52125985
0.7134	5.474952575
0.7144	5.764799475
0.7155	6.155600025
0.7165	6.32156075
0.7176	6.29426915
0.7186	6.069176625
0.7197	6.224966175
0.7207	5.689747575
0.7218	5.52024905
0.7228	6.3830932
0.7239	6.2160585
0.7249	6.028239225
0.7259	6.079284625
0.727	6.806113
0.7281	6.0313348
0.7291	6.155094625
0.7301	5.996525375
0.7312	5.3887187
0.7322	5.80251495
0.7333	5.702129875
0.7343	5.6628982
0.7354	5.63573295
0.7364	5.962916275
0.7375	6.52902745
0.7385	6.932463
0.7396	6.84338625
0.7406	6.77515725
0.7417	6.90403425
0.7427	6.9539425
0.7438	6.9034025
0.7455	6.773262
0.7465	6.3378599
0.7476	6.5589724
