393
       0.612136        0.990493        0.995613        0.548182       0.0851642        0.366261        0.944906         0.93995        0.519964        0.454005        0.153003        0.630991         0.46021        0.358403      0.00923796       0.0491292        0.076959       0.0191775        0.695655         0.35894        0.840395         0.10972         0.70483        0.255011         0.41553       0.0354411       0.0774194        0.284036        0.248648        0.204039       0.0872947       0.0481319       0.0115208        0.028569        0.493282        0.102564        0.398319        0.515832       4.728e-05 
         0.5682          0.9428          0.9924          0.0066          0.2996            0.06          0.7472          0.2386          0.4767          0.3512          0.3974          0.7268          0.3629          0.8234          0.2229          0.0784          0.7666          0.2476          0.2779          0.9859          0.8753          0.0597          0.8278          0.6527          0.1158          0.4084          0.3978          0.8088          0.2415          0.8473          0.9856           0.341          0.9132          0.6534           0.216          0.1595          0.0077          0.7894          0.3621 
         0.6682           0.907          0.1361          0.7011          0.2531          0.0822          0.3584          0.7084          0.1569          0.4919          0.5016          0.1712           0.732          0.0061          0.9147          0.5822          0.5613          0.9621          0.3756          0.3529          0.8906          0.1797          0.2048          0.7351          0.7872          0.7434          0.0156          0.7847           0.643           0.786          0.5929            0.21          0.7398          0.0624          0.4441          0.8349          0.6155           0.926          0.8643 
          0.665          0.3903          0.4955          0.5481          0.0887          0.4462          0.4258          0.3948          0.6199           0.256            0.55          0.1302          0.4682          0.3754          0.0699          0.0481          0.0759          0.0191          0.4379          0.2182          0.4611          0.9291          0.8639          0.6651          0.8727           0.824          0.1554          0.7579          0.4818           0.753          0.6273           0.165          0.2012          0.7029           0.701          0.2974          0.3466          0.1384          0.7057 
         0.1722          0.9344          0.2486          0.2453           0.302          0.3615          0.8324          0.0559          0.8537          0.7794          0.1272          0.6131          0.5873          0.3982           0.601          0.2081          0.2411           0.868          0.6558          0.3279          0.4831          0.2062          0.5305          0.8059          0.4755          0.4004          0.0704          0.2801          0.3751          0.5674          0.5362          0.8657          0.9132           0.393           0.337          0.1595          0.4089          0.7894          0.0651 
         0.4861          0.5059          0.1304          0.8679          0.0741          0.1975          0.0125          0.2037          0.1281          0.1861          0.9429          0.0678          0.1808          0.2233          0.5528          0.7791            0.39          0.4108          0.5425          0.4555          0.9471          0.3031          0.0218            0.23           0.432          0.9061          0.9494          0.4731          0.4546          0.0536          0.7563          0.5705          0.7795          0.0815           0.725          0.3375          0.5762          0.6968           0.509 
         0.6122          0.9941           0.295          0.5331          0.6301          0.3662          0.9916          0.9399           0.515            0.65          0.9433          0.3336          0.4602          0.8534          0.3572          0.5467          0.2263          0.0182          0.6651          0.3589          0.8409          0.1093          0.2048           0.259          0.4145          0.0364          0.0774           0.784          0.2465          0.2066          0.0877          0.3321          0.9111          0.7205          0.4972          0.1085          0.0863          0.2114          0.1743 
         0.1121           0.978          0.7658          0.5588          0.6847           0.128          0.2162          0.0042          0.7616          0.9009          0.1399          0.2162          0.5708          0.7969          0.5189          0.9106          0.1832          0.8254          0.3224          0.9604          0.2215           0.278           0.763          0.7344          0.4823          0.9798           0.057          0.2429          0.4314          0.1297          0.2285          0.2776          0.6036          0.4543          0.0923          0.9479          0.8825           0.105          0.7199 
         0.5629          0.9048          0.9586           0.997          0.6642          0.9615            0.84          0.6599          0.7087          0.1776          0.1712          0.1361           0.787          0.3986          0.0776          0.1861          0.2271          0.8667          0.0959          0.5989          0.4883          0.7322          0.5328           0.333           0.048           0.817          0.0778           0.289          0.5566          0.9145          0.5472          0.0489          0.0144          0.0305          0.4938          0.4025          0.3983          0.6408          0.3009 
         0.5629          0.9144          0.9589          0.2453           0.312          0.3455          0.8324          0.8559          0.8551          0.9744          0.1372          0.6701          0.5853          0.3982           0.673          0.7041          0.3414          0.8961          0.9749          0.2607          0.8107          0.6062          0.5035          0.0009          0.4282          0.4404          0.6284          0.1861          0.2753          0.5614          0.5962          0.2678          0.4808          0.7333          0.6128          0.4264           0.541          0.9248           0.003 
          0.668           0.995          0.1051          0.9314          0.4553          0.0922          0.9185          0.6684          0.9087          0.2913          0.5072          0.8112          0.0085          0.0061          0.9247          0.3862          0.5643          0.9507          0.8756          0.3085          0.8908          0.1397          0.8048          0.7891          0.7813          0.4533          0.0166          0.7745           0.817           0.765           0.511          0.2137          0.9195          0.2285          0.3027            0.37          0.9036          0.5004          0.9042 
          0.353          0.9425          0.0973          0.8115          0.6815          0.1643          0.2909           0.818          0.2006          0.8792          0.6952          0.6469          0.9443          0.6424          0.9953          0.2826          0.0747          0.6798          0.6721          0.7149          0.1242          0.9525          0.1098          0.8923          0.5349          0.9296          0.7838          0.3302          0.7447          0.0348          0.4926          0.9206          0.7798          0.8024          0.4461          0.0359          0.6625          0.3262          0.6234 
          0.346          0.9425          0.0973          0.8955          0.8715          0.8649          0.2935          0.8062          0.7029          0.7246          0.4305          0.6757          0.7085          0.4474          0.1261          0.7308          0.4719          0.5582          0.5954          0.3584          0.8433          0.1196          0.4448          0.6191          0.7573          0.6718          0.0159          0.7847          0.8592          0.7867          0.3739            0.21          0.8608          0.9606          0.4962          0.8306          0.6201          0.6362          0.9613 
          0.928          0.5405          0.4598          0.6261          0.9803          0.7032          0.2223           0.818          0.2066          0.2754          0.6959          0.6488          0.9243          0.7124          0.2233          0.0846          0.0747          0.6798          0.6129          0.3144          0.5262          0.9625          0.1098          0.1923          0.7328          0.7296          0.7838          0.3902          0.7447          0.4348          0.4926          0.9237          0.9541          0.2285          0.3227          0.3703          0.9036          0.6024           0.984 
