Q I dI dQ
0.0029689032449782098 0.8759354267377673 0.11702647163002185 0.0010470639774331392
0.0032088757757470594 0.8130925351447739 0.08322682213497443 0.0010492440220195882
0.0034682449694489344 0.6885149744721999 0.07691659684588185 0.0010517850072177368
0.0037485786327479177 0.6274458687761592 0.0710714379978502 0.001054745609932615
0.004051571296051481 0.7115545806356391 0.0656560609819827 0.00105819366833299
0.004379054456423398 0.6979707953210439 0.06063776537603738 0.0010622074830282284
0.004733007648417785 0.7613615343517226 0.055986272903045815 0.0010668772598245793
0.005115570409754071 0.7274103374250805 0.051673530136114254 0.0010723066950819617
0.0055290552141616725 0.7026578541218973 0.04767357115529448 0.001078614699263799
0.005975961449569428 0.7847067724174215 0.0439623208655769 0.001085937247138347
0.006458990526133614 0.7775760348673733 0.040517487060017635 0.0010944293341665135
0.006981062205427993 0.6994207581033073 0.03731841908453014 0.0011042670080087605
0.007545332249500647 0.6846046728688489 0.03434600391523855 0.00111564943221051
0.008155211496480883 0.6618080513128514 0.031582548384691135 0.0011288009267987817
0.008814386478042153 0.6927368824766059 0.029011721799198243 0.0011439729190635178
0.009526841703347425 0.7152020282377407 0.026618389284384186 0.001161445729068678
0.010296883744176293 0.6271801163729666 0.024388660351203153 0.0011815301107766585
0.01112916726682128 0.6393738906509002 0.022309731432172505 0.0012045684736488932
0.012028723168107826 0.6789716803620137 0.02036991508215979 0.0012309357235807483
0.013000988985611722 0.6126212053828647 0.018558565008961095 0.0012610396875889288
0.013000988985611722 0.6100467349832993 0.01688682754483123 0.002147209995990484
0.014051841765894248 0.5831446851381211 0.013064413395988518 0.0021675208158054345
0.014051841765894248 0.5657715034231688 0.016866085170210866 0.001295321123792392
0.015187633589433378 0.5807510126897075 0.011838872948296053 0.002191009291285045
0.015187633589433378 0.5440105105136762 0.015283919255538705 0.001334253364728875
0.016415229966988295 0.538340308962904 0.010692994672749003 0.002218133336086609
0.016415229966988295 0.5260655298949456 0.013804596762880504 0.0013783416932864065
0.01774205133949137 0.5157469193843948 0.012421751555348458 0.0014281225997354627
0.01774205133949137 0.506067921385393 0.009621847380918131 0.0022494052176258166
0.01917611793232162 0.48167109759327364 0.01113021458761103 0.0014841631076912012
0.01917611793232162 0.47080959102319186 0.008621427147506475 0.002285394890043879
0.020726098235089918 0.4499753220824414 0.007688711175813496 0.0023267327929350863
0.020726098235089918 0.44287515501039687 0.00992608344590817 0.001547060379077829
0.02240136139998123 0.4100771484169626 0.006821743186637023 0.002374111976529169
0.02240136139998123 0.4018355049940385 0.008806832584649702 0.0016174418085026013
0.024212033875385695 0.3726075596675724 0.006019723813776512 0.002428289449548039
0.024212033875385695 0.3830188096469297 0.007771430026508212 0.0016959657949319753
0.026169060617151418 0.33509621072267626 0.0052830779528131675 0.002490086704526087
0.026169060617151418 0.3199792913312025 0.008325113234333497 0.0017833233365967375
0.02828427124746191 0.30343121068466333 0.0046134692120917056 0.0025603894555312344
0.02828427124746191 0.29366038141831685 0.00940795432466623 0.0018802405406725124
0.03057045156124839 0.2688657724208198 0.004013672530453043 0.0026401467189067127
0.03057045156124839 0.25083655889257434 0.010718953049515952 0.0019874820814655943
0.03304142081237099 0.22979803467597415 0.003487156170112975 0.0027303694681022374
0.03304142081237099 0.24450214972198425 0.013965183868505888 0.0021058555883863034
0.035712115246739916 0.24635710895462568 0.03788849668705196 0.002236216904687587
0.035712115246739916 0.20884414122717535 0.0030371655712473785 0.0028321291845566656
0.03859867838730863 0.18493660316570856 0.002665115458202092 0.0029465566926258064
0.0417185586166838 0.1741915060575308 0.002368418318289237 0.0030748416949206254
0.045090614647208836 0.15976826000133676 0.0021385944410473668 0.0032182334082853387
0.048735229516055134 0.1578446741845976 0.001961159026061992 0.0033780426413153033
0.052674433794385946 0.1604203029468496 0.0012826839966329725 0.006338721516352649
0.052674433794385946 0.1573899685018414 0.0018182230857898465 0.0035556455613553308
0.056932038755354526 0.16395720207337255 0.0011286146740772105 0.006451197637657481
0.056932038755354526 0.16147275694941363 0.0016929220111158152 0.003752489287956903
0.06153378030589564 0.1615641079926354 0.0010490026128543535 0.006580156826644261
0.06153378030589564 0.1616175839403557 0.0015735039192815304 0.003970099338725282
0.06650747455233393 0.16282852917950347 0.0009702293498093276 0.006727675921150852
0.06650747455233393 0.1635910084978142 0.0014553440247139912 0.004210088858462109
0.07188318594015501 0.16169409072414223 0.0008935013178972657 0.006896011004249535
0.07188318594015501 0.1618003872573269 0.0013402519768458986 0.004474169494648647
0.07769340898429236 0.1605335566400454 0.0008514683757381091 0.007087597005058689
0.07769340898429236 0.1585630007831939 0.0012332399093981008 0.0047641637463704724
0.08397326468843358 0.1600066349780525 0.0008198766365818096 0.00730504539622655
0.08397326468843358 0.15768304665693963 0.0013287130577857526 0.005082018608490583
0.09076071284063958 0.1607555783182672 0.0016133058460657413 0.005429820352611447
0.09076071284063958 0.15920289067818832 0.0007792148944429416 0.007551140587058332
0.09809678146853884 0.16015660617316863 0.0019461530990421538 0.005809810323321395
0.09809678146853884 0.15933863234906823 0.0007373149923359401 0.007828835871115068
0.10602581484108199 0.15905612152589843 0.0026337640752275822 0.006224401674398877
0.10602581484108199 0.1595497967222639 0.0006942592755283352 0.00814124998437867
0.114595741515951 0.1588096172742129 0.0006516091783859538 0.008491665427374685
0.114595741515951 0.16188550237974778 0.006499489425595622 0.0066761970182570496
0.12385836405288624 0.15921091155789377 0.000611346173600945 0.008883529679771312
0.13386967214416046 0.1582051164789181 0.0005733513764188874 0.009320460288799518
0.14469018105497397 0.1592353901800886 0.0005365769383440793 0.009806254566577705
0.15638529741954232 0.1589417071096165 0.0005017268778981067 0.010344904327483896
0.16902571460399735 0.15864446189428613 0.00046899382837878984 0.010940615784697646
0.18268784002594982 0.1581928829339983 0.0004378978853551484 0.011597834451214277
0.19745425701372998 0.15920547685328704 0.0004086842840631806 0.012321274688592189
0.21341422399709822 0.15837980153103975 0.00038115964553876226 0.01311595343250933
0.230664214046885 0.15949254172795707 0.00035528423579611417 0.013987227596771191
0.2493084980249047 0.1587535031914002 0.0003310483042059443 0.014940834702619905
0.2694597748691106 0.15903490622978497 0.00030828604664665557 0.015982936376897225
0.29123985282386344 0.1598204085530402 0.00028696019002469667 0.017120164488344403
0.3147803857331475 0.15913465921193679 0.0002813706472711534 0.018359669826483987
0.3402236688473911 0.158498101540575 0.000306300455048718 0.019709173357608252
0.3677234989543068 0.15920490089274272 0.00030581241260913016 0.02117702020847016
0.39744610403296704 0.1588071948709663 0.00030163512791579603 0.022772236626310453
0.42957114805059743 0.15881302918487936 0.00029601290391991934 0.02450459024351779
0.46429281697576213 0.15902787656942555 0.0002897380034236154 0.02638465403850802
0.501820992572569 0.15876415187532816 0.00028377830752276804 0.028423874434541623
0.5423825210711031 0.1589731538849596 0.000413925835556708 0.03063464401875318
0.5862225843828245 0.15942667677655445 0.0015757488305736633 0.0330303793980692
