Q I dI dQ
0.00306651534547539 0.8593499765253242 0.14028328903540255 0.001047930848815892
0.0031873225057103727 1.1784000682081843 0.13344894027232174 0.0010490414884238204
0.0033128889344699905 0.7574898368534415 0.1282851414042369 0.0010502400404989066
0.0034434021259130815 0.8034991158852263 0.12331302598974625 0.001051533352884547
0.003579056960640208 0.7267197000844847 0.11852518555803694 0.0010529287889497194
0.003720055996686823 0.7855818246476095 0.11391448871518794 0.0010544342635513348
0.0038666097719803135 1.00957093773637 0.10947407072626177 0.00105605828105654
0.004018937118712492 0.90406430220909 0.1051973235227732 0.0010578099754717733
0.004177265490096963 1.0395944648174464 0.10107788612368131 0.0010596991527139384
0.00434183129999933 0.8304008699743355 0.0971096354591125 0.0010617363350451947
0.004512880275947294 0.9555644974136007 0.093286677586841 0.00106393280767634
0.004690667826047789 0.9108024011029846 0.08960333929263008 0.001066300667524336
0.004875459420359074 0.8109663947963147 0.08605416006650404 0.001068852874087023
0.005067530987287159 0.8574534520230712 0.0826338844480459 0.001071603302372289
0.0052671693255984964 0.856607969052342 0.07933745473484405 0.001074566797789825
0.0054746725326642025 1.0089441801455792 0.07616000404932355 0.0010777592328810196
0.005690350449575162 0.8566065406869932 0.07309684976024317 0.0010811975657266147
0.005914525123792696 0.9838448052554567 0.07014348725630083 0.001084899899832587
0.006147531290025681 0.9161174354831485 0.06729558407040201 0.0010888855452526561
0.0063897168700520444 0.8834250182234855 0.0645489743543381 0.001093175080661332
0.006641443492231025 0.8830396624315834 0.06189965370475259 0.001097790416045137
0.00690308703148197 0.9035459184067789 0.059343774342484036 0.0011027548556325107
0.007175038170535863 0.8970148808493388 0.056877640648503425 0.001108093160636004
0.007457702983297674 0.8050274613980115 0.05449770506079652 0.001113831611335149
0.007751503541190678 0.7836515111757032 0.05220056433759268 0.001119998067986456
0.008056878543387996 0.7864689578990017 0.04998295619333072 0.0011266220300102925
0.008374283971872475 0.8255946681094192 0.047841756314538166 0.0011337346928750912
0.008704193772303094 0.8112731466035691 0.04577397576346709 0.001141369002079751
0.009047100561704451 0.7569545845127348 0.04377675877766868 0.0011495597036277224
0.00940351636403606 0.7891953477206338 0.04184738097368847 0.0011583433903936235
0.00977397337473993 0.7561787893922521 0.039983247962596884 0.0011677585438077483
0.010159024755407845 0.7923801115070844 0.038181894383984054 0.001177845570327674
0.010559245459755057 0.7426147276729517 0.03644098336314863 0.0011886468322312397
0.010975233092133713 0.7373477127516768 0.03475830639333761 0.0012002066723526131
0.011407608799867894 0.7358611369597318 0.033131783640712516 0.0012125714324935579
0.011857018200742742 0.7165755726549364 0.03155946466391158 0.0012257894653748722
0.012324132347032512 0.6962334683699457 0.030039529532266553 0.0012399111401468143
0.012809648727507119 0.717090545311262 0.12435809892524105 0.0021436619756556147
0.012809648727507119 0.7030500671200519 0.028570290316348782 0.0012549888416494642
0.01331429230891332 0.6530531577099609 0.021030448998110473 0.002153120136246753
0.01331429230891332 0.6553284002361794 0.027150192910982283 0.0012710769638004484
0.013838816618485596 0.6204299386841565 0.019967412841000315 0.0021632917268402546
0.013838816618485596 0.607116375996094 0.025777819133347313 0.0012882318976831849
0.01438400486910324 0.6158994736441454 0.02445188901643579 0.0013065120151075664
0.01438400486910324 0.6276068555220908 0.01894035178879353 0.002174227062389645
0.014950671128773666 0.6013222364602544 0.017948383288812732 0.0021859795053521657
0.014950671128773666 0.5623496089653273 0.02317126318963965 0.001325977648609745
0.015539661536188134 0.5770445534416201 0.016990735493771114 0.002198605582782237
0.015539661536188134 0.5768651485847086 0.021934945202396916 0.0013466910690407617
0.016151855564165058 0.5669319658724086 0.0160667488710927 0.0022121650993346255
0.016151855564165058 0.5836292067304939 0.02074208360181299 0.0013687164620574648
0.016788167332867414 0.5263981510380554 0.019591973519195026 0.0013921199049659106
0.016788167332867414 0.5527175921294755 0.015175877431835762 0.0022267212450168446
0.01744954697475503 0.518174547533996 0.018484057451291537 0.001416969345470562
0.01744954697475503 0.5251390982212808 0.014317689335838605 0.0022423406965067427
0.018136982053310043 0.5213064921632627 0.017417924837562757 0.0014433345839465772
0.018136982053310043 0.5284903934024712 0.013491866564274702 0.0022590937108547112
0.01885149903765389 0.48943502939583033 0.016393309933061328 0.0014712872608734055
0.01885149903765389 0.4885404371082636 0.012698203271992626 0.0022770542104252676
0.019594164835257583 0.4463151028770133 0.011936602338983714 0.0022962998580044977
0.019594164835257583 0.4421762324129224 0.015410087356394682 0.0015009008510439336
0.020366088385034113 0.4413375800609264 0.011207069533745178 0.002316912121111799
0.020366088385034113 0.4580179152876944 0.014468264554661152 0.0015322506660947173
0.02116842231319164 0.406519100756969 0.010509704584846003 0.0023389763247094663
0.02116842231319164 0.4118553867032207 0.01356797027688952 0.0015654138667918884
0.022002364654319893 0.4153745539769973 0.009844688339399103 0.0023625816917033954
0.022002364654319893 0.4099675931425767 0.012709437995698396 0.0016004694863586146
0.022869160640279926 0.38039969697124687 0.009212265085672508 0.002387821370872474
0.022869160640279926 0.3658158314520149 0.011892983085885827 0.001637498465949886
0.023770104559568066 0.3608198650818508 0.008612719061648753 0.002414792452150801
0.023770104559568066 0.3431350564559222 0.011118972497109665 0.0016765837031766137
0.024706541689930698 0.34158621393855876 0.008046344209573713 0.00244359596951144
0.024706541689930698 0.3352214628169621 0.01038778570717716 0.0017178101143623193
0.025679870307115552 0.32695462480635873 0.007513406437498939 0.0024743368920560416
0.025679870307115552 0.3208214603956921 0.010108839054762364 0.0017612647109910772
0.026691543772758786 0.2927156939739725 0.01118795175110479 0.0018070366905838407
0.026691543772758786 0.2986246238299219 0.0070140981025120785 0.00250712410429226
0.02774307270452572 0.28201784702640076 0.01184803889291286 0.0018552175420301126
0.02774307270452572 0.28894252337439635 0.006548485236654678 0.0025420703769690016
0.028836027231745536 0.27503276437064905 0.01247193626994877 0.001905901165210269
0.028836027231745536 0.27345905404492543 0.006116449275959646 0.0025792923302248878
0.02997203933990791 0.24412371198309177 0.013206791035030656 0.001959184004576576
0.02997203933990791 0.255307594607728 0.005717626732420804 0.0026189103911733558
0.03115280530752254 0.24081202579806768 0.0053513522248087525 0.0026610487483833185
0.03115280530752254 0.23417382458656588 0.014258257787356616 0.0020151651962222244
0.03238008823898024 0.22512992101625798 0.005016612188515442 0.002705835306002333
0.03238008823898024 0.21606819185579765 0.015823256083346133 0.002073946727860113
0.03365572069719736 0.21517358877868256 0.004712017802122545 0.002753401640495932
0.03365572069719736 0.20391812808267315 0.018704883773215362 0.0021356336110575284
0.03498160743997501 0.2308884555858278 0.02540969920373582 0.002200334065028837
0.03498160743997501 0.2091318849168439 0.004435805440698259 0.0028038829631304866
0.03635972826415863 0.20105418926228413 0.004185870659322343 0.0028574180913988117
0.03635972826415863 0.2713694405074225 0.07276599208478912 0.002268159711273912
0.03779214096184485 0.19835290683946613 0.00395983719304375 0.0029141494325725745
0.0392809843930499 0.18336248517632442 0.003755156398208711 0.002974222982462358
0.04082848167942768 0.18143028436137343 0.0035692263976951923 0.003037788342278101
0.04243694352380595 0.1752129156379789 0.0033995157002308495 0.0031049987562171556
0.044108771660497835 0.17673092511221702 0.0032436746454075956 0.0031760111720753707
0.045846462441540344 0.17290093422464614 0.0030996201574152492 0.003250986326792881
0.04765261056421461 0.1688794775701214 0.002965584403964364 0.0033300888584269477
0.049529912945414235 0.17076169806937205 0.002840124762410378 0.003413487445607093
0.0514811727486466 0.1708280330144765 0.002722099464036463 0.0035013549750903274
0.0514811727486466 0.1768526700638711 0.004255264532528143 0.0063084278362739435
0.05350930356967999 0.16592110183034098 0.002610619009219397 0.0035938687376135072
0.05350930356967999 0.16632888519316463 0.0017404126728129356 0.0063602411595066
0.055617333787087025 0.16410384758874053 0.0016699911893687178 0.006415747125644948
0.055617333787087025 0.16727837578888824 0.0025049867840530766 0.0036912106518505895
0.05780841108418023 0.16455396851562323 0.001603094995422794 0.006475177959088034
0.05780841108418023 0.1605327788229735 0.0024046424931341956 0.003793567515937119
0.060085807149091675 0.1619108164648765 0.0015394125664543094 0.006538776675526128
0.060085807149091675 0.1653411943888653 0.002309118849681458 0.0039011312857321727
0.062452922560015244 0.1601907464642526 0.001478677398632008 0.006606797176121716
0.062452922560015244 0.16106311264775278 0.0022180160979480153 0.004014099378755305
0.06491329186290586 0.16246328421393197 0.002130992091860616 0.004132675002565712
0.06491329186290586 0.15899622837106206 0.001420661394573744 0.006679504306512398
0.06747058884921735 0.15708239531689736 0.0020477602861052415 0.0042570675062427454
0.06747058884921735 0.16351347992178575 0.0013651735240701591 0.006757173880890885
0.07012863204156022 0.16273798981817722 0.0019680864474200923 0.00438749275357854
0.07012863204156022 0.16222350618581619 0.0013120576316133935 0.006840092672368582
0.07289139039547005 0.16006512035653309 0.0018917781084416836 0.004524173516599786
0.07289139039547005 0.1599433088093649 0.0012611854056277906 0.006928558371854064
0.07576298922580003 0.15549645003117332 0.0018186673386491289 0.0046673398880904
0.07576298922580003 0.15948570062859413 0.001212972722476404 0.007022879518747695
0.0787477163665877 0.16023268894504752 0.0012048391668145252 0.007123375407833709
0.0787477163665877 0.15979394098269134 0.0017485936223625978 0.0048172297118825366
0.08185002857359294 0.15890610229435156 0.0011878334590596203 0.007230375977802408
0.08185002857359294 0.15845199050463785 0.0016825512344159355 0.004974089029811988
0.08507455817906759 0.1595177275749068 0.0011620099064749436 0.007344221687815967
0.08507455817906759 0.16206400979306898 0.0018629351840104664 0.005138172544387766
0.08842612000869396 0.16081949894168454 0.0011335175666140668 0.007465263389399399
0.08842612000869396 0.15977205581035986 0.0020665248385453635 0.005309744096396815
0.09190971857101973 0.15917356159163307 0.0011037406810294674 0.007593862201653318
0.09190971857101973 0.1605704809813234 0.0022415741412118977 0.005489077156846387
0.0955305555301251 0.15992500023126102 0.001073268525919429 0.007730389398311655
0.0955305555301251 0.16116596967170765 0.0024381768240874717 0.005676455332832548
0.09929403747268015 0.1610304151468493 0.0026827911577125153 0.005872172887108369
0.09929403747268015 0.159985747823559 0.0010429793507267273 0.007875226315476705
0.10320578398098941 0.1601344371138433 0.0010125199604419375 0.008028764288936566
0.10320578398098941 0.15603480779375994 0.0030141439802254732 0.006076535271305265
0.10727163602407956 0.16099570919122919 0.0035528396977861903 0.006289859672932831
0.10727163602407956 0.1606004873667522 0.0009826231140013719 0.008191404629797802
0.11149766467935777 0.15960399503659384 0.0009529579437593566 0.008363558646751978
0.11149766467935777 0.16117426518314948 0.004573691028902729 0.00651247557644354
0.1158901801978663 0.15961383846231292 0.0009237857618063679 0.008545647722654521
0.1158901801978663 0.1641553730925657 0.008595094327582377 0.006744725338798034
0.12045574142666694 0.16064508785615197 0.0008953303884866073 0.008738103452253511
0.12520116560242586 0.15826521296837118 0.0008672518520902009 0.008941367846901553
0.1301335385308234 0.1593654923189464 0.0008398357266460226 0.009155893610958317
0.13526022516698674 0.15960629571653484 0.0008131613244626076 0.009382144493392617
0.14058888061274463 0.15954838535308466 0.0007870604416224873 0.009620595716870975
0.14612746154712677 0.15812650557052144 0.0007615349371150364 0.009871734485422229
0.15188423810717308 0.16000536078999808 0.0007367309565134027 0.010136060570639056
0.15786780623679433 0.16022412053532625 0.0007126330313694373 0.010414086975355704
0.16408710052212475 0.1579374831760777 0.000689166417441017 0.010706340672856588
0.17055140753252943 0.15908707918469397 0.0006662663176288048 0.011013363418943923
0.1772703796871884 0.1585564229881596 0.000644038791594951 0.0113357126336369
0.18425404966796452 0.15891434507300525 0.0006224726984665472 0.01167396234889381
0.19151284540007313 0.15978130617683395 0.0006015526089305339 0.012028704218536834
0.19905760562292366 0.15777722211222522 0.0005812484305249401 0.012400548586507477
0.2068995960743857 0.15903495431512402 0.0005614906330864395 0.012790125609672034
0.21505052631264177 0.1604791581576871 0.0005423318079406937 0.01319808643161127
0.22352256720074645 0.158962088594756 0.000523767382137019 0.013625104404146314
0.23232836908000246 0.15967618525714494 0.00050578270845326 0.014071876353750108
0.24148108065928495 0.15927702422062534 0.0004883628017060302 0.01453912389044919
0.25099436864852204 0.15970771174409998 0.00047149345137103866 0.015027594757314598
0.26088243816564977 0.1592048409208639 0.0004551506095245272 0.015538064219153972
0.27116005394750875 0.15915325213008172 0.00043929977879789877 0.01607133648953397
0.2818425623963566 0.15820107894282553 0.0004239582612178953 0.016628246195771038
0.29294591449491764 0.1595138902320563 0.00040911496444011525 0.017209659882017763
0.3044866896241824 0.15955599394892883 0.0003947560862711735 0.01781647755103442
0.3164821203195225 0.15877612608893124 0.00038160521907167636 0.018449634245666702
0.3289501180020906 0.1590388359815797 0.00041713872437225305 0.019110101671446608
0.3419092997239203 0.1583950410788813 0.00043046428813899013 0.019798889862093355
0.35537901596666555 0.16005335911405574 0.0004320027484175689 0.0205170488900162
0.3693793795354898 0.1596460827458068 0.00043110171705484847 0.021265670624211138
0.38393129559124484 0.15949231470222147 0.00042900544492059867 0.022045890538201714
0.3990564928657833 0.15903406095412223 0.0004258920193961935 0.02285888957090351
0.41477755610702144 0.1589461517654753 0.0004222629351222612 0.023705896043495826
0.4311179598021894 0.15849194728580945 0.0004182750536643981 0.024588187635564203
0.44810210322962973 0.15892588301920577 0.0004140206181009531 0.025507093423940405
0.4657553468914843 0.15940591477824603 0.0004095197371093062 0.026463995987812648
0.4841040503816653 0.15897284705889836 0.0004051608905040604 0.027460333583812863
0.503175611745659 0.15898332220055547 0.00040044722211884655 0.028497602394912693
0.5229985083909285 0.15921778820079158 0.00039963181503316586 0.029577358857077914
0.543602339609012 0.15890521091545134 0.0005120797927483923 0.030701222067745178
0.5650178707727985 0.15890220871839836 0.0007247154577591783 0.031870876280296286
0.5872770792749802 0.15908399123527803 0.001650643465665761 0.03308807348881749
