# z rho mu
57 -2.22508e-07 0
57.5 -2.22508e-07 0
57.5 -2.35284e-07 0
58 -2.35284e-07 0
58 -2.47501e-07 0
58.5 -2.47501e-07 0
58.5 -2.59432e-07 0
59 -2.59432e-07 0
59 -2.71127e-07 0
59.5 -2.71127e-07 0
59.5 -2.82486e-07 0
60 -2.82486e-07 0
60 -2.9331e-07 0
60.5 -2.9331e-07 0
60.5 -3.03344e-07 0
61 -3.03344e-07 0
61 -3.12311e-07 0
61.5 -3.12311e-07 0
61.5 -3.19938e-07 0
62 -3.19938e-07 0
62 -3.25978e-07 0
62.5 -3.25978e-07 0
62.5 -3.30228e-07 0
63 -3.30228e-07 0
63 -3.3254e-07 0
63.5 -3.3254e-07 0
63.5 -3.32833e-07 0
64 -3.32833e-07 0
64 -3.31097e-07 0
64.5 -3.31097e-07 0
64.5 -3.27393e-07 0
65 -3.27393e-07 0
65 -3.21851e-07 0
65.5 -3.21851e-07 0
65.5 -3.14661e-07 0
66 -3.14661e-07 0
66 -3.06062e-07 0
66.5 -3.06062e-07 0
66.5 -2.96326e-07 0
67 -2.96326e-07 0
67 -2.85745e-07 0
67.5 -2.85745e-07 0
67.5 -2.74604e-07 0
68 -2.74604e-07 0
68 -2.63167e-07 0
68.5 -2.63167e-07 0
68.5 -2.51638e-07 0
69 -2.51638e-07 0
69 -2.40135e-07 0
69.5 -2.40135e-07 0
69.5 -2.28639e-07 0
70 -2.28639e-07 0
70 -2.16934e-07 0
70.5 -2.16934e-07 0
70.5 -2.04542e-07 0
71 -2.04542e-07 0
71 -1.90635e-07 0
71.5 -1.90635e-07 0
71.5 -1.73969e-07 0
72 -1.73969e-07 0
72 -1.52828e-07 0
72.5 -1.52828e-07 0
72.5 -1.25039e-07 0
73 -1.25039e-07 0
73 -8.8061e-08 0
73.5 -8.8061e-08 0
73.5 -3.91972e-08 0
74 -3.91972e-08 0
74 2.40781e-08 0
74.5 2.40781e-08 0
74.5 1.03695e-07 0
75 1.03695e-07 0
75 2.00531e-07 0
75.5 2.00531e-07 0
75.5 3.14002e-07 0
76 3.14002e-07 0
76 4.41817e-07 0
76.5 4.41817e-07 0
76.5 5.79974e-07 0
77 5.79974e-07 0
77 7.23048e-07 0
77.5 7.23048e-07 0
77.5 8.64736e-07 0
78 8.64736e-07 0
78 9.98593e-07 0
78.5 9.98593e-07 0
78.5 1.11879e-06 0
79 1.11879e-06 0
79 1.22077e-06 0
79.5 1.22077e-06 0
79.5 1.30166e-06 0
80 1.30166e-06 0
80 1.36036e-06 0
80.5 1.36036e-06 0
80.5 1.3974e-06 0
81 1.3974e-06 0
81 1.41453e-06 0
81.5 1.41453e-06 0
81.5 1.41424e-06 0
82 1.41424e-06 0
82 1.39938e-06 0
82.5 1.39938e-06 0
82.5 1.37281e-06 0
83 1.37281e-06 0
83 1.33728e-06 0
