Chisq frac_deut l_lipid sigma background0 scale0 sld_solvent0 vf0 background1 sld_solvent1 background2 sld_solvent2 
-3147.373281041047 0.8863429776054657 10.884830187773293 2.008660198672504 0.06513558043881038 1.4352975653227356 6.3994668496791345 0.09998223680220993 0.6755711601851053 1.9279704026159825 1.0939734505477812 -0.5406421019810136 
-3150.321006926381 0.8855798327314732 10.85964534777452 2.0031946061349455 0.06520794206779341 1.4456844541871452 6.39776038420044 0.09988013111128342 0.675581769768199 1.927305108412048 1.0934492147652095 -0.5409388814802317 
-3152.849680536042 0.8856902380592675 10.908342959934023 2.0030280331076282 0.06502449499318916 1.4337572879274771 6.399586144990253 0.09998973771581042 0.6741689425790424 1.9293233592037962 1.094753134644678 -0.5404300323934668 
-3146.7500715681963 0.8860337681270051 10.84929478521449 2.019172720257156 0.06504868111164978 1.4473889650436367 6.398803906993648 0.09996716390605438 0.6750928767749577 1.9256598881675058 1.0937137642742911 -0.540695624800848 
-3147.134190830906 0.8868034669669353 10.820955740305022 2.0034057809044703 0.06512537843645651 1.4533691606176333 6.398846454571839 0.09999704271761792 0.6750186189661302 1.9328918982301697 1.0930831961020104 -0.5400140968305419 
-3147.9577316934706 0.8859108361013258 10.851336466946343 2.0005704819153447 0.06496426705619661 1.4446991558358038 6.399621583822516 0.09998126514236831 0.6754470208692547 1.927053737176067 1.0944550266235509 -0.5436656499557233 
-3154.1530355730315 0.886013956436086 10.869559460302225 2.0280534479710597 0.06504503507364555 1.441897507253687 6.393799275866708 0.09998939467399075 0.6750569541108491 1.928517505095881 1.0936066319554865 -0.5425940551723138 
-3146.9175621524355 0.886435273839375 10.845994736531603 2.0027957426863217 0.06516931707873251 1.4462817680835918 6.39907514838762 0.09998201512414748 0.6752672493526909 1.9271596833064413 1.0944734210406186 -0.5416197842004984 
-3145.1612133122926 0.8862224586530774 10.83956897115773 2.0094468783919317 0.06501074299041273 1.449817264924935 6.399942479635245 0.09999527113522573 0.6750027253179395 1.9274221656078032 1.0931707859235016 -0.5408791621519095 
-3145.1540442774976 0.8864399286149487 10.855653302221285 2.004799575120381 0.06500195616641988 1.4457090912909598 6.398647453555464 0.0999857803672089 0.6749364318702622 1.92945314869821 1.0934810939808175 -0.5400769620433771 
-3152.131711537858 0.8847487996643556 10.806517089219062 2.0028900023370997 0.0651912929370511 1.462090330971717 6.390876451057346 0.09998976696123071 0.6750830322981862 1.929349785218957 1.0932583873877966 -0.5408733261667463 
-3148.5328625653906 0.8866375173771379 10.836393735467551 2.004150858798252 0.06530326736761127 1.4502265511455226 6.399074671494618 0.09998742642399194 0.6750178376603609 1.9297007009604665 1.0943262770043816 -0.5407446166080717 
-3151.1485859393524 0.8856911707227695 10.841181191485767 2.0361137405457335 0.06517979975163342 1.447687347853447 6.399212888389917 0.09996630978969795 0.6756714645574986 1.9236274642008833 1.0938274960873802 -0.5417974214294986 
-3149.328669876785 0.8864355624966737 10.85385814942206 2.0069732369905275 0.0653168147321306 1.445001854445189 6.399961458537905 0.09998972755135284 0.675347103345162 1.9320930599067967 1.0932999696037113 -0.543012583517345 
-3155.837641048329 0.8853063039496929 10.87216449137771 2.063871935559923 0.06533955217921085 1.441978540876938 6.394671983698359 0.09997654578291565 0.6755927365867695 1.9247073574197462 1.0931935974942666 -0.5408748994444937 
-3148.810041497607 0.8858805085670588 10.82915788721965 2.0028352934743565 0.06518813308246553 1.4539913703828642 6.398486709082813 0.09995560433927865 0.6754118153762986 1.9286969323660454 1.0932111850157156 -0.5418983718977245 
-3149.934054456752 0.8862209590787968 10.90626998149254 2.009351190421942 0.06513758445292682 1.4313705575078515 6.397057365786208 0.09998213449971123 0.6754194092203188 1.9275473551826017 1.0933736972607708 -0.5402223917326402 
-3147.8424323359113 0.8863036977550207 10.923086567019148 2.0048283544524326 0.0651588743399419 1.4290247335055568 6.399806840428971 0.09998705052383823 0.6756618037377058 1.9299788055702263 1.0934658298905686 -0.5402291172246446 
-3145.673163824621 0.8861179849731463 10.881616646167446 2.005769434434385 0.06510342249499551 1.4381528860210167 6.399726101954106 0.09997370658694175 0.675047732291755 1.924001854646306 1.093506356892776 -0.5402328593717067 
-3149.8792339646243 0.8857731588591107 10.845911894433215 2.0051917687039564 0.06531166648899174 1.4468734010103406 6.3966785354933196 0.09999336664274107 0.6753550150794914 1.9254265688939485 1.093631664822186 -0.5446368049045514 
-3149.88012054982 0.8859145251346537 10.87495001024864 2.0004958401309376 0.06506643116649317 1.4406499934242036 6.399337589400568 0.09994816840483363 0.6749572670453321 1.9250081304083662 1.0940565639701603 -0.5452634829403548 
-3149.154551642161 0.8858356868700219 10.885313275704094 2.0007212975095277 0.06511845675894117 1.4362521895691371 6.398858885919167 0.0999832264223988 0.6754635430642618 1.9294123055992682 1.0944521765604818 -0.5431541526422954 
-3148.3510145266364 0.8861320143461161 10.857833570853328 2.0238190258986144 0.06497827154500659 1.4438580481549683 6.3984946831174145 0.09997539317208612 0.6755198291346003 1.9268311599111272 1.0940493788685652 -0.5409316258006623 
-3151.3433174529036 0.8855018908723723 10.869862851734217 2.0022401769257496 0.06490785242035699 1.440784852690409 6.395759255859681 0.09999018769053473 0.6746689672430545 1.9221765948220222 1.092771323331097 -0.5443385752283734 
-3146.0643907209264 0.8857238034439104 10.853593290616768 2.005164938750485 0.06497987808329388 1.4444016392452848 6.3994385131312095 0.09999786460425304 0.6756441724496097 1.9240039462133418 1.0937914894647798 -0.5407443848534382 
