# Q Iq dIq dQ fit
1.984000000000000000e-02 2.564000000000000057e+00 7.749999999999999944e-02 1.402999999999999950e-03 2.408705272297854805e+00
2.025000000000000064e-02 2.712000000000000188e+00 7.624999999999999833e-02 1.415999999999999941e-03 2.305190761060723403e+00
2.060999999999999985e-02 2.423000000000000043e+00 3.994999999999999940e-02 2.311000000000000120e-03 2.272971416662277644e+00
2.066000000000000128e-02 2.346000000000000085e+00 6.572999999999999676e-02 1.428999999999999932e-03 2.207850684219518467e+00
2.106999999999999845e-02 2.472999999999999865e+00 7.091999999999999693e-02 1.441999999999999922e-03 2.115531715429417758e+00
2.147999999999999909e-02 2.395999999999999908e+00 7.019999999999999851e-02 1.454999999999999913e-03 2.029855627200720214e+00
2.188999999999999974e-02 2.095000000000000195e+00 6.535000000000000531e-02 1.469000000000000037e-03 1.944373034096725128e+00
2.194000000000000117e-02 2.150999999999999801e+00 3.840999999999999970e-02 2.337000000000000102e-03 1.978368347126286952e+00
2.230000000000000038e-02 1.957999999999999963e+00 6.357000000000000151e-02 1.482000000000000027e-03 1.870885235862743023e+00
2.271000000000000102e-02 1.828000000000000069e+00 6.053999999999999659e-02 1.495999999999999934e-03 1.798146605213621241e+00
2.312000000000000166e-02 1.901000000000000023e+00 6.558999999999999553e-02 1.508999999999999925e-03 1.724423277796462983e+00
2.326999999999999902e-02 1.875999999999999890e+00 3.414999999999999980e-02 2.364999999999999915e-03 1.734664136378937238e+00
2.352999999999999883e-02 1.836000000000000076e+00 5.816000000000000336e-02 1.523000000000000048e-03 1.659942361499445518e+00
2.392999999999999988e-02 1.844000000000000083e+00 6.004999999999999921e-02 1.536999999999999955e-03 1.600286775143358931e+00
2.434000000000000052e-02 1.592000000000000082e+00 5.575000000000000094e-02 1.551000000000000078e-03 1.539270696245792713e+00
2.460000000000000034e-02 1.681000000000000050e+00 3.096000000000000141e-02 2.393999999999999861e-03 1.531015821598855409e+00
2.475000000000000117e-02 1.608000000000000096e+00 5.543000000000000010e-02 1.564999999999999985e-03 1.483761805040483051e+00
2.515999999999999834e-02 1.592999999999999972e+00 6.303999999999999881e-02 1.580000000000000024e-03 1.431926971098122836e+00
2.556999999999999898e-02 1.524000000000000021e+00 6.117999999999999827e-02 1.593999999999999931e-03 1.379415074807637476e+00
2.593000000000000166e-02 1.491000000000000103e+00 2.706000000000000072e-02 2.423999999999999939e-03 1.355956192953474249e+00
2.725999999999999951e-02 1.298000000000000043e+00 2.565999999999999878e-02 2.455999999999999850e-03 1.209289206500618885e+00
2.859000000000000083e-02 1.141000000000000014e+00 2.242999999999999855e-02 2.488999999999999893e-03 1.083052973587298240e+00
2.990999999999999909e-02 1.048000000000000043e+00 2.186000000000000096e-02 2.523000000000000069e-03 9.745228748461621793e-01
3.124000000000000041e-02 9.342000000000000304e-01 1.871000000000000094e-02 2.557999999999999944e-03 8.794095242163627590e-01
3.257000000000000173e-02 7.996999999999999664e-01 1.575999999999999970e-02 2.593999999999999952e-03 7.941464954407640997e-01
3.389999999999999958e-02 7.400999999999999801e-01 1.527000000000000059e-02 2.631000000000000092e-03 7.208176618548630676e-01
3.522999999999999743e-02 6.927999999999999714e-01 1.506000000000000047e-02 2.668999999999999932e-03 6.591981025770718983e-01
3.656000000000000222e-02 6.038000000000000034e-01 1.358000000000000006e-02 2.707999999999999904e-03 6.016476796610563671e-01
3.787999999999999701e-02 5.574999999999999956e-01 1.413999999999999979e-02 2.746999999999999876e-03 5.505572583656226371e-01
3.921000000000000180e-02 5.424999999999999822e-01 1.312999999999999931e-02 2.788000000000000114e-03 5.046320430733334250e-01
4.053999999999999965e-02 4.687999999999999945e-01 1.294000000000000011e-02 2.830000000000000050e-03 4.634726727104638289e-01
4.186999999999999750e-02 4.410999999999999921e-01 1.183999999999999983e-02 2.871999999999999987e-03 4.265911141633002002e-01
4.320000000000000229e-02 3.931000000000000050e-01 1.031999999999999931e-02 2.915000000000000056e-03 3.931636002652255102e-01
4.451999999999999708e-02 3.655999999999999805e-01 1.084000000000000068e-02 2.958000000000000126e-03 3.632978209834399896e-01
4.519000000000000100e-02 3.459999999999999742e-01 5.969999999999999613e-03 6.296999999999999646e-03 3.721881420354396508e-01
4.585000000000000187e-02 3.446000000000000174e-01 9.679000000000000103e-03 3.001999999999999894e-03 3.360821096226985771e-01
4.717999999999999972e-02 3.163000000000000256e-01 9.603999999999999690e-03 3.046999999999999795e-03 3.113320641264932798e-01
4.850000000000000144e-02 2.963000000000000078e-01 8.968000000000000277e-03 3.092999999999999829e-03 2.891505355294529123e-01
4.982999999999999929e-02 2.661999999999999922e-01 9.528000000000000011e-03 3.138999999999999863e-03 2.685181263090853920e-01
5.049000000000000016e-02 2.529000000000000137e-01 4.525999999999999641e-03 6.380000000000000254e-03 2.739251542236942893e-01
5.115999999999999714e-02 2.429000000000000048e-01 8.871000000000000413e-03 3.184999999999999897e-03 2.510218564552398335e-01
5.247999999999999887e-02 2.217000000000000082e-01 8.349999999999999784e-03 3.233000000000000197e-03 2.341442146069609431e-01
5.380999999999999672e-02 2.190000000000000002e-01 7.875000000000000056e-03 3.279999999999999930e-03 2.184816618932902132e-01
5.514000000000000151e-02 2.061999999999999944e-01 7.122999999999999991e-03 3.327999999999999795e-03 2.044950715752331116e-01
5.580000000000000238e-02 1.912000000000000088e-01 3.331000000000000193e-03 6.472000000000000322e-03 2.069291502739424304e-01
5.646000000000000324e-02 1.816000000000000114e-01 7.458000000000000219e-03 3.376999999999999794e-03 1.916106532889201297e-01
5.779000000000000109e-02 1.715000000000000135e-01 7.287000000000000074e-03 3.425999999999999792e-03 1.798039584179089712e-01
5.911000000000000282e-02 1.507000000000000006e-01 6.572999999999999850e-03 3.474999999999999790e-03 1.691914175350982819e-01
6.044000000000000067e-02 1.564000000000000112e-01 6.386000000000000183e-03 3.524999999999999922e-03 1.591153399208645736e-01
6.110000000000000153e-02 1.441000000000000059e-01 2.902000000000000066e-03 6.572999999999999850e-03 1.610198093160935817e-01
6.176000000000000240e-02 1.441000000000000059e-01 6.680000000000000174e-03 3.575000000000000053e-03 1.499950237362435435e-01
6.308999999999999331e-02 1.265000000000000013e-01 6.276000000000000328e-03 3.625999999999999883e-03 1.416748820676685949e-01
6.440999999999999504e-02 1.197000000000000008e-01 6.451000000000000137e-03 3.677000000000000147e-03 1.342543815794276507e-01
6.572999999999999676e-02 1.255000000000000004e-01 6.272999999999999930e-03 3.727999999999999977e-03 1.275456155846691197e-01
6.640000000000000069e-02 1.163000000000000006e-01 2.181999999999999912e-03 6.681999999999999572e-03 1.290706590856830482e-01
6.705999999999999461e-02 1.150999999999999940e-01 5.865000000000000421e-03 3.778999999999999807e-03 1.211832082474725847e-01
6.837999999999999634e-02 1.150000000000000050e-01 5.867999999999999952e-03 3.831000000000000204e-03 1.154419466552720208e-01
6.970999999999999419e-02 1.052000000000000018e-01 5.746000000000000239e-03 3.883000000000000167e-03 1.102424128665527303e-01
7.102999999999999592e-02 1.013000000000000012e-01 5.766000000000000292e-03 3.936000000000000262e-03 1.052128504461474490e-01
7.169000000000000372e-02 9.819999999999999563e-02 1.538000000000000088e-03 6.799000000000000356e-03 1.065528255002502894e-01
7.234999999999999765e-02 9.048000000000000487e-02 5.693000000000000144e-03 3.988000000000000225e-03 1.009440574610673269e-01
7.366999999999999937e-02 9.128000000000000003e-02 5.552999999999999776e-03 4.041000000000000321e-03 9.704225269477159688e-02
7.499999999999999722e-02 8.964999999999999358e-02 5.140999999999999737e-03 4.094999999999999682e-03 9.353545716812425304e-02
7.631999999999999895e-02 7.756000000000000394e-02 4.859999999999999737e-03 4.147999999999999778e-03 9.016290112421518343e-02
7.698000000000000675e-02 8.332000000000000517e-02 1.753999999999999917e-03 6.923000000000000334e-03 9.103021751610369805e-02
8.226999999999999591e-02 7.414999999999999369e-02 1.744000000000000107e-03 7.053000000000000241e-03 8.044761936805605584e-02
8.755000000000000282e-02 7.123999999999999777e-02 1.647000000000000026e-03 7.190000000000000210e-03 7.375037529680424087e-02
9.281999999999999973e-02 6.913999999999999313e-02 1.626999999999999974e-03 7.331999999999999976e-03 6.963525002413729903e-02
9.808999999999999664e-02 7.056999999999999384e-02 1.445000000000000104e-03 7.479999999999999670e-03 6.750711151480258410e-02
1.034000000000000058e-01 7.413000000000000145e-02 1.634999999999999952e-03 7.631999999999999895e-03 6.681037136533722609e-02
1.086000000000000021e-01 6.926000000000000212e-02 1.304999999999999953e-03 7.790000000000000049e-03 6.705786140743631718e-02
1.139000000000000012e-01 7.292999999999999483e-02 1.474000000000000050e-03 7.950999999999999734e-03 6.791505634583368256e-02
1.190999999999999975e-01 7.917000000000000426e-02 1.518000000000000035e-03 8.116999999999999216e-03 6.911732519685344356e-02
1.243999999999999967e-01 8.064000000000000334e-02 1.433999999999999945e-03 8.285999999999999963e-03 7.052234406315191495e-02
1.295999999999999930e-01 7.883999999999999342e-02 1.445000000000000104e-03 8.458999999999999506e-03 7.186305465473265264e-02
1.348000000000000032e-01 8.182999999999999996e-02 1.405999999999999915e-03 8.635000000000000314e-03 7.317536161821266982e-02
1.400000000000000133e-01 8.437000000000000055e-02 1.641000000000000097e-03 8.814000000000000654e-03 7.434074560061722237e-02
1.451999999999999957e-01 8.232000000000000428e-02 1.273999999999999959e-03 8.996000000000000524e-03 7.528580349817150241e-02
1.504000000000000059e-01 8.380999999999999561e-02 1.155999999999999910e-03 9.180000000000000659e-03 7.599293825634914623e-02
1.555999999999999883e-01 8.472999999999999976e-02 1.355000000000000085e-03 9.367000000000000326e-03 7.644943029275294566e-02
1.607999999999999985e-01 8.420999999999999319e-02 1.366999999999999943e-03 9.556000000000000258e-03 7.665832393323220029e-02
1.660000000000000087e-01 8.483999999999999875e-02 1.167000000000000069e-03 9.747000000000000455e-03 7.663311516438334192e-02
1.711999999999999911e-01 8.341999999999999416e-02 1.227999999999999925e-03 9.939999999999999183e-03 7.639463052152273281e-02
1.763000000000000123e-01 8.333000000000000129e-02 1.250999999999999942e-03 1.013000000000000012e-02 7.597887422747137687e-02
1.814999999999999947e-01 8.135000000000000564e-02 1.281999999999999936e-03 1.033000000000000064e-02 7.539562387498489893e-02
1.865999999999999881e-01 8.011000000000000065e-02 1.252000000000000075e-03 1.052999999999999943e-02 7.476308632387866637e-02
1.917000000000000093e-01 7.738000000000000433e-02 1.283000000000000069e-03 1.072999999999999995e-02 7.408673548717088775e-02
1.968000000000000027e-01 7.613000000000000322e-02 1.136999999999999990e-03 1.093000000000000048e-02 7.344762028177730107e-02
2.018999999999999961e-01 7.166999999999999760e-02 1.147999999999999932e-03 1.112999999999999927e-02 7.287173360690649138e-02
2.069999999999999896e-01 7.352999999999999814e-02 1.085000000000000027e-03 1.132999999999999979e-02 7.231094569403474781e-02
2.121000000000000107e-01 7.310999999999999444e-02 1.201999999999999943e-03 1.153000000000000032e-02 7.167144530149556492e-02
2.172000000000000042e-01 7.037000000000000199e-02 1.159000000000000091e-03 1.174000000000000044e-02 7.088107934008429367e-02
2.222999999999999976e-01 6.915999999999999925e-02 9.372000000000000122e-04 1.193999999999999923e-02 6.998600366157090025e-02
2.273000000000000020e-01 6.605999999999999373e-02 1.106999999999999911e-03 1.214999999999999934e-02 6.908660651868112068e-02
2.323000000000000065e-01 6.815999999999999837e-02 1.072000000000000036e-03 1.234999999999999987e-02 6.829567678663217567e-02
2.373999999999999999e-01 6.693999999999999950e-02 1.074000000000000085e-03 1.255999999999999998e-02 6.759434592002548647e-02
2.424000000000000044e-01 6.426999999999999380e-02 1.069999999999999988e-03 1.277000000000000010e-02 6.705370572281990627e-02
2.474000000000000088e-01 6.557000000000000328e-02 9.947999999999998944e-04 1.297000000000000063e-02 6.663637044065173765e-02
2.524000000000000132e-01 6.475000000000000200e-02 1.080999999999999930e-03 1.318000000000000074e-02 6.633051124581407221e-02
2.572999999999999732e-01 6.447999999999999565e-02 1.008999999999999914e-03 1.339000000000000086e-02 6.613954384181314206e-02
2.622999999999999776e-01 6.716999999999999360e-02 9.771999999999999003e-04 1.359999999999999924e-02 6.601510452108093341e-02
2.671999999999999931e-01 6.625000000000000333e-02 9.219999999999999680e-04 1.380999999999999936e-02 6.594938372429998141e-02
2.721999999999999975e-01 6.461999999999999689e-02 9.315000000000000363e-04 1.401999999999999948e-02 6.594012926003189889e-02
2.771000000000000130e-01 6.582999999999999963e-02 1.038999999999999993e-03 1.422000000000000000e-02 6.596088395826503470e-02
2.819999999999999729e-01 6.492000000000000548e-02 9.409000000000000479e-04 1.443000000000000012e-02 6.601331085639483565e-02
2.868999999999999884e-01 6.422999999999999543e-02 1.069999999999999988e-03 1.464000000000000024e-02 6.608915792838050696e-02
2.917000000000000148e-01 6.511000000000000121e-02 9.083000000000000145e-04 1.485000000000000035e-02 6.617712985798954173e-02
2.965999999999999748e-01 6.393999999999999684e-02 9.100999999999999498e-04 1.506000000000000047e-02 6.627389263565622302e-02
3.014999999999999902e-01 6.468999999999999750e-02 8.863000000000000218e-04 1.527000000000000059e-02 6.637099645549900118e-02
3.063000000000000167e-01 6.422999999999999543e-02 9.539000000000000387e-04 1.546999999999999938e-02 6.646147561529827663e-02
3.110999999999999877e-01 6.451999999999999402e-02 9.724999999999999487e-04 1.567999999999999949e-02 6.653935483058694145e-02
3.159000000000000141e-01 6.393999999999999684e-02 9.936999999999999219e-04 1.589000000000000135e-02 6.661158082121626522e-02
3.206999999999999851e-01 6.490999999999999548e-02 9.997000000000000677e-04 1.609999999999999973e-02 6.667307938506497611e-02
3.254000000000000226e-01 6.686000000000000276e-02 1.128000000000000096e-03 1.631000000000000158e-02 6.672283808364092017e-02
3.301999999999999935e-01 6.758999999999999730e-02 1.100000000000000066e-03 1.651000000000000037e-02 6.676217323417976690e-02
3.348999999999999755e-01 6.401999999999999358e-02 9.962000000000000369e-04 1.671999999999999875e-02 6.678849131017902674e-02
3.397000000000000020e-01 6.547999999999999654e-02 1.118999999999999986e-03 1.693000000000000060e-02 6.680186346851961499e-02
3.443999999999999839e-01 6.543999999999999817e-02 1.188999999999999953e-03 1.712999999999999939e-02 6.680025594934055344e-02
3.489999999999999769e-01 6.560000000000000553e-02 1.123999999999999999e-03 1.734000000000000125e-02 6.678435774784771684e-02
3.537000000000000144e-01 6.481000000000000649e-02 1.115000000000000106e-03 1.754000000000000004e-02 6.675737721124128110e-02
3.583999999999999964e-01 6.464999999999999913e-02 1.191000000000000001e-03 1.774999999999999842e-02 6.671860512765759310e-02
