Chisq frac_deut l_lipid sigma background0 scale0 sld_solvent0 vf0 background1 scale1 sld_solvent1 background2 scale2 sld_solvent2 
-1978.6842162992784 0.8477947910829711 10.237612156166447 2.752779594775004 0.06746026711903978 6.300232701389026 6.297003027838712 0.021095651636526415 0.679605332226191 6.547901477380158 1.5175133387142403 1.0910864755471337 8.366359070815983 -0.5423863771997389 
-2586.0112758519526 0.8816699046651867 11.906933425249871 2.20076095687964 0.06334090893287274 8.520705681461722 6.394624336264019 0.013122913553848526 0.6818475659268903 7.8507636376575505 1.6714473632746016 1.0981378037105087 9.197180805290227 -0.5486296873636346 
-2675.4759968857843 0.9371149647669963 9.972267690977136 2.4983998983533446 0.05945907286616084 13.641316126565767 6.211624667246365 0.026977081854755374 0.6564691616031847 4.131837225410505 1.4816805880288173 1.069802243388356 5.929613244023528 -0.5415305554108283 
-975.7517715223203 0.9417761333214408 10.507419519829055 2.8791424607282523 0.06247860488547635 9.461862017027979 6.325349468353455 0.02873109136863658 0.6710905499619616 6.663878241543694 2.528414979283763 1.080757536453634 5.009939950326469 -0.5406105640103074 
-2131.441042419847 0.8749451069007473 9.605575384557135 2.9622176115179215 0.06305752264858638 7.685104966045712 6.220654107687318 0.02623755948700252 0.6646773165208365 6.423759414962659 1.6598225457058653 1.0913205544697748 7.124109297940715 -0.5421966366177049 
-1010.8271045290935 0.9300803668513449 9.93727704926699 2.8964171367165616 0.06470493851224485 7.3780864980004095 6.385967888762984 0.03278125521975398 0.6693651071966453 6.065666039866111 2.3851535609366654 1.0860214426422725 4.8393725110533765 -0.5403387324224804 
-5978.300249339707 0.84144671777944 8.968775333185272 2.8346610598024506 0.06485640944319321 1.6906549273481877 6.278214097022782 0.09673418085322727 0.6554712261213146 5.636753833231136 2.831843785680736 1.0663219588611703 2.3236611470999384 -0.5530927771498314 
-6503.2852087462215 0.7267157577272008 8.78931784928058 2.9260450417822668 0.0662786537300533 0.9693561878360044 6.234785633273318 0.09318465571258336 0.6561500853934775 7.265291759691318 2.391956554604675 1.0751200231161744 3.1609972402823905 -0.55932452453523 
-792.3930386403028 0.9077270890800447 11.409345163102204 2.20151888577782 0.06538771673791284 9.184784148418677 6.242322167673327 0.022263883870197877 0.6748068735836696 6.897526795854345 2.25656827220335 1.1103808924511365 5.69787969431935 -0.5526203904913732 
-1855.1935734669821 0.8119101480730632 10.755845056575573 2.2837019915287318 0.06469575716895633 2.121059539725799 6.205645640975272 0.05019848453477043 0.6780595416770135 4.536722410287388 2.102809044377772 1.100626666867542 3.4085653191916023 -0.5532898075015199 
-1088.5081931431164 0.901759968127563 10.39747238213504 2.554351529176171 0.06103637611393595 5.897515933568282 6.221941725912454 0.037187391419762114 0.6693119446520374 4.08995421081428 1.92073225284429 1.0948686923391064 4.080326317089036 -0.545458274625868 
-1654.4752376887732 0.9674963130445282 9.814190290356448 2.8024709079285817 0.061206360567078774 12.186513996466273 6.3304330894135195 0.03444584817313688 0.6632208896457611 4.498983207098142 2.151240566067676 1.0844807054405134 4.381314370699281 -0.5400841958631947 
-3867.47644615205 0.908522209617897 10.21351988743901 2.8151727218517624 0.07165012559118511 2.256250655858808 6.3339166274986125 0.09265232335724674 0.6801301786779101 1.6541950905302185 2.063520744657392 1.1235044316043603 1.6332123536621286 -0.5516402627993165 
-2411.5511820958804 0.94296688104308 10.16370404046495 2.657086752203663 0.06402493870898732 12.616004226961406 6.385807953384363 0.021175604808045992 0.6768666124081371 8.207389959108168 2.4402024830676194 1.0829383615809955 7.1650070442887275 -0.5408056622029026 
-2019.933522339762 0.8201340018774612 10.599736672412131 2.178602129551622 0.06686618477325317 6.031358950755461 6.214372202865946 0.01944119368437059 0.6855655264457285 6.7210995984194914 1.3108941322524865 1.0912328489961387 9.093782482042453 -0.5488574130213544 
-2063.78182285181 0.9411564549261902 11.378924581234138 2.904375902772229 0.06403506913782604 11.190402079737884 6.3796883762165235 0.01765099868772354 0.6703659862536041 8.287315754988391 2.4133015870433576 1.095398843853634 7.135944220638312 -0.5401120111666101 
-3396.9684347941143 0.8223119066457786 9.339374344672303 2.959193687434819 0.06653608001637491 3.5611231694959726 6.362466371489757 0.03404224725299367 0.6698639955167596 5.578163178970964 1.498081778548326 1.0707668642378871 6.580964002368129 -0.5435687338712917 
-2953.608382692992 0.7472683961836097 11.03488794665199 2.393035967267844 0.0645414248928889 1.5124236037489887 6.294826382888334 0.042181948120782575 0.6688808226504088 6.882176039252702 2.0630929199761967 1.1014800906073674 4.34830131649068 -0.5505130482123867 
-1988.5381088873414 0.9098333444769383 9.985450754728257 2.9110067697683775 0.06630375148437068 8.306726208171163 6.22548672152181 0.030919598348508878 0.671919211388936 6.437976250632002 2.2997479593024983 1.0993369683530108 5.540420328419282 -0.5406001516534695 
-2436.551559488016 0.8109206050532729 11.657155115748257 2.135919081322187 0.06859115029135174 5.0306773365394495 6.378983121737127 0.01568040518805587 0.6834337543178814 7.089039403492459 1.3078906762547378 1.0999339930698098 9.394729729383887 -0.5559510907678548 
-688.7066180244856 0.924747646503214 10.63263864851432 2.9722969338209326 0.0635432426357971 7.467268624116074 6.223677316469046 0.03803605192117105 0.6791986036119104 3.422560141839785 1.9249121563384213 1.0928800674927133 3.7335779577733392 -0.5431990458871468 
-3038.6160240156487 0.9328443785449496 10.19561131623098 2.974232001612818 0.06028491919703452 6.539122521346981 6.252277002733851 0.05610190252032362 0.6560044956764078 4.609461919134869 2.7601474906293744 1.0979249221806375 2.574054957866722 -0.5587889876926599 
-949.102428916316 0.9556416876836781 10.49328887722607 2.479520696545342 0.062449224610192124 13.998926989804808 6.378699474260142 0.02054532420206991 0.6690061706172834 5.073970823270114 1.5627137981462653 1.0959464370747962 6.44898665076061 -0.55087859502606 
-1317.0640229112023 0.9252345086580841 11.072512336832816 2.9271587341556056 0.06488426810640126 7.470819546092211 6.359170332828124 0.028059891209066955 0.6653369474672728 8.94306506844809 2.845211672694912 1.0941316214730932 4.5966715245373475 -0.5476696893045232 
-1434.2953875741855 0.9266111077939579 10.938193369620196 2.991755479006303 0.06359698909499668 7.941485840229167 6.2829020230655965 0.029978411448164696 0.6743917036982545 6.949946240312049 2.704328618016105 1.0734480633009795 4.549613495674472 -0.5525519514053414 
-4676.5187119092125 0.7238181567606328 9.585329355512371 2.760563036869924 0.06576925218187527 1.7200950473866656 6.204956713380074 0.04650354727152941 0.6661296901660815 6.8625099547580835 1.7106772702653332 1.100654651351033 5.274937748744008 -0.5553263124861947 
-1286.061943874671 0.9085423934398794 10.432566794640737 2.3675012671158857 0.060845695199247124 11.801343740637387 6.24577432021332 0.020377843244439586 0.6766409371317689 5.981645357439418 1.6038093064432843 1.0916233847297543 7.664738735219965 -0.5434625084487386 
-2100.8952809929947 0.8942159425891202 9.678150950040335 2.8106990631432542 0.06429522923693937 6.609138937142457 6.270853326078003 0.033829764908895214 0.6666459394150916 8.424048549160155 2.5677402657573145 1.0966661616497304 5.208041737358993 -0.5530336383880063 
-1439.512733952317 0.9179928705129613 9.535823500661003 2.8525401357258087 0.06437993507472392 11.603178779137446 6.272916274465977 0.024568720009590272 0.6813840305598861 4.834625864355249 1.3005708250901598 1.075902962573577 6.869636410134846 -0.5583838169926243 
-1412.6556487421992 0.9097441319285001 10.468656314176563 2.951505596890496 0.0644118242951017 12.803612181154577 6.262128583388507 0.019561228221239756 0.6703100846228377 8.863083674843006 2.1924893373089325 1.115103812223823 7.2370981310635845 -0.552944705783066 
-1576.292763705334 0.8500229100936109 10.835016905640824 2.0736038668834236 0.06760009632588139 6.1781903116986 6.389915872389724 0.01825551937117466 0.6771839712498324 6.356683691040329 1.3454754523842214 1.10624526099775 8.439227498419147 -0.5498022658163758 
-864.77902446431 0.940666320829233 9.887901226188804 2.904591171898264 0.0619450577285882 6.713141927902815 6.241488459201031 0.053472379680116436 0.6663815137476753 2.5894668527121047 1.829981647219198 1.0882265208872544 2.9028573408570733 -0.5555149333971102 
