COMBINED FILE CREATED: Wed, Mar 14, 2018 
NSORT-ed   MAR18293.ABS	  +  MAR18278.ABS	  +  MAR18271.ABS	 + MAR18264.ABS
normalized to   MAR18293.ABS
multiplicative factor 1-2 =            1	 multiplicative factor 2-3 =            1	 multiplicative factor 3-4 =         0.98
The 6 columns are | Q (1/A) | I(Q) (1/cm) | std. dev. I(Q) (1/cm) | sigmaQ | meanQ | ShadowFactor|
        0.01928           10.92         0.08251        0.002372          0.0194               1
        0.01959           10.44         0.07765        0.001524         0.01962               1
        0.01999           10.13         0.07068        0.001541         0.02002               1
         0.0204           9.723         0.06968        0.001558         0.02042               1
        0.02061            9.39         0.07059        0.002406         0.02072               1
         0.0208           9.271         0.06753        0.001575         0.02083               1
         0.0212           9.061         0.06309        0.001591         0.02123               1
        0.02161           8.683         0.06348        0.001609         0.02163               1
        0.02194           8.201         0.05104        0.002443         0.02204               1
        0.02201           8.395         0.05815        0.001626         0.02204               1
        0.02241           8.106          0.0605        0.001643         0.02244               1
        0.02282           7.857          0.0607        0.001661         0.02284               1
        0.02322           7.562          0.0596        0.001678         0.02325               1
        0.02327           7.305         0.04771        0.002481         0.02336               1
        0.02363            7.21         0.05622        0.001696         0.02365               1
         0.0246           6.484         0.03872        0.002521         0.02469               1
        0.02593           5.812         0.03366        0.002563         0.02601               1
        0.02726            5.18         0.03034        0.002606         0.02734               1
        0.02859           4.682         0.02663         0.00265         0.02866               1
        0.02991           4.255         0.02281        0.002696         0.02999               1
        0.03124           3.851         0.02053        0.002743         0.03131               1
        0.03257           3.554         0.02077        0.002792         0.03264               1
         0.0339           3.197         0.01758        0.002841         0.03397               1
        0.03523           2.936         0.01764        0.002892         0.03529               1
        0.03656           2.699         0.01504        0.002944         0.03662               1
        0.03788           2.479         0.01353        0.002996         0.03794               1
        0.03921           2.291         0.01435         0.00305         0.03927               1
        0.04054            2.09          0.0135        0.003105         0.04059               1
        0.04187           1.941         0.01292         0.00316         0.04192               1
        0.04197           1.966         0.02576        0.004996          0.0422               1
         0.0432           1.803         0.01189        0.003216         0.04325               1
        0.04452           1.674         0.01144        0.003273         0.04457               1
        0.04585           1.562         0.01097         0.00333          0.0459               1
        0.04596            1.57         0.01776        0.005105         0.04617               1
        0.04718           1.428        0.009515        0.003389         0.04722               1
         0.0485           1.352         0.01091        0.003447         0.04855               1
        0.04983           1.248        0.008835        0.003507         0.04987               1
        0.04996           1.274         0.01435         0.00522         0.05015               1
        0.05116           1.186        0.008732        0.003567          0.0512               1
        0.05248           1.102        0.008407        0.003627         0.05253               1
        0.05381           1.042        0.008174        0.003689         0.05385               1
        0.05394           1.045         0.01097        0.005343         0.05412               1
        0.05514          0.9706        0.007824         0.00375         0.05517               1
        0.05646          0.9035        0.007318        0.003812          0.0565               1
        0.05779          0.8597        0.007546        0.003875         0.05782               1
        0.05793          0.8649         0.00797        0.005473          0.0581               1
        0.05911          0.8072         0.00662        0.003937         0.05915               1
        0.06044          0.7619        0.006912        0.004001         0.06047               1
        0.06176          0.7145        0.006309        0.004064          0.0618               1
        0.06192          0.7196        0.007651        0.005609         0.06207               1
        0.06309          0.6742        0.005909        0.004128         0.06312               1
        0.06441          0.6331        0.005671        0.004193         0.06444               1
        0.06573          0.5916        0.005678        0.004257         0.06577               1
         0.0659           0.598        0.005233         0.00575         0.06604               1
        0.06706          0.5677        0.005903        0.004322         0.06709               1
        0.06838          0.5345        0.005491        0.004388         0.06841               1
        0.06971          0.5054         0.00526        0.004453         0.06974               1
        0.06988          0.5101        0.004952        0.005896         0.07002               1
        0.07103          0.4874        0.005435        0.004519         0.07106               1
        0.07235          0.4463        0.004779        0.004585         0.07238               1
        0.07367          0.4343        0.004688        0.004651          0.0737               1
        0.07386          0.4283        0.003718        0.006047         0.07399               1
          0.075          0.4116        0.004574        0.004718         0.07503               1
        0.07632          0.3895        0.004346        0.004785         0.07635               1
        0.07764          0.3658        0.004939        0.004852         0.07767               1
        0.07783          0.3749        0.002738        0.006202         0.07796               1
        0.08181          0.3138        0.002412        0.006362         0.08193               1
        0.08578          0.2719        0.002171        0.006525         0.08589               1
        0.08975          0.2352        0.001932        0.006691         0.08985               1
        0.09371          0.2038         0.00194        0.006861         0.09381               1
        0.09768          0.1786        0.001631        0.007033         0.09777               1
         0.1016           0.159        0.001596        0.007208          0.1017               1
         0.1056           0.137        0.001452        0.007386          0.1057               1
         0.1095           0.125        0.001494        0.007565          0.1096               1
         0.1135           0.114        0.001424        0.007747          0.1136               1
         0.1174          0.1051        0.001447        0.007931          0.1175               1
         0.1214         0.09947        0.001186        0.008116          0.1215               1
         0.1253         0.09092        0.001147        0.008303          0.1254               1
         0.1293         0.08624          0.0012        0.008492          0.1293               1
         0.1332         0.08475        0.001107        0.008681          0.1333               1
         0.1371         0.08095        0.001107        0.008872          0.1372               1
          0.141         0.07577        0.001142        0.009064          0.1411               1
         0.1449         0.07725        0.001131        0.009258           0.145               1
         0.1489         0.07642       0.0009927        0.009452          0.1489               1
         0.1528         0.07411        0.001011        0.009647          0.1528               1
         0.1567         0.07409        0.001101        0.009843          0.1567               1
         0.1606         0.07374        0.001037         0.01004          0.1606               1
         0.1645         0.07272        0.001031         0.01024          0.1645               1
         0.1683         0.07379       0.0009996         0.01043          0.1684               1
         0.1722         0.07091       0.0009442         0.01063          0.1723               1
         0.1761         0.07085       0.0009756         0.01083          0.1762               1
           0.18         0.07272        0.001003         0.01103            0.18               1
